property_url,name,cost_text,latitude,longitude,bed_info,bath_info,parking,date_available,desc,post_code,region,matched_region_x,Children enrolled in a preschool or preschool program (no.),Estimated resident population (no.),Land area (ha),Median monthly household mortgage payment ($),Median price of established house transfers ($),Median total income (excl. Government pensions and allowances) ($),Median weekly household rental payment ($),Number of jobs,Working age population (aged 15-64 years) (%),matched_region_y,avg_crime_count,region_encoded,property_type_House,property_type_New Apartments / Off the Plan,property_type_New House & Land,property_type_Studio,property_type_Terrace,property_type_Townhouse,property_type_Villa,nearest_station_index,haversine_distance,property_coords,station_coords,nearest_station_name,property_index,route_distance_m,route_duration_s,distance_to_hospital,nearest_hospital_name,distance_to_police_station,nearest_police_station_name,distance_to_fire_station,nearest_fire_station_name,distance_to_university_college,nearest_university_college_name,distance_to_melbourne_central,"distance_to_the_university_of_melbourne,_parkville_campus",distance_to_la_trobe_university_(bundoora_campus),"distance_to_monash_university,_clayton_campus",distance_to_deakin_university_-_burwood_campus,distance_to_shop,nearest_shop_name,kindergarten_count_within_1000m,secondary_primary_school_count_within_3000m,restaurant_bar_count_within_1000m,cinema_theatre_count_within_3000m,shop_count_within_1000m,park_count_within_1000m
https://www.domain.com.au/3-18-joyce-street-elwood-vic-3184-17193573?topspot=1,"3/18 Joyce Street, Elwood VIC 3184",870.0,-37.8898787,144.9904387,2,2,1,"Tuesday, 8th October 2024",Tina Kelly,3184,Elwood,Elwood,153.0,15459.0,255.3,2300.0,2635000.0,70277.0,415.0,16869.0,76.9,Elwood,45.0,105,0,0,0,0,0,1,0,283,1080.245897950399,"[144.9904387, -37.8898787]","[145.000379793258, -37.8841495365907]",44-Elsternwick Railway Station/Glenhuntly Rd (Elsternwick),0,1499.77,208.24,1699.8828718331229,Cabrini Rehabilitation - Glen Huntly,2427.9595758884843,VF2 St Kilda Coast Guard,3370.112418740329,Fire Station No. 32,4177.89956171543,Swinburne University of Technology (Prahran Campus),9170.915247569139,10146.849991973651,11854.381596651043,12997.349128768485,19819.383962560303,541.252065336058,Foodworks,2,23,16,5,1,3
https://www.domain.com.au/10-135-ormond-esplanade-elwood-vic-3184-17193581,"10/135 Ormond Esplanade, Elwood VIC 3184",1200.0,-37.8905155,144.9899921,3,2,2,"Wednesday, 11th September 2024",Jemma Wilksch,3184,Elwood,Elwood,153.0,15459.0,255.3,2300.0,2635000.0,70277.0,415.0,16869.0,76.9,Elwood,45.0,105,0,0,0,0,0,1,0,423,1151.7447399171983,"[144.9899921, -37.8905155]","[145.000897873416, -37.8847531121265]",Elsternwick Railway Station (Elsternwick),1,1787.91,254.3,1756.2948071131375,Cabrini Rehabilitation - Glen Huntly,2462.4040519810887,VF2 St Kilda Coast Guard,3379.24178019847,Fire Station No. 32,4250.0924493690345,Swinburne University of Technology (Prahran Campus),9229.147928569375,10204.831138465892,11920.09273067791,13023.075414683519,19898.046113776934,593.6655909361727,Foodworks,1,23,16,5,1,3
https://www.domain.com.au/3-18-joyce-street-elwood-vic-3184-17193573,"3/18 Joyce Street, Elwood VIC 3184",870.0,-37.8898787,144.9904387,2,2,1,"Tuesday, 8th October 2024",Tina Kelly,3184,Elwood,Elwood,153.0,15459.0,255.3,2300.0,2635000.0,70277.0,415.0,16869.0,76.9,Elwood,45.0,105,0,0,0,0,0,1,0,283,1080.245897950399,"[144.9904387, -37.8898787]","[145.000379793258, -37.8841495365907]",44-Elsternwick Railway Station/Glenhuntly Rd (Elsternwick),2,1499.77,208.24,1699.8828718331229,Cabrini Rehabilitation - Glen Huntly,2427.9595758884843,VF2 St Kilda Coast Guard,3370.112418740329,Fire Station No. 32,4177.89956171543,Swinburne University of Technology (Prahran Campus),9170.915247569139,10146.849991973651,11854.381596651043,12997.349128768485,19819.383962560303,541.252065336058,Foodworks,2,23,16,5,1,3
https://www.domain.com.au/5-128-140-chapel-street-st-kilda-vic-3182-17193249,"5/128-140 Chapel Street, St Kilda VIC 3182",850.0,-37.8696498,144.9904006,3,2,2,"Friday, 27th September 2024",Fran Gill,3182,St Kilda,St Kilda East,183.0,16758.0,241.4,2100.0,1527500.0,61274.0,384.0,20044.0,78.8,St Kilda East,96.0,250,0,0,0,0,0,1,0,425,273.71640687981096,"[144.9904006, -37.8696498]","[144.993512099452, -37.8694877274508]",Balaclava Railway Station (Balaclava),3,315.04,66.52,1135.5823877980495,Masada Private Hospital,199.34258413606545,St Kilda Police Station,1444.7087137673363,Fire Station No. 35,1931.3029660397349,Swinburne University of Technology (Prahran Campus),7023.855395102511,7999.934960207837,11088.004700355727,13595.20229113191,17661.15496267667,174.3221454879626,Woolworths,1,27,29,11,6,13
https://www.domain.com.au/44b-trigg-street-geelong-west-vic-3218-17193201,"44B Trigg Street, Geelong West VIC 3218",675.0,-38.1327146,144.3397844,3,2,2,"Thursday, 31st October 2024",Tim Callander,3218,Geelong West,Geelong,142.0,13649.0,1281.7,1703.0,798500.0,53310.0,340.0,12087.0,68.5,Geelong,122.8,123,0,0,0,0,0,1,0,107,1549.1469803279008,"[144.3397844, -38.1327146]","[144.352271898837, -38.1228352344551]",North Geelong Railway Station (North Geelong),4,2653.95,334.54,1692.5006199414104,McKellar Centre,2023.9123733050094,Geelong Police Station,1785.8984669626902,Geelong West CFA,1921.8683822887322,The Gordon Institute of TAFE (City Campus),65348.608369962196,65621.20579913008,73969.24627179651,74929.33228002516,77509.5190817514,717.739057501331,Coles,3,21,12,8,3,4
https://www.domain.com.au/34b-donald-street-prahran-vic-3181-17193144,"34B Donald Street, Prahran VIC 3181",850.0,-37.8482547,144.9868233,2,1,0,"Wednesday, 9th October 2024",Cameron  Gibson ,3181,Prahran,Prahran  Windsor,141.0,20268.0,290.5,2200.0,1572500.0,69288.0,421.0,23215.0,80.2,Prahran,120.0,222,0,0,0,0,0,1,0,427,301.3909394548371,"[144.9868233, -37.8482547]","[144.989859924303, -37.8495184845913]",Prahran Railway Station (Prahran),5,402.67,58.98,518.4513976100269,Alfred Hospital,1158.0721258371989,Prahran,1017.9247080592738,Fire Station No. 35,639.5350858438319,Swinburne University of Technology (Prahran Campus),4709.304299207996,5676.946114526314,11050.851908523777,14855.689939517846,15515.455687802527,486.1523232376135,The Source Bulk Foods,0,31,67,16,8,26
https://www.domain.com.au/60-britannia-street-geelong-west-vic-3218-17193018,"60 Britannia Street, Geelong West VIC 3218",510.0,-38.1340831,144.3436883,2,2,1,"Friday, 6th September 2024",Tim Callander,3218,Geelong West,Geelong,142.0,13649.0,1281.7,1703.0,798500.0,53310.0,340.0,12087.0,68.5,Geelong,122.8,123,0,0,0,0,0,1,0,107,1458.7544281431276,"[144.3436883, -38.1340831]","[144.352271898837, -38.1228352344551]",North Geelong Railway Station (North Geelong),6,2393.46,310.11,1921.21788597833,McKellar Centre,1675.034961987184,Geelong Police Station,2121.026983887724,Geelong West CFA,1590.5233453663848,The Gordon Institute of TAFE (City Campus),65146.3328975504,65423.45757381162,73697.27214892514,74685.18243941155,77325.07264038551,482.10465314247864,Woolworths,4,22,21,8,4,6
https://www.domain.com.au/111-park-street-st-kilda-west-vic-3182-17192826,"111 Park Street, St Kilda West VIC 3182",1150.0,-37.85602129999999,144.9676835,4,2,2,"Friday, 4th October 2024",Jade Sterland,3182,St Kilda West,St Kilda  West,82.0,15480.0,236.4,2000.0,2217500.0,50971.0,392.0,19646.0,79.5,St Kilda West,96.0,249,0,0,0,0,0,1,0,427,2076.985372886956,"[144.9676835, -37.85602129999999]","[144.989859924303, -37.8495184845913]",Prahran Railway Station (Prahran),8,3662.55,463.33,1717.7505112884273,Alfred Hospital,1898.4286656323832,VF2 St Kilda Coast Guard,2079.9096037724635,Fire Station No. 35,2171.434114868504,Swinburne University of Technology (Prahran Campus),5101.914668815681,6057.240976653142,12787.852037476943,16004.274466284378,16970.822205958022,660.5578820842879,IGA,1,21,28,14,3,9
https://www.domain.com.au/2-1975-malvern-road-malvern-east-vic-3145-17192703,"2/1975 Malvern Road, Malvern East VIC 3145",1250.0,-37.870684,145.0621554,4,3,2,"Friday, 20th September 2024",Tina Jin,3145,Malvern East,Malvern East,261.0,23167.0,756.7,2944.0,2222500.0,61126.0,421.0,18899.0,67.8,Malvern East,87.2,168,0,0,0,0,0,1,0,308,204.34903633831925,"[145.0621554, -37.870684]","[145.062950826245, -37.8689568446144]",Darling Railway Station (Malvern East),9,369.87,62.76,437.4109634308657,Malvern Private Hospital,1774.9268802745942,Ashburton,3695.916009972397,Fire Station No. 23,1684.819126264581,Monash University (Caulfield campus),5304.4177826712385,7902.451123022086,10991.26701477625,11808.012008519087,17014.24408441095,1041.2940222477573,East Malvern IGA Xpress Plus Liquor,0,21,11,1,0,14
https://www.domain.com.au/1-343-williamstown-road-port-melbourne-vic-3207-17192658,"1/343 Williamstown Road, Port Melbourne VIC 3207",1050.0,-37.8345859,144.9260385,3,2,1,"Friday, 27th September 2024",Jay Jacob-Green,3207,Port Melbourne,Port Melbourne,185.0,16782.0,278.9,2515.0,2050000.0,78187.0,522.0,14337.0,69.0,Port Melbourne,85.0,218,0,0,0,0,0,1,0,504,2897.170314400485,"[144.9260385, -37.8345859]","[144.951411219786, -37.8179364275358]",Southern Cross Railway Station (Melbourne City),10,4307.29,572.2,4368.003777548811,Williamstown Hospital,2952.4697064278666,South Melbourne Police Station,630.5640495930086,Fire Station No. 39,2391.048459460939,Kangan Batman TAFE Automotive Centre,4229.066807127192,4684.189881929609,16417.742469611814,16938.405271685508,20312.23514025635,574.723214809592,Woolworths,1,9,3,5,1,17
