SA2,Dec 1999 median,Dec 2000 median,Dec 2001 median,Dec 2002 median,Dec 2003 median,Dec 2004 median,Dec 2005 median,Dec 2006 median,Dec 2007 median,Dec 2008 median,Dec 2009 median,Dec 2010 median,Dec 2011 median,Dec 2012 median,Dec 2013 median,Dec 2014 median,Dec 2015 median,Dec 2016 median,Dec 2017 median,Dec 2018 median,Dec 2019 median,Dec 2020 median,Dec 2021 median,Dec 2022 median,Dec 2023 median,Dec 2024 median,Dec 2025 median,Dec 2026 median
Bright - Mount Beauty,120.0,130.0,130.0,140.0,145.0,147.0,166.0,180.0,185.0,200.0,200.0,190.0,223.0,228.0,230.0,260.0,250.0,268.0,270.0,288.0,340.0,350.0,350.0,420.0,423.0,-1,-1,-1
Myrtleford,120.0,130.0,130.0,140.0,145.0,147.0,166.0,180.0,185.0,200.0,200.0,190.0,223.0,228.0,230.0,260.0,250.0,268.0,270.0,288.0,340.0,350.0,350.0,420.0,423.0,-1,-1,-1
Yackandandah,120.0,130.0,130.0,140.0,145.0,147.0,166.0,180.0,185.0,200.0,200.0,190.0,223.0,228.0,230.0,260.0,250.0,268.0,270.0,288.0,340.0,350.0,350.0,420.0,423.0,-1,-1,-1
Avoca,105.0,100.0,110.0,113.0,120.0,130.0,140.0,140.0,160.0,155.0,170.0,170.0,210.0,220.0,220.0,240.0,250.0,240.0,240.0,273.0,270.0,285.0,300.0,330.0,370.0,-1,-1,-1
Beaufort,105.0,100.0,110.0,113.0,120.0,130.0,140.0,140.0,160.0,155.0,170.0,170.0,210.0,220.0,220.0,240.0,250.0,240.0,240.0,273.0,270.0,285.0,300.0,330.0,370.0,-1,-1,-1
Ararat,105.0,100.0,110.0,113.0,120.0,130.0,140.0,140.0,160.0,155.0,170.0,170.0,210.0,220.0,220.0,240.0,250.0,240.0,240.0,273.0,270.0,285.0,300.0,330.0,370.0,-1,-1,-1
Ararat Surrounds,105.0,100.0,110.0,113.0,120.0,130.0,140.0,140.0,160.0,155.0,170.0,170.0,210.0,220.0,220.0,240.0,250.0,240.0,240.0,273.0,270.0,285.0,300.0,330.0,370.0,-1,-1,-1
Alfredton,135.0,140.0,150.0,160.0,170.0,175.0,180.0,190.0,197.0,220.0,230.0,240.0,260.0,265.0,260.0,270.0,270.0,280.0,290.0,300.0,320.0,340.0,360.0,390.0,410.0,-1,-1,-1
Ballarat,135.0,140.0,150.0,160.0,170.0,175.0,180.0,190.0,197.0,220.0,230.0,240.0,260.0,265.0,260.0,270.0,270.0,280.0,290.0,300.0,320.0,340.0,360.0,390.0,410.0,-1,-1,-1
Buninyong,135.0,140.0,150.0,160.0,170.0,175.0,180.0,190.0,197.0,220.0,230.0,240.0,260.0,265.0,260.0,270.0,270.0,280.0,290.0,300.0,320.0,340.0,360.0,390.0,410.0,-1,-1,-1
