region,year,median
Bright - Mount Beauty,1999,120.0
Myrtleford,1999,120.0
Yackandandah,1999,120.0
Avoca,1999,105.0
Beaufort,1999,105.0
Ararat,1999,105.0
Ararat Surrounds,1999,105.0
Alfredton,1999,135.0
Ballarat,1999,135.0
Buninyong,1999,135.0
Delacombe,1999,135.0
Wendouree - Miners Rest,1999,135.0
Ballarat East - Warrenheip,1999,135.0
Ballarat North - Invermay,1999,135.0
Canadian - Mount Clear,1999,135.0
Sebastopol - Redan,1999,135.0
Creswick - Clunes,1999,135.0
Gordon (Vic.),1999,135.0
Bundoora - East,1999,180.0
Greensborough,1999,180.0
Heidelberg - Rosanna,1999,180.0
Heidelberg West,1999,180.0
Ivanhoe,1999,180.0
Ivanhoe East - Eaglemont,1999,180.0
Montmorency - Briar Hill,1999,180.0
Viewbank - Yallambie,1999,180.0
Watsonia,1999,180.0
Korumburra,1999,110.0
Phillip Island,1999,110.0
Wonthaggi - Inverloch,1999,110.0
Drouin,1999,130.0
Mount Baw Baw Region,1999,130.0
Trafalgar (Vic.),1999,130.0
Warragul,1999,130.0
Leongatha,1999,130.0
Moe - Newborough,1999,130.0
Yallourn North - Glengarry,1999,130.0
Ashburton (Vic.),1999,220.0
Balwyn,1999,220.0
Balwyn North,1999,220.0
Camberwell,1999,220.0
Glen Iris - East,1999,220.0
Hawthorn East,1999,220.0
Kew East,1999,220.0
Surrey Hills (West) - Canterbury,1999,220.0
Hawthorn - North,1999,220.0
Hawthorn - South,1999,220.0
Kew - South,1999,220.0
Kew - West,1999,220.0
Bulleen,1999,220.0
Doncaster,1999,220.0
Keilor,1999,155.0
Ardeer - Albion,1999,155.0
Cairnlea,1999,155.0
Delahey,1999,155.0
Keilor Downs,1999,155.0
Kings Park (Vic.),1999,155.0
St Albans - North,1999,155.0
St Albans - South,1999,155.0
Sunshine,1999,155.0
Sunshine North,1999,155.0
Sunshine West,1999,155.0
Sydenham,1999,155.0
Taylors Lakes,1999,155.0
Deer Park,1999,155.0
Derrimut,1999,155.0
Echuca,1999,130.0
Kyabram,1999,130.0
Lockington - Gunbower,1999,130.0
Rochester,1999,130.0
Rushworth,1999,130.0
Belgrave - Selby,1999,155.0
Emerald - Cockatoo,1999,155.0
Beaconsfield - Officer,1999,155.0
Bunyip - Garfield,1999,155.0
Koo Wee Rup,1999,155.0
Pakenham - North East,1999,155.0
Pakenham - North West,1999,155.0
Pakenham - South East,1999,155.0
Pakenham - South West,1999,155.0
Berwick - North,1999,165.0
Doveton,1999,165.0
Hallam,1999,165.0
Narre Warren North,1999,165.0
Endeavour Hills - North,1999,165.0
Endeavour Hills - South,1999,165.0
Narre Warren - North East,1999,165.0
Narre Warren - South West,1999,165.0
Berwick - South East,1999,165.0
Berwick - South West,1999,165.0
Cranbourne,1999,165.0
Cranbourne South,1999,165.0
Cranbourne West,1999,165.0
Lynbrook - Lyndhurst,1999,165.0
Pearcedale - Tooradin,1999,165.0
Narre Warren South - East,1999,165.0
Narre Warren South - West,1999,165.0
Clyde North - North,1999,165.0
Clyde North - South,1999,165.0
Cranbourne East - North,1999,165.0
Cranbourne East - South,1999,165.0
Cranbourne North - East,1999,165.0
Cranbourne North - West,1999,165.0
Hampton Park - East,1999,165.0
Hampton Park - West,1999,165.0
Maryborough (Vic.),1999,110.0
Maryborough Surrounds,1999,110.0
Castlemaine Surrounds,1999,110.0
Colac,1999,115.0
Colac Surrounds,1999,115.0
Otway,1999,115.0
Camperdown,1999,100.0
Corangamite - North,1999,100.0
Corangamite - South,1999,100.0
Moyne - East,1999,100.0
Alphington - Fairfield,1999,160.0
Thornbury,1999,160.0
Northcote - East,1999,160.0
Northcote - West,1999,160.0
Kingsbury,1999,160.0
Preston - East,1999,160.0
Preston - West,1999,160.0
Reservoir - North East,1999,160.0
Reservoir - North West,1999,160.0
Reservoir - South East,1999,160.0
Reservoir - South West,1999,160.0
Alps - East,1999,120.0
Bairnsdale,1999,120.0
Bruthen - Omeo,1999,120.0
Lake King,1999,120.0
Lakes Entrance,1999,120.0
