shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"3-109-mjp-1.1.H","-37.8130890135052","145.023165840774","1","0.00"
"3-109-mjp-1.1.H","-37.8131309533684","145.023516863643","2","31.19"
"3-109-mjp-1.1.H","-37.8102566033256","145.026228794987","3","429.82"
"3-109-mjp-1.1.H","-37.8076484280229","145.028694904117","4","791.82"
"3-109-mjp-1.1.H","-37.807542044358","145.028799960286","5","806.83"
"3-109-mjp-1.1.H","-37.807480319749","145.028881111526","6","816.72"
"3-109-mjp-1.1.H","-37.8074551965761","145.028995365024","7","827.14"
"3-109-mjp-1.1.H","-37.8068776941806","145.030566829041","8","979.40"
"3-109-mjp-1.1.H","-37.8068518098515","145.030635667461","9","986.10"
"3-109-mjp-1.1.H","-37.8068537085084","145.030749201568","10","996.08"
"3-109-mjp-1.1.H","-37.8069587826984","145.031643729499","11","1075.53"
"3-109-mjp-1.1.H","-37.8073801487403","145.035289990663","12","1399.27"
"3-109-mjp-1.1.H","-37.8076849165515","145.037894389111","13","1630.57"
"3-109-mjp-1.1.H","-37.8081908031214","145.042299523221","14","2021.63"
"3-109-mjp-1.1.H","-37.8083600244068","145.043805761971","15","2155.29"
"3-109-mjp-1.1.H","-37.8086007619367","145.045821265679","16","2334.37"
"3-109-mjp-1.1.H","-37.8090092998733","145.049263574556","17","2640.17"
"3-109-mjp-1.1.H","-37.8094389457937","145.052898469661","18","2963.05"
"3-109-mjp-1.1.H","-37.8100131386413","145.057654158192","19","3385.69"
"3-109-mjp-1.1.H","-37.8103481810446","145.060485138037","20","3637.16"
"3-109-mjp-1.1.H","-37.8103695630599","145.060689041336","21","3655.23"
"3-109-mjp-1.1.H","-37.810841237034","145.064709187942","22","4012.27"
"3-109-mjp-1.1.H","-37.8113002286768","145.068513893664","23","4350.38"
"3-109-mjp-1.1.H","-37.8116443925309","145.071367457309","24","4603.96"
"3-109-mjp-1.1.H","-37.8121760631085","145.075772406963","25","4995.41"
"3-109-mjp-1.1.H","-37.8128229462368","145.081174070166","26","5475.35"
"3-109-mjp-1.1.H","-37.8131239372134","145.083608570719","27","5691.81"
"3-109-mjp-1.1.H","-37.8136146965684","145.08774212908","28","6059.00"
"3-109-mjp-1.1.H","-37.8140929918843","145.091671591476","29","6408.26"
"3-109-mjp-1.1.H","-37.8144676667136","145.094774509111","30","6684.00"
"3-109-mjp-1.1.H","-37.8149993866782","145.099236606854","31","7080.40"
"3-109-mjp-1.1.H","-37.815155215076","145.100516272524","32","7194.14"
"3-109-mjp-1.1.H","-37.8151877343514","145.10085623454","33","7224.22"
"3-109-mjp-1.1.H","-37.8154673793296","145.103109687398","34","7424.60"
"3-109-mjp-1.1.H","-37.815518639196","145.103494612124","35","7458.89"
"3-109-mjp-1.1.H","-37.81622706481","145.109440492633","36","7987.09"
"3-109-mjp-1.1.H","-37.8169562991231","145.115579085027","37","8532.38"
"3-109-mjp-1.1.H","-37.8171440609882","145.117176095238","38","8674.21"
"3-109-mjp-1.1.H","-37.8173238178951","145.118273467969","39","8772.65"
"3-109-mjp-1.1.H","-37.817501810007","145.119825300449","40","8910.40"
"3-109-mjp-1.1.H","-37.8175021726416","145.119848011723","41","8912.39"
"3-109-mjp-1.1.H","-37.8176301577886","145.120526379882","42","8973.66"
"3-109-mjp-1.1.H","-37.8178755249435","145.122349164379","43","9136.08"
"3-109-mjp-1.2.H","-37.8407894585844","144.932813317564","1","0.00"
"3-109-mjp-1.2.H","-37.8405490546217","144.932979118482","2","30.44"
"3-109-mjp-1.2.H","-37.8404691858078","144.933049529046","3","41.26"
"3-109-mjp-1.2.H","-37.8404333561703","144.933061892794","4","45.39"
"3-109-mjp-1.2.H","-37.8397319510777","144.933661004429","5","139.47"
"3-109-mjp-1.2.H","-37.8392006842088","144.934198541197","6","215.09"
"3-109-mjp-1.2.H","-37.839183267582","144.934233116899","7","218.69"
"3-109-mjp-1.2.H","-37.8390239267965","144.934396647834","8","241.49"
"3-109-mjp-1.2.H","-37.8390065101072","144.934431223408","9","245.09"
"3-109-mjp-1.2.H","-37.8387767049168","144.934687624684","10","279.15"
"3-109-mjp-1.2.H","-37.8383539186446","144.935244847963","11","347.01"
"3-109-mjp-1.2.H","-37.8381517308976","144.935534563613","12","380.96"
"3-109-mjp-1.2.H","-37.8380730553665","144.935673114263","13","395.95"
"3-109-mjp-1.2.H","-37.8380464318349","144.935696582698","14","399.55"
"3-109-mjp-1.2.H","-37.8377835813715","144.936124343385","15","447.15"
"3-109-mjp-1.2.H","-37.8375121201101","144.936575066978","16","496.93"
"3-109-mjp-1.2.H","-37.8371091299168","144.937233984679","17","570.11"
"3-109-mjp-1.2.H","-37.8348224422606","144.940967800918","18","985.05"
"3-109-mjp-1.2.H","-37.8332541997149","144.943533847813","19","1269.99"
"3-109-mjp-1.2.H","-37.8331314693334","144.943730415689","20","1291.99"
"3-109-mjp-1.2.H","-37.8317033179866","144.946065217546","21","1551.35"
"3-109-mjp-1.2.H","-37.8316949050226","144.946099537231","22","1554.50"
"3-109-mjp-1.2.H","-37.8315201069815","144.946411161467","23","1588.07"
"3-109-mjp-1.2.H","-37.8315205031735","144.94643387467","24","1590.06"
"3-109-mjp-1.2.H","-37.831485266123","144.946480300098","25","1595.72"
"3-109-mjp-1.2.H","-37.8314856623013","144.946503013291","26","1597.71"
"3-109-mjp-1.2.H","-37.8314504252217","144.946549438664","27","1603.37"
"3-109-mjp-1.2.H","-37.8314508213864","144.946572151848","28","1605.36"
"3-109-mjp-1.2.H","-37.8313809413603","144.946699072188","29","1618.95"
"3-109-mjp-1.2.H","-37.8312934425843","144.946849204854","30","1635.34"
"3-109-mjp-1.2.H","-37.8312938386898","144.946871917994","31","1637.33"
"3-109-mjp-1.2.H","-37.830286103694","144.948513244942","32","1819.91"
"3-109-mjp-1.2.H","-37.8298305807558","144.949264381979","33","1903.08"
"3-109-mjp-1.2.H","-37.8294625557858","144.949865384749","34","1969.87"
"3-109-mjp-1.2.H","-37.8294541416679","144.949899703003","35","1973.03"
"3-109-mjp-1.2.H","-37.8293838623604","144.950003904258","36","1985.06"
"3-109-mjp-1.2.H","-37.8293842578407","144.950026616858","37","1987.06"
"3-109-mjp-1.2.H","-37.8292268704176","144.950303654959","38","2017.03"
"3-109-mjp-1.2.H","-37.8292272658387","144.950326367514","39","2019.03"
"3-109-mjp-1.2.H","-37.829148571841","144.950464886107","40","2034.01"
"3-109-mjp-1.2.H","-37.8291489672303","144.95048759864","41","2036.01"
"3-109-mjp-1.2.H","-37.8291225381607","144.950522415169","42","2040.25"
"3-109-mjp-1.2.H","-37.8291055118332","144.950579694957","43","2045.62"
"3-109-mjp-1.2.H","-37.8290790827346","144.950614511433","44","2049.86"
"3-109-mjp-1.2.H","-37.8290620563605","144.950671791168","45","2055.24"
"3-109-mjp-1.2.H","-37.8277669696664","144.953411667189","46","2335.67"
"3-109-mjp-1.2.H","-37.8276283781595","144.953733618791","47","2367.88"
"3-109-mjp-1.2.H","-37.8275586873432","144.953871882055","48","2382.28"
"3-109-mjp-1.2.H","-37.8274980037601","144.95400989626","49","2396.16"
"3-109-mjp-1.2.H","-37.8273071418959","144.954435542314","50","2439.14"
"3-109-mjp-1.2.H","-37.8270978690765","144.954838971648","51","2481.53"
"3-109-mjp-1.2.H","-37.8270800515223","144.954850825027","52","2483.77"
"3-109-mjp-1.2.H","-37.8270103593275","144.954989086253","53","2498.18"
"3-109-mjp-1.2.H","-37.8269837315944","144.955012544228","54","2501.78"
"3-109-mjp-1.2.H","-37.8268347475543","144.955255246573","55","2528.78"
"3-109-mjp-1.2.H","-37.8266411203103","144.955521902863","56","2560.59"
"3-109-mjp-1.2.H","-37.8265878646055","144.955568818177","57","2567.81"
"3-109-mjp-1.2.H","-37.8265263902066","144.955661405629","58","2578.43"
"3-109-mjp-1.2.H","-37.8264378934837","144.955754738675","59","2591.24"
"3-109-mjp-1.2.H","-37.8256788285861","144.956673222543","60","2707.99"
"3-109-mjp-1.2.H","-37.8255376659265","144.956847534319","61","2729.92"
"3-109-mjp-1.2.H","-37.8253428525325","144.957046047401","62","2757.73"
"3-109-mjp-1.2.H","-37.8235257984339","144.956198647725","63","2973.05"
"3-109-mjp-1.2.H","-37.8225174976668","144.955737953305","64","3092.25"
"3-109-mjp-1.2.H","-37.8215454221757","144.955287631633","65","3207.35"
"3-109-mjp-1.2.H","-37.821409127672","144.95522322986","66","3223.52"
"3-109-mjp-1.2.H","-37.8212636285079","144.955147721831","67","3241.01"
"3-109-mjp-1.2.H","-37.8211001144611","144.955072711323","68","3260.35"
"3-109-mjp-1.2.H","-37.8190654886538","144.954151890109","69","3500.61"
"3-109-mjp-1.2.H","-37.8187681782188","144.955193873067","70","3597.92"
"3-109-mjp-1.2.H","-37.8176465716775","144.959109939934","71","3963.82"
"3-109-mjp-1.2.H","-37.8174085306146","144.959934412822","72","4040.93"
"3-109-mjp-1.2.H","-37.816269532398","144.963896254869","73","4411.27"
"3-109-mjp-1.2.H","-37.8155633149729","144.966312551506","74","4637.58"
"3-109-mjp-1.2.H","-37.8142609768997","144.970744411993","75","5052.96"
"3-109-mjp-1.2.H","-37.813443379653","144.973504406592","76","5311.89"
"3-109-mjp-1.2.H","-37.8133158865887","144.973950907421","77","5353.60"
"3-109-mjp-1.2.H","-37.8122451389513","144.974570857065","78","5484.52"
"3-109-mjp-1.2.H","-37.8107102896532","144.975453364072","79","5671.97"
"3-109-mjp-1.2.H","-37.8096859663697","144.975629007915","80","5786.91"
"3-109-mjp-1.2.H","-37.8082122405405","144.975873711717","81","5952.19"
"3-109-mjp-1.2.H","-37.808276042262","144.976439898374","82","6002.43"
"3-109-mjp-1.2.H","-37.8083091125314","144.976791111674","83","6033.50"
"3-109-mjp-1.2.H","-37.8084709399479","144.978342824234","84","6171.01"
"3-109-mjp-1.2.H","-37.8089635579097","144.982895582301","85","6574.70"
"3-109-mjp-1.2.H","-37.8093073783875","144.986134828576","86","6861.83"
"3-109-mjp-1.2.H","-37.8097373204801","144.99020096462","87","7222.22"
"3-109-mjp-1.2.H","-37.8097358694517","144.990643998243","88","7261.15"
"3-109-mjp-1.2.H","-37.8097202667369","144.992370962951","89","7412.87"
"3-109-mjp-1.2.H","-37.8097423467854","144.992608900358","90","7433.91"
"3-109-mjp-1.2.H","-37.8097554187091","144.992847081856","91","7454.89"
"3-109-mjp-1.2.H","-37.8097661680429","144.992949020293","92","7463.92"
"3-109-mjp-1.2.H","-37.8100571399947","144.995746785394","93","7711.83"
"3-109-mjp-1.2.H","-37.8104111609486","144.99907674153","94","8007.00"
"3-109-mjp-1.2.H","-37.8105525611453","145.000504154321","95","8133.38"
"3-109-mjp-1.2.H","-37.8105638822478","145.000640156575","96","8145.39"
"3-109-mjp-1.2.H","-37.8109097206184","145.0040271768","97","8445.41"
"3-109-mjp-1.2.H","-37.8109751197072","145.004695599064","98","8504.58"
"3-109-mjp-1.2.H","-37.811042438225","145.005477561459","99","8573.68"
"3-109-mjp-1.2.H","-37.8111829927602","145.006859586414","100","8696.09"
"3-109-mjp-1.2.H","-37.811455621591","145.009657958012","101","8943.78"
"3-109-mjp-1.2.H","-37.8114000511698","145.010102455886","102","8983.31"
"3-109-mjp-1.2.H","-37.8114318707909","145.010385579628","103","9008.44"
"3-109-mjp-1.2.H","-37.8117193666059","145.013001829792","104","9240.48"
"3-109-mjp-1.2.H","-37.8117774363255","145.013238815738","105","9262.28"
"3-109-mjp-1.2.H","-37.8120003198111","145.01416429661","106","9347.27"
"3-109-mjp-1.2.H","-37.8122120546516","145.016032899577","107","9513.10"
"3-109-mjp-1.2.H","-37.8127756721426","145.020606985987","108","9919.78"
"3-109-mjp-1.3.H","-37.8407894585844","144.932813317564","1","0.00"
