service_id,date,exception_type
"MF10-14-200-aus","20241011","2"
"MF10-14-200-aus","20241018","2"
"MF10-14-200-aus","20241025","2"
"MF10-14-200-aus","20241101","2"
"MF10-14-200-aus","20241108","2"
"MF10-14-200-aus","20241115","2"
"MF10-14-200-aus","20241122","2"
"MF10-14-200-aus","20241129","2"
"MF10-14-200-aus","20241206","2"
"MF10-14-200-aus","20241213","2"
"MF10-14-200-aus","20241220","2"
"MF10-14-200-aus","20241227","2"
"MF10-14-207-aus","20241011","2"
"MF10-14-207-aus","20241018","2"
"MF10-14-207-aus","20241025","2"
"MF10-14-207-aus","20241101","2"
"MF10-14-207-aus","20241108","2"
"MF10-14-207-aus","20241115","2"
"MF10-14-207-aus","20241122","2"
"MF10-14-207-aus","20241129","2"
"MF10-14-207-aus","20241206","2"
"MF10-14-207-aus","20241213","2"
"MF10-14-207-aus","20241220","2"
"MF10-14-207-aus","20241227","2"
"MF10-14-270-aus","20241011","2"
"MF10-14-270-aus","20241018","2"
"MF10-14-270-aus","20241025","2"
"MF10-14-270-aus","20241101","2"
"MF10-14-270-aus","20241108","2"
"MF10-14-270-aus","20241115","2"
"MF10-14-270-aus","20241122","2"
"MF10-14-270-aus","20241129","2"
"MF10-14-270-aus","20241206","2"
"MF10-14-270-aus","20241213","2"
"MF10-14-270-aus","20241220","2"
"MF10-14-270-aus","20241227","2"
"MF10-14-271-aus","20241011","2"
"MF10-14-271-aus","20241018","2"
"MF10-14-271-aus","20241025","2"
"MF10-14-271-aus","20241101","2"
"MF10-14-271-aus","20241108","2"
"MF10-14-271-aus","20241115","2"
"MF10-14-271-aus","20241122","2"
"MF10-14-271-aus","20241129","2"
"MF10-14-271-aus","20241206","2"
"MF10-14-271-aus","20241213","2"
"MF10-14-271-aus","20241220","2"
"MF10-14-271-aus","20241227","2"
"MF10-14-273-aus","20241011","2"
"MF10-14-273-aus","20241018","2"
"MF10-14-273-aus","20241025","2"
"MF10-14-273-aus","20241101","2"
"MF10-14-273-aus","20241108","2"
"MF10-14-273-aus","20241115","2"
"MF10-14-273-aus","20241122","2"
"MF10-14-273-aus","20241129","2"
"MF10-14-273-aus","20241206","2"
"MF10-14-273-aus","20241213","2"
"MF10-14-273-aus","20241220","2"
"MF10-14-273-aus","20241227","2"
"MF10-14-279-aus","20241011","2"
"MF10-14-279-aus","20241018","2"
"MF10-14-279-aus","20241025","2"
"MF10-14-279-aus","20241101","2"
"MF10-14-279-aus","20241108","2"
"MF10-14-279-aus","20241115","2"
"MF10-14-279-aus","20241122","2"
"MF10-14-279-aus","20241129","2"
"MF10-14-279-aus","20241206","2"
"MF10-14-279-aus","20241213","2"
"MF10-14-279-aus","20241220","2"
"MF10-14-279-aus","20241227","2"
"MF10-14-280-aus","20241011","2"
"MF10-14-280-aus","20241018","2"
"MF10-14-280-aus","20241025","2"
"MF10-14-280-aus","20241101","2"
"MF10-14-280-aus","20241108","2"
"MF10-14-280-aus","20241115","2"
"MF10-14-280-aus","20241122","2"
"MF10-14-280-aus","20241129","2"
"MF10-14-280-aus","20241206","2"
"MF10-14-280-aus","20241213","2"
"MF10-14-280-aus","20241220","2"
"MF10-14-280-aus","20241227","2"
"MF10-14-281-aus","20241011","2"
"MF10-14-281-aus","20241018","2"
"MF10-14-281-aus","20241025","2"
"MF10-14-281-aus","20241101","2"
"MF10-14-281-aus","20241108","2"
"MF10-14-281-aus","20241115","2"
"MF10-14-281-aus","20241122","2"
"MF10-14-281-aus","20241129","2"
"MF10-14-281-aus","20241206","2"
"MF10-14-281-aus","20241213","2"
"MF10-14-281-aus","20241220","2"
"MF10-14-281-aus","20241227","2"
"MF10-14-282-aus","20241011","2"
"MF10-14-282-aus","20241018","2"
"MF10-14-282-aus","20241025","2"
"MF10-14-282-aus","20241101","2"
"MF10-14-282-aus","20241108","2"
"MF10-14-282-aus","20241115","2"
"MF10-14-282-aus","20241122","2"
"MF10-14-282-aus","20241129","2"
"MF10-14-282-aus","20241206","2"
"MF10-14-282-aus","20241213","2"
"MF10-14-282-aus","20241220","2"
"MF10-14-282-aus","20241227","2"
"MF10-14-284-aus","20241011","2"
"MF10-14-284-aus","20241018","2"
"MF10-14-284-aus","20241025","2"
"MF10-14-284-aus","20241101","2"
"MF10-14-284-aus","20241108","2"
"MF10-14-284-aus","20241115","2"
"MF10-14-284-aus","20241122","2"
"MF10-14-284-aus","20241129","2"
"MF10-14-284-aus","20241206","2"
"MF10-14-284-aus","20241213","2"
"MF10-14-284-aus","20241220","2"
"MF10-14-284-aus","20241227","2"
"MF10-14-285-aus","20241011","2"
"MF10-14-285-aus","20241018","2"
"MF10-14-285-aus","20241025","2"
"MF10-14-285-aus","20241101","2"
"MF10-14-285-aus","20241108","2"
"MF10-14-285-aus","20241115","2"
"MF10-14-285-aus","20241122","2"
"MF10-14-285-aus","20241129","2"
"MF10-14-285-aus","20241206","2"
"MF10-14-285-aus","20241213","2"
"MF10-14-285-aus","20241220","2"
"MF10-14-285-aus","20241227","2"
"MF10-14-293-aus","20241011","2"
"MF10-14-293-aus","20241018","2"
"MF10-14-293-aus","20241025","2"
"MF10-14-293-aus","20241101","2"
"MF10-14-293-aus","20241108","2"
"MF10-14-293-aus","20241115","2"
"MF10-14-293-aus","20241122","2"
"MF10-14-293-aus","20241129","2"
"MF10-14-293-aus","20241206","2"
"MF10-14-293-aus","20241213","2"
"MF10-14-293-aus","20241220","2"
"MF10-14-293-aus","20241227","2"
"MF10-14-295-aus","20241011","2"
"MF10-14-295-aus","20241018","2"
"MF10-14-295-aus","20241025","2"
"MF10-14-295-aus","20241101","2"
"MF10-14-295-aus","20241108","2"
"MF10-14-295-aus","20241115","2"
"MF10-14-295-aus","20241122","2"
"MF10-14-295-aus","20241129","2"
"MF10-14-295-aus","20241206","2"
"MF10-14-295-aus","20241213","2"
"MF10-14-295-aus","20241220","2"
"MF10-14-295-aus","20241227","2"
"MF10-14-302-aus","20241011","2"
"MF10-14-302-aus","20241018","2"
"MF10-14-302-aus","20241025","2"
"MF10-14-302-aus","20241101","2"
"MF10-14-302-aus","20241108","2"
"MF10-14-302-aus","20241115","2"
"MF10-14-302-aus","20241122","2"
"MF10-14-302-aus","20241129","2"
"MF10-14-302-aus","20241206","2"
"MF10-14-302-aus","20241213","2"
"MF10-14-302-aus","20241220","2"
"MF10-14-302-aus","20241227","2"
"MF10-14-303-aus","20241011","2"
"MF10-14-303-aus","20241018","2"
"MF10-14-303-aus","20241025","2"
"MF10-14-303-aus","20241101","2"
"MF10-14-303-aus","20241108","2"
"MF10-14-303-aus","20241115","2"
"MF10-14-303-aus","20241122","2"
"MF10-14-303-aus","20241129","2"
"MF10-14-303-aus","20241206","2"
"MF10-14-303-aus","20241213","2"
"MF10-14-303-aus","20241220","2"
"MF10-14-303-aus","20241227","2"
"MF10-14-304-aus","20241011","2"
"MF10-14-304-aus","20241018","2"
"MF10-14-304-aus","20241025","2"
"MF10-14-304-aus","20241101","2"
"MF10-14-304-aus","20241108","2"
"MF10-14-304-aus","20241115","2"
"MF10-14-304-aus","20241122","2"
"MF10-14-304-aus","20241129","2"
"MF10-14-304-aus","20241206","2"
"MF10-14-304-aus","20241213","2"
"MF10-14-304-aus","20241220","2"
"MF10-14-304-aus","20241227","2"
"MF10-14-305-aus","20241011","2"
"MF10-14-305-aus","20241018","2"
"MF10-14-305-aus","20241025","2"
"MF10-14-305-aus","20241101","2"
"MF10-14-305-aus","20241108","2"
"MF10-14-305-aus","20241115","2"
"MF10-14-305-aus","20241122","2"
"MF10-14-305-aus","20241129","2"
"MF10-14-305-aus","20241206","2"
"MF10-14-305-aus","20241213","2"
"MF10-14-305-aus","20241220","2"
"MF10-14-305-aus","20241227","2"
"MF10-14-309-aus","20241011","2"
"MF10-14-309-aus","20241018","2"
"MF10-14-309-aus","20241025","2"
"MF10-14-309-aus","20241101","2"
"MF10-14-309-aus","20241108","2"
"MF10-14-309-aus","20241115","2"
"MF10-14-309-aus","20241122","2"
"MF10-14-309-aus","20241129","2"
"MF10-14-309-aus","20241206","2"
"MF10-14-309-aus","20241213","2"
"MF10-14-309-aus","20241220","2"
"MF10-14-309-aus","20241227","2"
"MF10-14-318-aus","20241011","2"
"MF10-14-318-aus","20241018","2"
"MF10-14-318-aus","20241025","2"
"MF10-14-318-aus","20241101","2"
"MF10-14-318-aus","20241108","2"
"MF10-14-318-aus","20241115","2"
"MF10-14-318-aus","20241122","2"
"MF10-14-318-aus","20241129","2"
"MF10-14-318-aus","20241206","2"
"MF10-14-318-aus","20241213","2"
"MF10-14-318-aus","20241220","2"
"MF10-14-318-aus","20241227","2"
"MF10-14-364-aus","20241011","2"
"MF10-14-364-aus","20241018","2"
"MF10-14-364-aus","20241025","2"
"MF10-14-364-aus","20241101","2"
"MF10-14-364-aus","20241108","2"
"MF10-14-364-aus","20241115","2"
"MF10-14-364-aus","20241122","2"
"MF10-14-364-aus","20241129","2"
"MF10-14-364-aus","20241206","2"
"MF10-14-364-aus","20241213","2"
"MF10-14-364-aus","20241220","2"
"MF10-14-364-aus","20241227","2"
"MF10-14-370-aus","20241011","2"
"MF10-14-370-aus","20241018","2"
"MF10-14-370-aus","20241025","2"
"MF10-14-370-aus","20241101","2"
"MF10-14-370-aus","20241108","2"
"MF10-14-370-aus","20241115","2"
"MF10-14-370-aus","20241122","2"
"MF10-14-370-aus","20241129","2"
"MF10-14-370-aus","20241206","2"
"MF10-14-370-aus","20241213","2"
"MF10-14-370-aus","20241220","2"
"MF10-14-370-aus","20241227","2"
"MF10-14-380-aus","20241011","2"
"MF10-14-380-aus","20241018","2"
"MF10-14-380-aus","20241025","2"
"MF10-14-380-aus","20241101","2"
"MF10-14-380-aus","20241108","2"
"MF10-14-380-aus","20241115","2"
"MF10-14-380-aus","20241122","2"
"MF10-14-380-aus","20241129","2"
"MF10-14-380-aus","20241206","2"
"MF10-14-380-aus","20241213","2"
"MF10-14-380-aus","20241220","2"
"MF10-14-380-aus","20241227","2"
"MF10-14-903-aus","20241011","2"
"MF10-14-903-aus","20241018","2"
"MF10-14-903-aus","20241025","2"
"MF10-14-903-aus","20241101","2"
"MF10-14-903-aus","20241108","2"
"MF10-14-903-aus","20241115","2"
"MF10-14-903-aus","20241122","2"
"MF10-14-903-aus","20241129","2"
"MF10-14-903-aus","20241206","2"
"MF10-14-903-aus","20241213","2"
"MF10-14-903-aus","20241220","2"
"MF10-14-903-aus","20241227","2"
"MF10-14-905-aus","20241011","2"
"MF10-14-905-aus","20241018","2"
"MF10-14-905-aus","20241025","2"
"MF10-14-905-aus","20241101","2"
"MF10-14-905-aus","20241108","2"
"MF10-14-905-aus","20241115","2"
"MF10-14-905-aus","20241122","2"
"MF10-14-905-aus","20241129","2"
"MF10-14-905-aus","20241206","2"
"MF10-14-905-aus","20241213","2"
"MF10-14-905-aus","20241220","2"
"MF10-14-905-aus","20241227","2"
"MF10-14-906-aus","20241011","2"
"MF10-14-906-aus","20241018","2"
"MF10-14-906-aus","20241025","2"
"MF10-14-906-aus","20241101","2"
"MF10-14-906-aus","20241108","2"
"MF10-14-906-aus","20241115","2"
"MF10-14-906-aus","20241122","2"
"MF10-14-906-aus","20241129","2"
"MF10-14-906-aus","20241206","2"
"MF10-14-906-aus","20241213","2"
"MF10-14-906-aus","20241220","2"
"MF10-14-906-aus","20241227","2"
