route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"5-995-mjp-10","","","Melbourne - Warrnambool Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-mjp-2","","","Melbourne - Warrnambool Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-mjp-3","","","Melbourne - Warrnambool Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-mjp-4","","","Melbourne - Warrnambool Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-mjp-5","","","Melbourne - Warrnambool Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-mjp-6","","","Melbourne - Warrnambool Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-mjp-8","","","Melbourne - Warrnambool Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-995-mjp-9","","","Melbourne - Warrnambool Via Ararat & Hamilton","3","A57FB2","FFFFFF"
"5-ABY-mjp-1","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-ABY-mjp-10","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-ABY-mjp-11","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-ABY-mjp-2","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-ABY-mjp-3","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-ABY-mjp-4","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-ABY-mjp-5","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-ABY-mjp-6","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-ABY-mjp-7","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-ABY-mjp-8","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-ABY-mjp-9","","","Melbourne - Albury Via Seymour","3","A57FB2","FFFFFF"
"5-als-mjp-1","","","Seymour - Alexandra Via Yea","3","A57FB2","FFFFFF"
"5-als-mjp-2","","","Seymour - Alexandra Via Yea","3","A57FB2","FFFFFF"
"5-als-mjp-3","","","Seymour - Alexandra Via Yea","3","A57FB2","FFFFFF"
"5-als-mjp-4","","","Seymour - Alexandra Via Yea","3","A57FB2","FFFFFF"
"5-als-mjp-5","","","Seymour - Alexandra Via Yea","3","A57FB2","FFFFFF"
"5-als-mjp-6","","","Seymour - Alexandra Via Yea","3","A57FB2","FFFFFF"
"5-als-mjp-7","","","Seymour - Alexandra Via Yea","3","A57FB2","FFFFFF"
"5-als-mjp-8","","","Seymour - Alexandra Via Yea","3","A57FB2","FFFFFF"
"5-als-mjp-9","","","Seymour - Alexandra Via Yea","3","A57FB2","FFFFFF"
"5-ART-mjp-1","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-ART-mjp-10","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-ART-mjp-11","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-ART-mjp-2","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-ART-mjp-3","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-ART-mjp-4","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-ART-mjp-5","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-ART-mjp-6","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-ART-mjp-7","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-ART-mjp-8","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-ART-mjp-9","","","Ararat - Melbourne Via Ballarat","3","A57FB2","FFFFFF"
"5-BAT-mjp-1","","","Melbourne Via Melton","3","A57FB2","FFFFFF"
"5-BAT-mjp-10","","","Ballarat - Melbourne Via Melton","3","A57FB2","FFFFFF"
"5-BAT-mjp-11","","","Ballarat - Melbourne Via Melton","3","A57FB2","FFFFFF"
"5-BAT-mjp-2","","","Ballarat - Melbourne Via Melton","3","A57FB2","FFFFFF"
"5-BAT-mjp-3","","","Ballarat Via Melton","3","A57FB2","FFFFFF"
"5-BAT-mjp-4","","","Ballarat Via Melton","3","A57FB2","FFFFFF"
"5-BAT-mjp-5","","","Melbourne Via Melton","3","A57FB2","FFFFFF"
"5-BAT-mjp-6","","","Ballarat - Melbourne Via Melton","3","A57FB2","FFFFFF"
"5-BAT-mjp-7","","","Ballarat - Melbourne Via Melton","3","A57FB2","FFFFFF"
"5-BAT-mjp-8","","","Melbourne Via Melton","3","A57FB2","FFFFFF"
"5-BAT-mjp-9","","","Ballarat - Melbourne Via Melton","3","A57FB2","FFFFFF"
"5-BDE-mjp-1","","","Melbourne - Bairnsdale Via Sale & Traralgon","3","A57FB2","FFFFFF"
"5-BDE-mjp-10","","","Melbourne - Bairnsdale Via Sale & Traralgon","3","A57FB2","FFFFFF"
"5-BDE-mjp-11","","","Melbourne - Bairnsdale Via Sale & Traralgon","3","A57FB2","FFFFFF"
"5-BDE-mjp-2","","","Melbourne - Bairnsdale Via Sale & Traralgon","3","A57FB2","FFFFFF"
"5-BDE-mjp-3","","","Melbourne - Bairnsdale Via Sale & Traralgon","3","A57FB2","FFFFFF"
"5-BDE-mjp-4","","","Bairnsdale Via Traralgon & Sale","3","A57FB2","FFFFFF"
"5-BDE-mjp-5","","","Melbourne - Bairnsdale Via Sale & Traralgon","3","A57FB2","FFFFFF"
"5-BDE-mjp-6","","","Melbourne - Bairnsdale Via Sale & Traralgon","3","A57FB2","FFFFFF"
