Region,2017,2018,2019,2020,2021,2022
Alfredton,276,277,277,277,277,277
Ballarat,419,419,419,419,419,446
Buninyong,50,50,50,50,50,50
Delacombe,10,10,10,10,10,10
Smythes Creek,,,,,,
Wendouree - Miners Rest,277,277,277,277,277,277
Ballarat East - Warrenheip,57,57,57,58,58,58
Ballarat North - Invermay,88,88,89,89,89,89
Canadian - Mount Clear,230,230,230,230,230,230
Sebastopol - Redan,15,15,15,15,20,21
Bacchus Marsh Surrounds,,,,,,
Creswick - Clunes,128,128,128,128,128,128
Daylesford,10,10,10,10,10,10
Gordon (Vic.),5,5,5,5,5,5
Avoca,,,,,,
Beaufort,10,10,10,10,10,10
Golden Plains - North,5,5,5,5,5,5
Maryborough (Vic.),90,90,90,90,90,90
Maryborough Surrounds,,,,,,
Bendigo,164,166,165,165,165,165
California Gully - Eaglehawk,15,15,15,15,15,15
East Bendigo - Kennington,94,94,95,95,95,95
Flora Hill - Spring Gully,25,25,25,25,25,25
Kangaroo Flat - Golden Square,241,241,241,241,241,241
Maiden Gully,,,,,,
Strathfieldsaye,,,,,,
White Hills - Ascot,5,5,5,5,5,5
Bendigo Surrounds - South,,,,,,
Castlemaine,10,10,10,10,10,10
Castlemaine Surrounds,15,15,15,15,15,15
Heathcote,5,5,5,5,5,5
Kyneton,4,5,5,5,5,5
Woodend,8,10,10,10,10,10
Bendigo Surrounds - North,10,10,10,10,10,10
Loddon,5,5,5,5,5,5
Bannockburn,,,,,,
Golden Plains - South,,,,,,
Winchelsea,,,,,,
Belmont,58,58,58,58,58,58
Geelong,665,672,672,893,1 136,1 136
Geelong West - Hamlyn Heights,1 095,1 095,1 096,1 122,1 183,1 183
Highton,----,----,----,20,20,20
Lara,71,71,72,72,72,87
Leopold,5,5,5,5,5,5
Newcomb - Moolap,57,57,57,57,57,57
Newtown (Vic.),109,111,114,114,114,114
North Geelong - Bell Park,303,303,303,303,303,303
Charlemont,15,15,15,15,15,15
Corio - Lovely Banks,111,111,111,111,111,111
Grovedale - Mount Duneed,28,28,29,45,45,45
Norlane,63,63,63,64,64,66
Clifton Springs,36,37,37,37,37,37
Lorne - Anglesea,71,70,70,70,85,85
Portarlington,32,34,34,44,44,44
Point Lonsdale - Queenscliff,98,98,98,113,113,113
Torquay,211,212,215,215,226,226
Barwon Heads - Armstrong Creek,60,60,60,64,70,73
Ocean Grove,17,17,32,37,52,58
Alexandra,10,10,10,10,10,10
Euroa,15,15,15,15,15,15
Kilmore - Broadford,32,32,33,33,33,33
Mansfield (Vic.),193,193,195,238,238,238
Nagambie,5,5,5,5,5,5
Seymour,----,3,5,5,5,5
Seymour Surrounds,,,,,,
Upper Yarra Valley,,,,,,
Yea,,,,,,
Benalla,5,5,5,5,5,5
Benalla Surrounds,,,,,,
Rutherglen,9,10,10,10,10,10
Wangaratta,5,5,5,5,5,5
Wangaratta Surrounds,10,10,10,10,10,10
Beechworth,20,20,20,20,20,20
Bright - Mount Beauty,421,421,424,425,425,425
Chiltern - Indigo Valley,10,10,10,10,10,10
Myrtleford,5,5,5,5,5,5
Towong,25,25,25,25,25,25
West Wodonga,208,208,208,208,208,208
Yackandandah,14,14,15,15,15,15
Baranduda - Leneva,,,,,,
Wodonga,106,110,113,113,113,113
Drouin,316,316,316,316,316,316
Mount Baw Baw Region,13,13,15,15,15,15
Trafalgar (Vic.),10,10,10,10,10,10
Warragul,378,378,378,378,378,378
Bairnsdale,115,115,115,115,115,115
Bruthen - Omeo,24,25,25,25,25,25
Lakes Entrance,84,84,81,81,81,81
Orbost,26,26,26,26,31,31
Paynesville,40,40,40,40,40,40
Foster,98,98,98,98,98,98
French Island,,,,,,
Korumburra,1,1,1,1,----,----
Leongatha,37,37,37,37,37,37
Phillip Island,399,400,400,400,400,400
Wilsons Promontory,,,,,,
Wonthaggi - Inverloch,183,187,188,188,188,188
Churchill,67,67,67,67,67,67
Moe - Newborough,327,327,328,328,328,328
Morwell,576,576,576,576,576,576
Yallourn North - Glengarry,5,5,5,5,5,5
Traralgon - East,724,724,724,724,724,724
Traralgon - West,526,527,527,527,528,528
Alps - West,,,,,,
Longford - Loch Sport,10,10,10,10,10,10
Maffra,253,254,254,254,254,257
Rosedale,,,,,,
Sale,484,485,485,504,504,504
Yarram,66,66,66,67,69,69
Brunswick East,2 577,2 957,3 091,3 474,3 610,3 682
Brunswick West,2 760,3 151,3 230,3 522,3 490,3 490
Pascoe Vale South,374,374,386,386,398,398
Brunswick - North,1 641,1 811,2 049,2 128,2 133,2 136
Brunswick - South,2 696,2 973,2 992,3 138,3 146,3 239
Coburg - East,839,847,851,851,999,1 330
Coburg - West,237,247,349,349,349,349
Alphington - Fairfield,1 048,1 067,1 146,1 184,1 221,1 235
Thornbury,2 203,2 312,2 319,2 339,2 366,2 379
Northcote - East,1 676,1 686,1 761,1 763,1 780,1 780
Northcote - West,962,1 168,1 170,1 172,1 134,1 150
Ascot Vale,2 401,2 415,2 437,2 483,2 415,2 415
Flemington,3 053,3 483,3 483,3 285,3 285,3 285
Moonee Ponds,1 914,1 931,2 064,2 095,3 450,3 553
Essendon (West) - Aberfeldie,1 900,1 906,1 971,2 093,2 116,2 116
Essendon - East,2 206,2 402,2 490,2 633,2 670,2 716
Carlton,7 454,7 839,7 906,8 961,8 964,9 025
Docklands,8 214,9 323,9 768,9 768,10 602,10 913
East Melbourne,2 247,2 251,2 366,2 640,2 640,2 640
Flemington Racecourse,34,34,34,34,34,34
Kensington (Vic.),1 585,1 592,1 779,1 781,1 781,1 860
Parkville,1 638,1 638,1 811,1 811,1 811,1 811
South Yarra - West,3 347,3 613,3 634,3 642,3 656,3 641
West Melbourne - Industrial,,,,,,
Melbourne CBD - East,6 673,6 673,7 131,7 131,7 311,7 311
Melbourne CBD - North,8 693,10 410,11 066,12 157,12 423,14 047
Melbourne CBD - West,9 589,9 997,9 997,10 257,11 977,13 328
North Melbourne,5 739,6 315,6 322,6 845,6 849,6 851
Southbank (West) - South Wharf,4 362,4 839,5 005,5 005,5 005,5 507
Southbank - East,7 986,8 547,9 397,9 759,12 174,12 451
West Melbourne - Residential,1 945,2 593,2 828,3 532,3 797,3 823
Albert Park,4 455,4 818,5 297,5 452,5 435,5 683
Elwood,6 479,6 519,6 513,6 547,6 576,6 591
Port Melbourne,4 725,4 726,4 769,4 826,4 826,4 855
St Kilda East,6 696,6 773,6 821,6 826,6 848,6 866
Port Melbourne Industrial,60,271,271,293,729,937
South Melbourne,4 154,4 589,4 702,4 713,4 713,4 914
St Kilda - Central,7 022,7 199,7 246,7 256,7 346,7 458
St Kilda - West,7 347,7 608,7 672,7 661,8 139,8 232
Armadale,2 849,3 006,3 031,3 155,3 223,3 235
Prahran - Windsor,7 180,7 235,7 356,7 565,7 606,7 698
Toorak,3 516,3 598,3 644,3 767,3 781,3 795
South Yarra - North,6 834,7 103,7 105,7 112,7 998,8 046
South Yarra - South,4 094,4 204,4 221,4 233,4 251,4 262
Abbotsford,3 083,3 086,3 148,3 316,3 901,3 901
Carlton North - Princes Hill,1 043,1 044,1 044,1 044,1 044,1 044
Collingwood,3 288,3 419,3 692,3 942,3 948,4 373
Fitzroy,3 287,3 399,3 448,3 525,3 731,3 845
Fitzroy North,2 304,2 358,2 480,2 519,2 520,2 534
Clifton Hill - Alphington,950,983,1 084,1 176,1 397,1 689
Richmond (South) - Cremorne,3 566,3 716,3 890,3 991,4 206,4 234
Richmond - North,4 837,4 926,5 566,5 570,5 641,6 032
Ashburton (Vic.),124,124,124,120,120,120
Balwyn,1 079,1 099,1 136,1 138,1 145,1 169
Balwyn North,207,226,278,300,308,308
Camberwell,1 592,1 617,1 643,1 646,1 653,1 658
Glen Iris - East,570,666,687,696,781,792
Hawthorn East,3 573,3 684,3 684,4 029,4 445,4 646
Kew East,308,308,334,334,335,337
Surrey Hills (West) - Canterbury,642,673,707,707,776,776
Hawthorn - North,2 445,2 467,2 486,2 532,2 553,2 552
