Region,2011,2016,2021
Alfredton,47.5,55.3,61.4
Ballarat,54.7,57.3,63
Buninyong,57.1,57.5,60.3
Delacombe,34.2,40.9,49.6
Smythes Creek,37,41.5,46.4
Wendouree - Miners Rest,32.4,35.6,40.8
Ballarat East - Warrenheip,40.3,43.7,49.3
Ballarat North - Invermay,47.8,52.2,58
Canadian - Mount Clear,48.4,51.9,55.8
Sebastopol - Redan,32.6,36.2,40.1
Bacchus Marsh Surrounds,37.8,41.7,46.2
Creswick - Clunes,35.6,38.5,44.1
Daylesford,46.3,48.5,56.7
Gordon (Vic.),37.4,39.7,46.3
Avoca,28.7,30.8,34.1
Beaufort,29.6,30.1,35
Golden Plains - North,33.4,37.3,41.3
Maryborough (Vic.),25.6,29.3,33.6
Maryborough Surrounds,29.5,31.6,32.5
Bendigo,38.6,43,48.2
California Gully - Eaglehawk,28.8,31.9,39.8
East Bendigo - Kennington,46.5,49.1,53.8
Flora Hill - Spring Gully,54.9,56.4,59.9
Kangaroo Flat - Golden Square,34.4,37.5,41.6
Maiden Gully,42.4,46.5,53.1
Strathfieldsaye,51.3,54.3,59.2
White Hills - Ascot,37.9,43,48
Bendigo Surrounds - South,41.9,45.6,51.6
Castlemaine,40.7,44.5,53.3
Castlemaine Surrounds,42.2,45,52.3
Heathcote,26.2,30.2,34.3
Kyneton,41.3,47.1,55.8
Woodend,53.9,58.4,64.8
Bendigo Surrounds - North,31.2,33.6,36.6
Loddon,26.8,27.9,32.7
Bannockburn,41.9,47.7,50
Golden Plains - South,37.8,41.6,48.4
Winchelsea,41.4,45.5,52.5
Belmont,46.3,52.4,60.3
Geelong,50.5,53.9,61.5
Geelong West - Hamlyn Heights,48.6,54.2,63.1
Highton,57.8,63.6,68.9
Lara,39.2,43.3,48.9
Leopold,40.2,45,50.4
Newcomb - Moolap,30,34.2,39.9
Newtown (Vic.),60.5,64.9,71.3
North Geelong - Bell Park,37.4,43,50.4
Charlemont,40.1,52,63.7
Corio - Lovely Banks,29.6,32.9,38.3
Grovedale - Mount Duneed,45.1,50.1,58.6
Norlane,25.4,28.5,35.8
Clifton Springs,39.2,43.1,49.5
Lorne - Anglesea,51.3,57.2,65.8
Portarlington,32.3,35.1,42
Point Lonsdale - Queenscliff,53.1,54.8,62.3
Torquay,57.7,62,67.8
Barwon Heads - Armstrong Creek,57.2,62.7,69.4
Ocean Grove,50,54.9,60.2
Alexandra,35.8,35.3,41.1
Euroa,32.5,36.7,40.8
Kilmore - Broadford,37,39.3,44.7
