Region,2011,2016,2021
Alfredton,8,3,64
Ballarat,96,123,57
Buninyong,----,----,43
Delacombe,32,38,43
Smythes Creek,----,----,5
Wendouree - Miners Rest,49,74,93
Ballarat East - Warrenheip,52,49,148
Ballarat North - Invermay,29,41,46
Canadian - Mount Clear,37,24,59
Sebastopol - Redan,91,53,77
Bacchus Marsh Surrounds,10,8,3
Creswick - Clunes,18,4,15
Daylesford,24,22,27
Gordon (Vic.),4,8,10
Avoca,3,21,15
Beaufort,4,7,6
Golden Plains - North,4,5,9
Maryborough (Vic.),28,26,19
Maryborough Surrounds,15,10,6
Bendigo,49,59,105
California Gully - Eaglehawk,45,43,111
East Bendigo - Kennington,70,47,76
Flora Hill - Spring Gully,23,46,91
Kangaroo Flat - Golden Square,64,59,126
Maiden Gully,4,4,----
Strathfieldsaye,10,4,9
White Hills - Ascot,17,3,32
Bendigo Surrounds - South,3,9,4
Castlemaine,16,45,31
Castlemaine Surrounds,28,20,12
Heathcote,16,6,----
Kyneton,43,31,50
Woodend,8,5,16
Bendigo Surrounds - North,6,4,12
Loddon,25,42,22
Bannockburn,3,6,13
Golden Plains - South,7,5,6
Winchelsea,3,5,11
Belmont,17,101,116
Geelong,62,85,76
Geelong West - Hamlyn Heights,47,53,90
Highton,37,48,359
Lara,17,33,17
Leopold,17,10,----
Newcomb - Moolap,56,73,75
Newtown (Vic.),38,8,44
North Geelong - Bell Park,53,44,64
Charlemont,3,----,9
Corio - Lovely Banks,107,122,163
Grovedale - Mount Duneed,65,102,440
Norlane,70,38,50
Clifton Springs,20,8,7
Lorne - Anglesea,3,24,13
Portarlington,3,11,9
Point Lonsdale - Queenscliff,5,10,----
Torquay,10,15,26
Barwon Heads - Armstrong Creek,3,10,5
Ocean Grove,17,8,8
Alexandra,11,18,26
Euroa,9,8,26
Kilmore - Broadford,19,23,33
Mansfield (Vic.),22,21,32
Nagambie,6,13,5
Seymour,69,41,68
Seymour Surrounds,3,26,3
Upper Yarra Valley,,,
Yea,11,6,----
Benalla,27,38,20
Benalla Surrounds,4,4,----
Rutherglen,----,6,5
Wangaratta,95,72,92
Wangaratta Surrounds,15,7,30
Beechworth,----,10,----
Bright - Mount Beauty,17,17,27
Chiltern - Indigo Valley,5,----,6
Myrtleford,6,13,6
Towong,10,6,5
West Wodonga,65,25,96
Yackandandah,17,3,8
Baranduda - Leneva,8,21,9
Wodonga,89,128,108
Drouin,23,32,48
Mount Baw Baw Region,5,4,5
Trafalgar (Vic.),10,10,30
Warragul,53,38,58
