Region,2011,2016,2021
Alfredton,4 084,5 747,8 528
Ballarat,5 681,5 491,5 804
Buninyong,3 270,3 288,3 495
Delacombe,2 658,3 288,5 205
Smythes Creek,1 848,1 951,2 224
Wendouree - Miners Rest,5 605,5 504,6 361
Ballarat East - Warrenheip,3 836,3 885,4 288
Ballarat North - Invermay,6 484,6 647,7 370
Canadian - Mount Clear,4 905,5 073,5 823
Sebastopol - Redan,4 945,4 920,5 327
Bacchus Marsh Surrounds,2 664,2 696,3 182
Creswick - Clunes,3 164,3 172,3 430
Daylesford,3 737,3 888,4 470
Gordon (Vic.),2 585,2 659,3 179
Avoca,1 261,1 208,1 348
Beaufort,1 535,1 631,1 882
Golden Plains - North,1 785,1 921,2 185
Maryborough (Vic.),2 597,2 585,2 778
Maryborough Surrounds,1 907,1 844,1 982
Bendigo,6 130,6 053,6 715
California Gully - Eaglehawk,4 124,4 671,5 616
East Bendigo - Kennington,6 290,5 939,6 416
Flora Hill - Spring Gully,4 438,4 339,4 688
Kangaroo Flat - Golden Square,7 999,8 201,9 108
Maiden Gully,2 319,2 536,2 918
Strathfieldsaye,3 596,4 220,5 368
White Hills - Ascot,4 308,5 641,6 926
Bendigo Surrounds - South,3 089,3 518,4 350
Castlemaine,3 894,4 044,4 557
Castlemaine Surrounds,3 679,3 648,4 162
Heathcote,1 486,1 575,1 948
Kyneton,4 070,4 293,4 980
Woodend,3 127,3 165,3 764
Bendigo Surrounds - North,1 950,1 976,2 230
Loddon,2 730,2 637,2 879
Bannockburn,2 330,3 034,3 891
Golden Plains - South,3 013,3 292,4 043
Winchelsea,2 747,2 809,3 371
Belmont,6 311,6 480,7 480
Geelong,6 104,6 307,7 121
Geelong West - Hamlyn Heights,9 321,9 705,11 470
Highton,9 592,10 613,12 375
Lara,7 393,8 335,9 936
Leopold,4 851,5 938,6 464
Newcomb - Moolap,6 306,5 955,6 647
Newtown (Vic.),4 781,4 908,5 376
North Geelong - Bell Park,5 894,6 141,7 170
Charlemont,724,1 708,5 648
Corio - Lovely Banks,6 610,6 311,7 257
Grovedale - Mount Duneed,8 689,9 275,12 627
Norlane,2 520,2 521,3 106
Clifton Springs,5 143,5 683,7 564
Lorne - Anglesea,2 158,2 276,2 879
Portarlington,2 174,2 377,3 485
Point Lonsdale - Queenscliff,1 578,1 499,2 169
Torquay,7 455,8 876,12 382
Barwon Heads - Armstrong Creek,2 035,3 713,5 828
Ocean Grove,6 643,7 276,9 277
Alexandra,2 718,2 647,2 957
Euroa,2 588,2 617,2 888
Kilmore - Broadford,5 379,6 048,7 214
Mansfield (Vic.),3 873,3 912,4 785
Nagambie,1 575,1 766,2 047
Seymour,2 597,2 457,2 687
Seymour Surrounds,2 082,2 152,2 465
Upper Yarra Valley,78,69,83
Yea,1 502,1 463,1 760
Benalla,4 313,3 992,4 437
Benalla Surrounds,1 755,1 703,1 858
Rutherglen,1 751,1 761,1 881
Wangaratta,7 787,7 863,8 934
Wangaratta Surrounds,4 794,4 755,5 110
Beechworth,1 904,1 996,2 309
Bright - Mount Beauty,3 615,3 681,4 318
Chiltern - Indigo Valley,1 475,1 528,1 600
Myrtleford,2 004,2 042,2 275
Towong,2 731,2 655,2 834
West Wodonga,7 023,6 956,7 225
Yackandandah,2 258,2 245,2 625
Baranduda - Leneva,3 576,4 729,6 750
Wodonga,6 291,6 508,6 707
Drouin,5 937,6 780,8 864
Mount Baw Baw Region,2 852,2 748,3 106
Trafalgar (Vic.),3 356,3 432,3 869
Warragul,7 724,8 351,10 836
Bairnsdale,5 512,5 731,6 475
Bruthen - Omeo,3 423,3 481,3 888
Lakes Entrance,3 526,3 457,3 919
Orbost,2 637,2 303,2 515
Paynesville,1 980,2 087,2 431
Foster,3 668,3 510,3 973
French Island,56,50,57
Korumburra,4 020,4 009,4 596
Leongatha,4 931,4 784,5 165
Phillip Island,3 936,4 049,5 536
Wilsons Promontory,6,8,8
Wonthaggi - Inverloch,8 111,8 397,10 846
Churchill,5 099,4 860,5 145
Moe - Newborough,6 171,6 087,6 498
Morwell,4 843,4 469,4 720
Yallourn North - Glengarry,2 133,2 087,2 279
Traralgon - East,4 745,4 702,5 271
Traralgon - West,7 176,7 208,8 143
Alps - West,15,15,13
Longford - Loch Sport,1 632,1 669,2 092
Maffra,5 865,6 062,6 450
Rosedale,1 854,1 850,1 906
Sale,6 230,6 154,6 565
Yarram,2 248,2 140,2 238
Brunswick East,4 936,6 654,8 513
Brunswick West,7 047,7 387,8 573
Pascoe Vale South,4 597,4 850,5 621
Brunswick - North,6 211,7 244,8 070
Brunswick - South,6 775,7 868,8 526
Coburg - East,5 606,6 511,7 020
Coburg - West,6 341,6 739,7 530
Alphington - Fairfield,4 499,4 923,5 160
Thornbury,9 062,9 810,10 928
Northcote - East,7 475,8 030,8 753
Northcote - West,4 987,5 540,6 242
Ascot Vale,6 925,7 606,8 200
Flemington,4 207,4 630,4 867
Moonee Ponds,7 175,7 597,9 434
Essendon (West) - Aberfeldie,7 249,8 291,8 733
Essendon - East,5 838,6 386,7 121
Carlton,5 606,6 507,8 749
Docklands,3 376,5 895,9 438
East Melbourne,3 122,3 030,3 078
Flemington Racecourse,58,37,65
Kensington (Vic.),5 793,6 295,6 567
Parkville,2 873,3 501,3 980
South Yarra - West,3 453,3 383,3 717
West Melbourne - Industrial,,,
Melbourne CBD - East,3 618,4 801,5 855
Melbourne CBD - North,2 443,4 623,9 608
Melbourne CBD - West,3 670,6 425,10 129
North Melbourne,5 933,7 050,8 813
Southbank (West) - South Wharf,2 617,3 582,4 190
Southbank - East,4 275,7 119,11 320
West Melbourne - Residential,1 907,2 898,4 829
Albert Park,8 029,8 083,8 791
Elwood,9 255,9 273,9 222
Port Melbourne,8 340,8 932,8 873
St Kilda East,9 820,9 926,10 030
Port Melbourne Industrial,74,69,1 241
South Melbourne,5 231,6 061,6 645
St Kilda - Central,6 442,7 359,7 809
St Kilda - West,7 750,8 010,8 415
Armadale,4 800,4 826,5 367
Prahran - Windsor,10 567,12 153,12 757
Toorak,6 517,6 549,6 603
South Yarra - North,3 940,6 657,7 761
South Yarra - South,4 966,5 832,6 082
Abbotsford,2 782,5 174,6 223
Carlton North - Princes Hill,5 106,5 045,5 130
Collingwood,3 320,4 715,5 889
Fitzroy,4 987,5 421,6 186
Fitzroy North,6 615,7 037,7 669
Clifton Hill - Alphington,4 778,5 089,5 796
Richmond (South) - Cremorne,10 253,11 301,12 189
Richmond - North,5 614,7 452,8 602
Ashburton (Vic.),3 548,3 659,3 980
Balwyn,7 211,7 077,7 414
Balwyn North,9 329,9 236,10 041
Camberwell,9 957,10 149,10 685
Glen Iris - East,8 189,8 266,8 873
Hawthorn East,7 492,8 104,8 981
Kew East,3 161,3 160,3 368
Surrey Hills (West) - Canterbury,8 008,7 743,8 002
