Region,2018,2019,2020,2021,2022,2023
Alfredton,13 537,14 434,15 507,16 841,18 002,18 997
Ballarat,12 244,12 320,12 196,12 071,11 938,11 809
Buninyong,7 418,7 458,7 377,7 229,7 247,7 323
Delacombe,8 183,8 890,9 755,10 648,11 798,12 869
Smythes Creek,4 042,4 112,4 152,4 211,4 223,4 268
Wendouree - Miners Rest,15 067,15 174,15 261,15 312,15 388,15 431
Ballarat East - Warrenheip,9 536,9 632,9 650,9 654,9 641,9 628
Ballarat North - Invermay,14 516,14 632,14 687,14 701,14 892,15 015
Canadian - Mount Clear,12 003,12 139,12 195,12 206,12 395,12 433
Sebastopol - Redan,13 281,13 291,13 234,13 062,12 960,12 885
Bacchus Marsh Surrounds,6 222,6 350,6 466,6 533,6 541,6 639
Creswick - Clunes,7 962,7 992,8 031,8 041,7 969,7 987
Daylesford,9 389,9 548,9 729,9 874,10 003,10 085
Gordon (Vic.),5 996,6 122,6 247,6 340,6 379,6 408
Avoca,3 393,3 422,3 447,3 501,3 542,3 594
Beaufort,4 448,4 543,4 606,4 621,4 612,4 709
Golden Plains - North,4 692,4 784,4 832,4 869,4 894,4 940
Maryborough (Vic.),8 139,8 155,8 128,8 118,8 172,8 154
Maryborough Surrounds,5 398,5 401,5 383,5 479,5 565,5 644
Bendigo,14 941,15 072,15 087,14 955,14 748,14 625
California Gully - Eaglehawk,12 468,12 631,12 800,12 932,13 102,13 310
East Bendigo - Kennington,13 838,13 898,13 808,13 930,13 890,13 974
Flora Hill - Spring Gully,9 525,9 547,9 574,9 419,9 383,9 460
Kangaroo Flat - Golden Square,20 442,20 718,20 938,21 071,21 201,21 258
Maiden Gully,5 322,5 364,5 465,5 502,5 614,5 749
Strathfieldsaye,9 483,9 901,10 312,10 679,11 027,11 271
White Hills - Ascot,12 996,13 580,14 039,14 452,14 906,15 236
Bendigo Surrounds - South,7 797,7 926,8 158,8 311,8 574,8 808
Castlemaine,11 015,11 146,11 277,11 291,11 347,11 495
Castlemaine Surrounds,8 782,8 858,8 974,9 147,9 298,9 397
Heathcote,4 695,4 790,4 902,5 026,5 157,5 261
Kyneton,10 070,10 219,10 371,10 499,10 562,10 571
Woodend,7 406,7 594,7 712,7 911,7 992,8 044
Bendigo Surrounds - North,4 615,4 711,4 799,4 908,5 022,5 154
Loddon,7 137,7 165,7 190,7 233,7 274,7 256
Bannockburn,7 130,7 362,7 608,7 738,7 958,8 143
Golden Plains - South,7 327,7 552,7 774,8 074,8 246,8 467
Winchelsea,5 995,6 152,6 358,6 585,6 675,6 781
Belmont,14 754,14 975,15 096,15 000,14 949,14 993
Geelong,13 337,13 439,13 498,13 487,13 543,13 649
Geelong West - Hamlyn Heights,20 511,20 809,21 145,21 255,21 377,21 846
Highton,23 463,23 807,23 858,24 091,24 593,25 142
Lara,19 778,20 283,20 575,20 859,21 365,22 090
Leopold,13 411,13 319,13 279,13 220,13 330,13 516
Newcomb - Moolap,15 156,15 417,15 478,15 410,15 291,15 197
Newtown (Vic.),10 607,10 624,10 555,10 408,10 305,10 362
North Geelong - Bell Park,15 484,15 851,15 848,15 741,15 721,15 718
Charlemont,6 042,7 363,8 832,10 329,11 863,12 731
Corio - Lovely Banks,18 457,18 558,18 587,18 356,18 254,18 401
Grovedale - Mount Duneed,22 111,22 905,23 903,24 827,25 830,26 663
Norlane,9 023,9 060,9 070,9 040,8 951,8 950
Clifton Springs,14 763,15 580,16 143,16 729,17 118,17 514
Lorne - Anglesea,5 524,5 679,5 892,6 192,6 273,6 215
Portarlington,8 092,8 417,8 886,9 460,9 928,10 282
Point Lonsdale - Queenscliff,4 592,4 780,5 123,5 459,5 595,5 725
Torquay,20 996,22 149,23 346,24 636,25 466,26 034
Barwon Heads - Armstrong Creek,9 340,10 023,10 708,11 326,12 202,13 295
Ocean Grove,17 430,18 117,18 766,19 393,19 850,20 220
Alexandra,6 646,6 687,6 690,6 771,6 794,6 836
Euroa,6 548,6 660,6 777,6 866,6 884,6 862
Kilmore - Broadford,14 691,15 109,15 330,15 523,15 779,16 130
Mansfield (Vic.),9 440,9 720,10 116,10 463,10 683,10 905
Nagambie,4 190,4 251,4 388,4 509,4 635,4 716
Seymour,6 477,6 516,6 538,6 546,6 577,6 665
Seymour Surrounds,4 598,4 607,4 608,4 633,4 584,4 566
Upper Yarra Valley,206,215,224,240,244,247
Yea,3 803,3 907,4 019,4 142,4 257,4 297
Benalla,10 553,10 620,10 699,10 753,10 745,10 799
Benalla Surrounds,3 677,3 688,3 753,3 754,3 796,3 809
Rutherglen,3 976,4 012,4 029,4 021,4 056,4 116
Wangaratta,19 471,19 624,19 716,19 884,19 969,19 969
Wangaratta Surrounds,9 798,9 815,9 801,9 867,9 946,10 033
Beechworth,4 801,4 872,4 936,4 953,4 912,4 935
Bright - Mount Beauty,8 529,8 597,8 739,8 857,8 905,8 915
Chiltern - Indigo Valley,3 118,3 148,3 165,3 157,3 200,3 230
Myrtleford,4 734,4 736,4 734,4 717,4 696,4 663
Towong,6 078,6 117,6 142,6 156,6 168,6 213
West Wodonga,15 249,15 304,15 364,15 364,15 471,15 584
Yackandandah,4 778,4 906,5 052,5 189,5 329,5 455
Baranduda - Leneva,10 745,11 372,12 046,12 790,13 365,13 878
Wodonga,15 547,15 408,15 256,15 053,14 880,14 814
Drouin,17 780,18 447,19 198,19 800,20 542,21 180
Mount Baw Baw Region,6 260,6 358,6 436,6 544,6 634,6 689
Trafalgar (Vic.),8 060,8 110,8 169,8 319,8 451,8 488
Warragul,20 501,21 283,22 099,23 098,23 787,24 417
Bairnsdale,15 405,15 547,15 563,15 653,15 780,15 819
Bruthen - Omeo,8 016,8 060,8 128,8 245,8 406,8 499
Lakes Entrance,10 424,10 647,10 873,11 095,11 183,11 251
Orbost,6 533,6 570,6 619,6 693,6 697,6 685
Paynesville,6 599,6 740,6 796,6 902,6 994,7 051
Foster,9 028,9 124,9 290,9 378,9 442,9 507
French Island,124,128,133,138,143,140
Korumburra,9 451,9 593,9 758,9 787,9 917,9 894
Leongatha,11 328,11 416,11 437,11 439,11 562,11 643
Phillip Island,11 902,12 472,13 075,13 736,14 074,14 273
Wilsons Promontory,14,14,15,15,15,15
Wonthaggi - Inverloch,23 994,24 777,25 684,26 745,27 540,28 254
Churchill,11 642,11 693,11 781,11 858,11 982,12 095
Moe - Newborough,17 002,17 097,17 204,17 272,17 321,17 350
Morwell,14 108,14 175,14 284,14 400,14 426,14 455
Yallourn North - Glengarry,4 627,4 632,4 657,4 693,4 735,4 820
Traralgon - East,11 780,11 862,11 926,11 970,12 133,12 202
Traralgon - West,16 274,16 509,16 706,16 774,16 963,17 082
Alps - West,24,23,23,23,23,23
Longford - Loch Sport,4 528,4 663,4 788,4 906,4 950,4 966
Maffra,14 257,14 418,14 598,14 698,14 937,15 178
Rosedale,4 900,4 920,4 870,4 912,4 870,4 888
Sale,14 988,15 075,15 173,15 264,15 329,15 363
Yarram,5 437,5 474,5 545,5 555,5 588,5 580
Brunswick East,12 392,12 602,13 064,12 964,13 309,13 765
Brunswick West,14 695,14 854,15 010,14 497,14 697,15 196
Pascoe Vale South,10 834,10 873,10 836,10 463,10 420,10 628
Brunswick - North,13 928,14 022,14 124,13 077,13 266,14 057
Brunswick - South,14 200,14 336,14 235,13 208,13 378,14 273
Coburg - East,13 379,13 397,13 265,12 675,12 959,13 542
Coburg - West,14 698,14 628,14 523,14 184,14 112,14 527
Alphington - Fairfield,9 415,9 467,9 538,9 069,9 163,9 491
Thornbury,19 714,19 729,19 791,19 153,19 189,19 615
Northcote - East,16 089,16 165,16 183,15 229,15 142,15 558
Northcote - West,10 815,10 870,10 887,10 424,10 487,10 731
Ascot Vale,15 752,15 774,15 784,15 351,15 191,15 728
Flemington,10 654,10 460,10 270,9 181,9 199,9 782
Moonee Ponds,15 778,16 093,16 639,16 400,16 591,17 203
