Region,2017,2018,2019,2020,2021,2022
Alfredton,4 103,4 363,4 659,5 071,5 659,6 192
Ballarat,4 460,4 486,4 549,4 579,4 595,4 599
Buninyong,2 505,2 537,2 568,2 599,2 625,2 644
Delacombe,2 619,2 772,3 071,3 448,3 854,4 507
Smythes Creek,1 405,1 422,1 438,1 462,1 486,1 520
Wendouree - Miners Rest,5 585,5 636,5 696,5 788,5 836,5 913
Ballarat East - Warrenheip,3 893,3 923,3 954,3 976,4 011,4 028
Ballarat North - Invermay,5 395,5 450,5 546,5 643,5 725,5 810
Canadian - Mount Clear,4 297,4 348,4 398,4 466,4 534,4 642
Sebastopol - Redan,4 409,4 444,4 475,4 493,4 498,4 510
Bacchus Marsh Surrounds,2 642,2 690,2 730,2 762,2 801,2 833
Creswick - Clunes,3 496,3 533,3 567,3 596,3 640,3 683
Daylesford,5 618,5 700,5 779,5 835,5 896,5 961
Gordon (Vic.),2 561,2 601,2 636,2 667,2 698,2 726
Avoca,1 845,1 862,1 874,1 889,1 900,1 915
Beaufort,2 022,2 046,2 070,2 097,2 120,2 134
Golden Plains - North,2 029,2 052,2 078,2 101,2 126,2 151
Maryborough (Vic.),3 482,3 509,3 538,3 575,3 610,3 653
Maryborough Surrounds,2 737,2 750,2 766,2 781,2 798,2 820
Bendigo,6 169,6 207,6 247,6 284,6 306,6 323
California Gully - Eaglehawk,5 040,5 119,5 192,5 288,5 438,5 565
East Bendigo - Kennington,5 172,5 196,5 209,5 235,5 266,5 320
Flora Hill - Spring Gully,3 560,3 571,3 577,3 590,3 632,3 671
Kangaroo Flat - Golden Square,8 105,8 188,8 288,8 409,8 529,8 677
Maiden Gully,1 661,1 683,1 718,1 792,1 840,1 899
Strathfieldsaye,3 122,3 272,3 427,3 599,3 761,3 905
White Hills - Ascot,4 555,4 716,4 931,5 133,5 320,5 496
Bendigo Surrounds - South,2 766,2 830,2 897,2 984,3 056,3 127
Castlemaine,4 791,4 851,4 942,5 037,5 113,5 203
Castlemaine Surrounds,4 524,4 581,4 648,4 712,4 774,4 851
Heathcote,2 555,2 589,2 625,2 656,2 691,2 734
Kyneton,4 070,4 118,4 169,4 212,4 252,4 296
Woodend,2 825,2 887,2 942,2 986,3 022,3 048
Bendigo Surrounds - North,1 947,1 967,1 986,2 012,2 055,2 104
Loddon,3 739,3 749,3 770,3 787,3 804,3 816
Bannockburn,2 157,2 253,2 356,2 443,2 508,2 580
Golden Plains - South,2 834,2 887,2 943,3 020,3 105,3 178
Winchelsea,2 409,2 449,2 513,2 587,2 642,2 684
Belmont,5 197,5 219,5 251,5 272,5 279,5 300
Geelong,4 351,4 376,4 378,4 382,4 383,4 399
Geelong West - Hamlyn Heights,7 174,7 254,7 341,7 429,7 519,7 592
Highton,7 512,7 612,7 690,7 776,7 911,8 065
