Region,2018,2019,2020,2021,2022,2023
Alfredton,----,----,----,----,2 587,2 078
Ballarat,----,----,----,----,1 575,1 112
Buninyong,----,----,----,----,718,553
Delacombe,----,----,----,----,2 044,1 928
Smythes Creek,----,----,----,----,341,280
Wendouree - Miners Rest,----,----,----,----,1 756,1 248
Ballarat East - Warrenheip,----,----,----,----,1 197,935
Ballarat North - Invermay,----,----,----,----,1 678,1 181
Canadian - Mount Clear,----,----,----,----,1 664,1 092
Sebastopol - Redan,----,----,----,----,1 755,1 258
Bacchus Marsh Surrounds,----,----,----,----,597,464
Creswick - Clunes,----,----,----,----,687,496
Daylesford,----,----,----,----,887,615
Gordon (Vic.),----,----,----,----,540,387
Avoca,----,----,----,----,318,248
Beaufort,----,----,----,----,429,373
Golden Plains - North,----,----,----,----,470,351
Maryborough (Vic.),----,----,----,----,723,562
Maryborough Surrounds,----,----,----,----,523,416
Bendigo,----,----,----,----,2 139,1 571
California Gully - Eaglehawk,----,----,----,----,1 636,1 385
East Bendigo - Kennington,----,----,----,----,1 665,1 374
Flora Hill - Spring Gully,----,----,----,----,1 216,1 010
Kangaroo Flat - Golden Square,----,----,----,----,2 444,1 842
Maiden Gully,----,----,----,----,574,402
Strathfieldsaye,----,----,----,----,1 184,825
White Hills - Ascot,----,----,----,----,1 791,1 487
Bendigo Surrounds - South,----,----,----,----,779,660
Castlemaine,----,----,----,----,989,736
Castlemaine Surrounds,----,----,----,----,757,600
Heathcote,----,----,----,----,541,452
Kyneton,----,----,----,----,982,652
Woodend,----,----,----,----,793,536
Bendigo Surrounds - North,----,----,----,----,433,400
Loddon,----,----,----,----,602,402
Bannockburn,----,----,----,----,810,633
Golden Plains - South,----,----,----,----,702,631
Winchelsea,----,----,----,----,616,528
Belmont,----,----,----,----,1 884,1 389
Geelong,----,----,----,----,1 880,1 353
Geelong West - Hamlyn Heights,----,----,----,----,2 507,2 001
Highton,----,----,----,----,2 560,1 881
Lara,----,----,----,----,2 002,1 649
Leopold,----,----,----,----,1 256,995
Newcomb - Moolap,----,----,----,----,1 478,1 195
Newtown (Vic.),----,----,----,----,1 102,843
North Geelong - Bell Park,----,----,----,----,1 727,1 291
Charlemont,----,----,----,----,2 534,2 018
Corio - Lovely Banks,----,----,----,----,1 788,1 495
Grovedale - Mount Duneed,----,----,----,----,3 120,2 544
Norlane,----,----,----,----,959,887
Clifton Springs,----,----,----,----,1 852,1 363
Lorne - Anglesea,----,----,----,----,624,314
Portarlington,----,----,----,----,1 382,1 003
Point Lonsdale - Queenscliff,----,----,----,----,594,408
Torquay,----,----,----,----,2 359,1 584
Barwon Heads - Armstrong Creek,----,----,----,----,1 988,1 927
Ocean Grove,----,----,----,----,1 871,1 341
Alexandra,----,----,----,----,541,414
Euroa,----,----,----,----,553,390
Kilmore - Broadford,----,----,----,----,1 597,1 167
Mansfield (Vic.),----,----,----,----,949,674
Nagambie,----,----,----,----,446,356
Seymour,----,----,----,----,650,517
Seymour Surrounds,----,----,----,----,775,709
Upper Yarra Valley,----,----,----,----,31,26
Yea,----,----,----,----,415,286
Benalla,----,----,----,----,888,776
Benalla Surrounds,----,----,----,----,393,263
Rutherglen,----,----,----,----,375,291
Wangaratta,----,----,----,----,1 542,1 090
Wangaratta Surrounds,----,----,----,----,814,573
Beechworth,----,----,----,----,459,311
Bright - Mount Beauty,----,----,----,----,705,460
Chiltern - Indigo Valley,----,----,----,----,306,238
Myrtleford,----,----,----,----,375,224
Towong,----,----,----,----,540,396
West Wodonga,----,----,----,----,1 998,1 537
Yackandandah,----,----,----,----,515,381
Baranduda - Leneva,----,----,----,----,1 995,1 917
Wodonga,----,----,----,----,1 945,1 458
Drouin,----,----,----,----,2 502,1 989
Mount Baw Baw Region,----,----,----,----,536,393
Trafalgar (Vic.),----,----,----,----,808,583
Warragul,----,----,----,----,2 484,1 923
Bairnsdale,----,----,----,----,1 406,1 105
Bruthen - Omeo,----,----,----,----,730,514
Lakes Entrance,----,----,----,----,986,729
Orbost,----,----,----,----,520,336
