Region,2016,2017,2018,2019,2020
Alfredton,49 385,50 845,52 448,53 932,55 204
Ballarat,49 564,50 413,51 736,53 688,53 784
Buninyong,47 511,49 179,51 034,52 377,54 308
Delacombe,44 594,46 366,47 759,49 909,51 915
Smythes Creek,46 794,48 500,49 822,53 154,53 981
Wendouree - Miners Rest,42 574,42 909,45 002,46 287,47 627
Ballarat East - Warrenheip,,,,,
Ballarat North - Invermay,,,,,
Canadian - Mount Clear,,,,,
Sebastopol - Redan,,,,,
Bacchus Marsh Surrounds,46 549,48 865,50 002,52 033,53 942
Creswick - Clunes,39 000,40 280,41 021,43 736,44 642
Daylesford,36 547,37 179,38 686,40 825,41 806
Gordon (Vic.),45 847,46 378,47 895,50 462,51 371
Avoca,33 532,35 323,38 543,39 893,38 869
Beaufort,37 259,37 380,38 984,41 170,43 576
Golden Plains - North,40 861,42 230,44 154,47 311,47 277
Maryborough (Vic.),36 814,38 245,39 827,40 679,41 645
Maryborough Surrounds,32 582,34 244,36 938,38 664,38 880
Bendigo,43 995,44 737,46 208,47 893,48 853
California Gully - Eaglehawk,41 564,41 946,44 261,46 685,47 989
East Bendigo - Kennington,43 396,44 216,46 635,48 672,49 879
Flora Hill - Spring Gully,44 717,45 009,46 562,49 582,50 172
Kangaroo Flat - Golden Square,42 622,43 032,45 451,47 362,48 761
Maiden Gully,48 283,51 435,52 247,53 063,54 617
Strathfieldsaye,51 036,51 967,53 073,55 491,57 975
White Hills - Ascot,46 070,47 060,49 283,51 368,53 137
Bendigo Surrounds - South,45 492,47 941,49 529,51 446,52 331
Castlemaine,39 196,38 919,42 109,42 951,43 908
Castlemaine Surrounds,37 184,39 739,41 255,41 687,42 113
Heathcote,37 721,38 413,41 695,43 832,43 831
Kyneton,42 747,44 215,46 315,47 443,48 746
Woodend,50 812,51 719,53 778,56 116,55 926
Bendigo Surrounds - North,41 947,42 583,45 727,47 033,48 282
Loddon,31 137,36 456,40 616,41 119,41 140
Bannockburn,48 821,51 339,52 230,54 881,57 208
Golden Plains - South,44 438,45 813,47 743,49 785,50 940
Winchelsea,41 689,41 574,45 264,49 329,50 686
Belmont,43 738,43 789,46 078,47 862,49 738
Geelong,47 695,49 194,50 550,51 932,53 310
Geelong West - Hamlyn Heights,48 563,50 784,52 867,55 640,56 471
Highton,47 601,48 960,49 958,52 791,53 558
Lara,49 719,51 633,53 119,55 149,56 249
Leopold,45 371,46 560,48 341,49 935,50 454
Newcomb - Moolap,41 392,42 516,43 613,45 931,46 478
Newtown (Vic.),53 643,56 281,57 818,59 470,60 993
North Geelong - Bell Park,44 817,46 438,47 651,49 851,50 763
Charlemont,,,,,
Corio - Lovely Banks,,,,,
Grovedale - Mount Duneed,,,,,
Norlane,,,,,
Clifton Springs,41 832,43 392,45 472,47 864,48 415
Lorne - Anglesea,38 458,39 184,40 485,41 429,42 606
Portarlington,36 542,37 235,38 323,39 988,40 764
Point Lonsdale - Queenscliff,39 384,38 832,39 994,43 520,44 696
Torquay,47 833,49 674,52 107,54 955,56 102
Barwon Heads - Armstrong Creek,,,,,
Ocean Grove,,,,,
Alexandra,35 244,37 052,37 890,39 452,40 199
Euroa,35 955,37 359,38 987,39 500,41 079
Kilmore - Broadford,46 641,47 729,49 320,51 400,52 821
Mansfield (Vic.),34 420,35 815,37 862,39 675,40 256
Nagambie,41 560,43 978,45 235,47 727,47 578
Seymour,40 662,41 505,43 392,45 393,46 029
Seymour Surrounds,45 311,48 357,49 991,52 222,54 521
Upper Yarra Valley,38 337,39 127,43 740,41 375,39 982
Yea,35 636,35 905,37 163,38 638,40 162
Benalla,40 327,41 180,42 700,44 066,45 272
Benalla Surrounds,35 335,35 509,37 975,38 640,39 851
Rutherglen,44 680,45 033,45 971,47 557,49 146
Wangaratta,42 880,43 972,45 587,47 525,48 372
Wangaratta Surrounds,39 159,39 755,40 688,42 619,44 091
Beechworth,42 085,41 082,42 008,44 279,45 613
Bright - Mount Beauty,35 024,36 262,37 190,39 625,39 120
Chiltern - Indigo Valley,45 739,45 541,49 193,48 813,49 171
Myrtleford,38 094,38 280,39 638,42 317,43 534
Towong,39 583,39 307,39 305,40 331,42 687
West Wodonga,47 973,48 592,49 702,51 249,52 290
Yackandandah,45 196,46 183,47 466,49 453,50 304
Baranduda - Leneva,,,,,
Wodonga,,,,,
Drouin,41 742,42 973,44 882,47 042,48 380
Mount Baw Baw Region,39 325,39 154,41 422,42 324,43 205
Trafalgar (Vic.),42 730,42 508,44 410,46 518,47 243
Warragul,42 680,43 418,45 069,47 709,49 466
Bairnsdale,40 650,41 005,42 091,43 540,44 665
Bruthen - Omeo,36 835,38 218,38 409,40 078,41 805
Lakes Entrance,34 799,34 575,35 390,36 991,37 983
Orbost,33 108,34 188,35 600,35 437,38 041
Paynesville,34 299,35 927,36 444,37 439,37 891
Foster,33 109,33 966,34 854,37 285,39 276
