Region,2016,2017,2018,2019,2020
Alfredton,9 019,9 832,10 157,11 035,11 837
Ballarat,9 789,9 934,9 797,10 222,10 196
Buninyong,5 190,5 358,5 394,5 615,5 582
Delacombe,5 235,5 530,5 830,6 567,7 250
Smythes Creek,3 177,3 267,3 327,3 474,3 410
Wendouree - Miners Rest,9 064,9 341,9 609,9 983,10 184
Ballarat East - Warrenheip,6 783,6 989,7 103,7 377,7 350
Ballarat North - Invermay,10 362,10 676,10 851,11 269,11 228
Canadian - Mount Clear,7 526,7 895,8 045,8 535,8 473
Sebastopol - Redan,8 588,9 010,9 180,9 739,9 668
Bacchus Marsh Surrounds,4 543,4 855,4 864,4 975,5 032
Creswick - Clunes,5 505,5 783,5 720,6 039,6 001
Daylesford,6 725,7 076,7 017,7 233,7 434
Gordon (Vic.),4 537,4 812,4 970,5 078,5 044
Avoca,2 370,2 406,2 455,2 489,2 447
Beaufort,2 906,3 052,3 135,3 291,3 275
Golden Plains - North,3 125,3 330,3 402,3 629,3 533
Maryborough (Vic.),4 289,4 439,4 586,4 580,4 467
Maryborough Surrounds,3 256,3 387,3 539,3 503,3 431
Bendigo,11 236,11 039,11 173,11 385,11 223
California Gully - Eaglehawk,7 987,8 530,8 607,8 855,8 900
East Bendigo - Kennington,9 708,10 325,10 226,10 598,10 328
Flora Hill - Spring Gully,6 891,7 219,7 396,7 515,7 389
Kangaroo Flat - Golden Square,13 595,14 051,14 101,14 548,14 611
Maiden Gully,4 051,4 136,4 167,4 398,4 459
Strathfieldsaye,6 803,7 288,7 315,7 798,7 954
White Hills - Ascot,9 093,9 762,10 058,10 592,10 701
Bendigo Surrounds - South,5 362,5 837,5 917,6 240,6 441
Castlemaine,7 155,7 394,7 307,7 521,7 631
Castlemaine Surrounds,6 149,6 384,6 583,6 916,6 963
Heathcote,2 809,2 983,3 069,3 124,3 179
Kyneton,7 276,7 677,7 863,8 248,8 283
Woodend,5 383,5 562,5 733,6 021,5 935
Bendigo Surrounds - North,3 184,3 445,3 474,3 599,3 596
Loddon,4 665,4 978,4 960,4 965,5 037
Bannockburn,4 965,5 241,5 482,5 708,5 742
Golden Plains - South,5 470,5 844,6 005,6 065,6 393
Winchelsea,4 861,5 168,5 190,5 377,5 476
Belmont,10 710,11 404,11 772,12 030,12 211
Geelong,10 960,11 420,11 545,12 004,12 087
Geelong West - Hamlyn Heights,15 726,16 570,17 239,17 596,17 901
Highton,16 970,17 865,18 594,18 948,19 239
Lara,13 355,14 043,14 697,14 927,15 061
Leopold,9 474,10 021,10 053,10 136,9 957
Newcomb - Moolap,10 146,10 746,11 019,11 302,11 199
Newtown (Vic.),8 596,8 729,8 843,9 131,8 960
North Geelong - Bell Park,10 238,10 920,11 386,11 653,11 810
Charlemont,2 698,3 077,3 355,3 689,4 025
Corio - Lovely Banks,10 227,10 918,11 433,11 869,11 891
Grovedale - Mount Duneed,14 912,17 005,18 540,20 385,22 244
Norlane,5 051,5 392,5 646,5 861,5 872
Clifton Springs,9 402,10 159,10 572,11 036,11 687
Lorne - Anglesea,4 183,4 330,4 350,4 533,4 586
Portarlington,4 272,4 617,4 841,5 220,5 405
Point Lonsdale - Queenscliff,2 844,3 002,3 161,3 232,3 355
Torquay,15 251,16 349,17 110,17 940,18 622
Barwon Heads - Armstrong Creek,5 983,6 507,6 762,7 195,7 551
Ocean Grove,12 153,13 219,13 737,14 615,15 340
Alexandra,4 963,5 024,5 073,5 118,5 054
Euroa,5 175,5 118,5 175,5 259,5 093
Kilmore - Broadford,9 934,10 495,10 687,11 242,11 251
Mansfield (Vic.),7 260,7 787,7 956,7 954,7 907
Nagambie,3 002,3 198,3 376,3 452,3 481
Seymour,4 495,4 584,4 564,4 668,4 490
Seymour Surrounds,2 999,3 229,3 292,3 461,3 386
Upper Yarra Valley,114,131,137,139,148
Yea,2 744,2 749,2 772,2 789,2 889
Benalla,7 302,7 135,7 212,7 587,7 563
Benalla Surrounds,3 116,3 170,3 276,3 268,3 265
Rutherglen,3 084,3 204,3 163,3 325,3 217
Wangaratta,13 833,14 107,14 286,14 510,14 557
Wangaratta Surrounds,8 520,8 792,8 818,9 110,8 934
Beechworth,3 667,3 763,3 851,4 097,3 970
Bright - Mount Beauty,6 865,7 313,7 350,7 691,7 414
Chiltern - Indigo Valley,2 646,2 757,2 653,2 812,2 782
Myrtleford,4 015,4 054,4 204,4 248,4 251
Towong,5 025,5 056,5 289,5 151,4 999
West Wodonga,11 401,11 534,11 859,12 159,11 763
Yackandandah,4 045,4 060,4 170,4 309,4 357
Baranduda - Leneva,6 935,7 297,7 508,7 700,7 761
Wodonga,11 842,12 461,12 822,13 150,13 254
Drouin,11 241,12 191,12 531,13 402,13 748
Mount Baw Baw Region,4 757,4 927,5 021,5 221,5 191
Trafalgar (Vic.),6 159,6 405,6 306,6 501,6 335
Warragul,14 788,15 221,15 626,16 719,17 030
Bairnsdale,10 368,10 491,10 557,10 889,10 844
