Region,2018,2019,2020,2021,2022,2023
Alfredton,256.8,273.8,294.2,319.5,341.5,360.4
Ballarat,989.1,995.3,985.2,975.1,964.4,954
Buninyong,143.8,144.6,143,140.1,140.5,142
Delacombe,239.5,260.2,285.6,311.7,345.4,376.7
Smythes Creek,38.6,39.3,39.6,40.2,40.3,40.8
Wendouree - Miners Rest,223,224.6,225.8,226.6,227.7,228.4
Ballarat East - Warrenheip,496.3,501.3,502.2,502.4,501.7,501
Ballarat North - Invermay,198.5,200,200.8,201,203.6,205.3
Canadian - Mount Clear,538.9,545,547.5,548,556.5,558.2
Sebastopol - Redan,1 255.1,1 256.1,1 250.7,1 234.4,1 224.8,1 217.7
Bacchus Marsh Surrounds,6,6.1,6.2,6.3,6.3,6.4
Creswick - Clunes,9.3,9.3,9.4,9.4,9.3,9.3
Daylesford,10.2,10.4,10.6,10.7,10.9,11
Gordon (Vic.),7.1,7.2,7.3,7.5,7.5,7.5
Avoca,2,2,2,2,2.1,2.1
Beaufort,2.4,2.4,2.5,2.5,2.5,2.5
Golden Plains - North,5.1,5.2,5.2,5.3,5.3,5.4
Maryborough (Vic.),178.7,179.1,178.5,178.3,179.5,179.1
Maryborough Surrounds,3.3,3.3,3.3,3.4,3.4,3.5
Bendigo,929.2,937.3,938.3,930.1,917.2,909.5
California Gully - Eaglehawk,378.6,383.6,388.7,392.7,397.9,404.2
East Bendigo - Kennington,806.9,810.4,805.2,812.3,810,814.9
Flora Hill - Spring Gully,721.4,723.1,725.1,713.4,710.7,716.5
Kangaroo Flat - Golden Square,499.6,506.4,511.7,515,518.2,519.6
Maiden Gully,123.8,124.8,127.2,128,130.6,133.8
Strathfieldsaye,168.1,175.5,182.8,189.3,195.5,199.8
White Hills - Ascot,191.7,200.4,207.1,213.2,219.9,224.8
Bendigo Surrounds - South,9.8,9.9,10.2,10.4,10.8,11.1
Castlemaine,131.2,132.8,134.4,134.5,135.2,137
Castlemaine Surrounds,5.8,5.8,5.9,6,6.1,6.2
Heathcote,6.2,6.3,6.5,6.6,6.8,7
Kyneton,18.1,18.4,18.6,18.9,19,19
Woodend,35,35.8,36.4,37.3,37.7,38
Bendigo Surrounds - North,3.2,3.3,3.3,3.4,3.5,3.6
Loddon,1.2,1.2,1.2,1.2,1.2,1.2
Bannockburn,37.1,38.3,39.6,40.3,41.4,42.4
Golden Plains - South,4.9,5.1,5.2,5.4,5.6,5.7
Winchelsea,6.6,6.8,7,7.3,7.4,7.5
Belmont,1 575,1 598.6,1 611.5,1 601.2,1 595.8,1 600.5
Geelong,1 040.6,1 048.5,1 053.1,1 052.3,1 056.6,1 064.9
Geelong West - Hamlyn Heights,640.2,649.5,660,663.4,667.2,681.9
Highton,578.1,586.6,587.8,593.6,605.9,619.5
Lara,33.6,34.5,35,35.4,36.3,37.5
Leopold,480.2,476.9,475.5,473.3,477.3,483.9
Newcomb - Moolap,350.1,356.1,357.5,355.9,353.2,351
Newtown (Vic.),1 826.3,1 829.3,1 817.4,1 792.1,1 774.3,1 784.2
North Geelong - Bell Park,706,722.7,722.6,717.7,716.8,716.7
Charlemont,333.5,406.4,487.5,570.1,654.8,702.7
Corio - Lovely Banks,248.2,249.6,250,246.9,245.5,247.5
Grovedale - Mount Duneed,588.2,609.4,635.9,660.5,687.2,709.3
Norlane,1 396.2,1 401.9,1 403.5,1 398.8,1 385.1,1 384.9
Clifton Springs,226.6,239.1,247.8,256.8,262.7,268.8
Lorne - Anglesea,12.3,12.7,13.2,13.8,14,13.9
Portarlington,112.6,117.1,123.7,131.7,138.2,143.1
Point Lonsdale - Queenscliff,74.5,77.5,83.1,88.5,90.7,92.8
Torquay,166.2,175.3,184.8,195,201.6,206.1
Barwon Heads - Armstrong Creek,105.9,113.6,121.4,128.4,138.3,150.7
Ocean Grove,253.5,263.5,272.9,282,288.7,294
Alexandra,3.1,3.2,3.2,3.2,3.2,3.2
Euroa,3.2,3.2,3.3,3.3,3.3,3.3
Kilmore - Broadford,31.8,32.7,33.2,33.6,34.2,34.9
Mansfield (Vic.),2.4,2.5,2.6,2.7,2.7,2.8
Nagambie,3.2,3.3,3.4,3.5,3.6,3.6
Seymour,81.7,82.2,82.4,82.5,82.9,84
Seymour Surrounds,2.7,2.7,2.7,2.7,2.7,2.7
Upper Yarra Valley,0.2,0.3,0.3,0.3,0.3,0.3
Yea,2.6,2.7,2.7,2.8,2.9,2.9
Benalla,33.5,33.7,33.9,34.1,34.1,34.2
Benalla Surrounds,1.7,1.8,1.8,1.8,1.8,1.8
Rutherglen,8.3,8.4,8.4,8.4,8.5,8.6
Wangaratta,338.1,340.8,342.4,345.3,346.8,346.8
Wangaratta Surrounds,2.7,2.7,2.7,2.8,2.8,2.8
Beechworth,12.9,13.1,13.3,13.3,13.2,13.3
Bright - Mount Beauty,2,2,2.1,2.1,2.1,2.1
Chiltern - Indigo Valley,6.1,6.1,6.2,6.2,6.2,6.3
Myrtleford,8.6,8.6,8.6,8.5,8.5,8.4
Towong,0.9,0.9,0.9,0.9,0.9,0.9
West Wodonga,99.1,99.5,99.8,99.8,100.5,101.3
Yackandandah,6.7,6.9,7.1,7.3,7.5,7.7
Baranduda - Leneva,43.2,45.7,48.4,51.4,53.7,55.8
Wodonga,512.9,508.3,503.3,496.6,490.9,488.7
Drouin,54.4,56.4,58.7,60.6,62.9,64.8
Mount Baw Baw Region,2.3,2.3,2.3,2.4,2.4,2.4
Trafalgar (Vic.),16.1,16.2,16.3,16.6,16.9,16.9
Warragul,58.2,60.4,62.7,65.6,67.5,69.3
Bairnsdale,99.4,100.3,100.4,101,101.8,102.1
Bruthen - Omeo,1.1,1.1,1.1,1.1,1.1,1.2
Lakes Entrance,48.7,49.7,50.8,51.8,52.2,52.6
Orbost,0.6,0.6,0.6,0.6,0.6,0.6
Paynesville,15.8,16.1,16.3,16.5,16.7,16.9
Foster,6,6.1,6.2,6.3,6.3,6.3
French Island,0.7,0.8,0.8,0.8,0.8,0.8
Korumburra,15.7,16,16.2,16.3,16.5,16.5
Leongatha,14.1,14.3,14.3,14.3,14.4,14.5
Phillip Island,118.3,124,130,136.6,139.9,141.9
Wilsons Promontory,,,,,,
Wonthaggi - Inverloch,32.9,34,35.2,36.7,37.8,38.8
Churchill,14.6,14.7,14.8,14.9,15,15.2
Moe - Newborough,161.5,162.4,163.4,164.1,164.5,164.8
Morwell,165,165.8,167.1,168.4,168.8,169.1
Yallourn North - Glengarry,13.5,13.5,13.6,13.7,13.8,14.1
Traralgon - East,108.7,109.5,110.1,110.5,112,112.6
Traralgon - West,393.6,399.3,404.1,405.7,410.3,413.2
Alps - West,,,,,,
Longford - Loch Sport,2.8,2.9,3,3,3.1,3.1
Maffra,5.6,5.7,5.8,5.8,5.9,6
Rosedale,5.1,5.1,5,5.1,5,5
Sale,328.7,330.6,332.7,334.7,336.1,336.9
Yarram,2.8,2.8,2.9,2.9,2.9,2.9
Brunswick East,5 715.3,5 812.2,6 025.3,5 979.2,6 138.3,6 348.6
Brunswick West,4 621.8,4 671.8,4 720.9,4 559.5,4 622.4,4 779.4
Pascoe Vale South,3 625,3 638,3 625.7,3 500.9,3 486.5,3 556.1
Brunswick - North,5 781.4,5 820.4,5 862.8,5 428.2,5 506.6,5 835
Brunswick - South,5 195,5 244.8,5 207.8,4 832.1,4 894.3,5 221.7
Coburg - East,3 570.5,3 575.3,3 540.1,3 382.6,3 458.4,3 614
Coburg - West,4 611,4 589,4 556.1,4 449.7,4 427.2,4 557.3
Alphington - Fairfield,3 263.1,3 281.1,3 305.7,3 143.2,3 175.8,3 289.4
Thornbury,3 945,3 948,3 960.4,3 832.7,3 840,3 925.2
Northcote - East,4 579.3,4 601,4 606.1,4 334.5,4 309.8,4 428.2
Northcote - West,4 109.7,4 130.6,4 137,3 961.1,3 985,4 077.7
Ascot Vale,4 106.3,4 112,4 114.6,4 001.7,3 960,4 100
Flemington,6 739.6,6 616.9,6 496.7,5 807.8,5 819.2,6 188
Moonee Ponds,3 622.9,3 695.2,3 820.6,3 765.7,3 809.6,3 950.1
Essendon (West) - Aberfeldie,3 464.2,3 472.2,3 461.1,3 308.7,3 310.8,3 401.4
Essendon - East,3 548.1,3 572.6,3 590.9,3 464.5,3 459.8,3 563
Carlton,11 453.8,11 562.7,11 472.5,9 382.5,9 928.5,11 753.5
Docklands,6 315.9,6 697.6,6 821.2,6 507.8,6 747.5,7 251.6
East Melbourne,1 866.3,1 867.7,1 856.3,1 710.1,1 686,1 758.7
Flemington Racecourse,50.3,48.6,47.4,45.6,45.6,45.6
Kensington (Vic.),5 353.1,5 408,5 317.2,5 063.8,5 128.6,5 311.6
Parkville,2 035.5,2 047.6,2 054.3,1 834.5,1 846.1,1 976.5
South Yarra - West,4 629.7,4 694.9,4 631.7,4 349.5,4 374.1,4 517.9
West Melbourne - Industrial,0.5,0.5,----,----,----,----
Melbourne CBD - East,15 364.1,15 623.4,15 394,12 617.2,13 325.4,15 471.3
Melbourne CBD - North,30 503.9,32 701.2,34 107.9,30 911.7,33 611.1,38 401
Melbourne CBD - West,18 009.2,18 654.9,18 700.6,16 016.3,17 255,19 925.4
North Melbourne,7 252.1,7 399,7 486.8,6 575.8,6 849.6,7 430.3
Southbank (West) - South Wharf,8 896,9 059.6,8 887.7,7 776.6,8 035.5,8 731.2
Southbank - East,19 396.8,20 777.4,21 523.6,20 529.9,21 607,23 318.4
