Region,2011,2016,2021
Alfredton,546,997,1 628
Ballarat,1 608,1 580,1 701
Buninyong,290,359,360
Delacombe,410,546,991
Smythes Creek,50,44,56
Wendouree - Miners Rest,1 724,1 886,2 202
Ballarat East - Warrenheip,1 130,1 314,1 499
Ballarat North - Invermay,1 243,1 310,1 506
Canadian - Mount Clear,1 334,1 506,1 738
Sebastopol - Redan,1 883,2 289,2 435
Bacchus Marsh Surrounds,244,245,303
Creswick - Clunes,453,425,442
Daylesford,606,560,611
Gordon (Vic.),164,158,168
Avoca,173,160,159
Beaufort,184,183,210
Golden Plains - North,110,107,106
Maryborough (Vic.),838,905,993
Maryborough Surrounds,214,236,222
Bendigo,2 242,2 443,2 722
California Gully - Eaglehawk,1 096,1 491,1 545
East Bendigo - Kennington,1 650,1 699,1 865
Flora Hill - Spring Gully,1 236,1 374,1 414
Kangaroo Flat - Golden Square,2 158,2 316,2 627
Maiden Gully,92,125,124
Strathfieldsaye,192,275,346
White Hills - Ascot,667,1 000,1 266
Bendigo Surrounds - South,149,172,164
Castlemaine,840,883,947
Castlemaine Surrounds,380,345,319
Heathcote,215,234,250
Kyneton,642,633,688
Woodend,325,341,414
Bendigo Surrounds - North,154,156,183
Loddon,364,366,346
Bannockburn,143,221,248
Golden Plains - South,168,169,184
Winchelsea,270,270,309
Belmont,1 679,1 850,2 192
Geelong,1 854,1 986,2 340
Geelong West - Hamlyn Heights,2 396,2 680,3 073
Highton,1 278,1 523,1 665
Lara,984,1 194,1 428
Leopold,479,805,909
Newcomb - Moolap,1 611,1 774,2 111
Newtown (Vic.),1 025,1 025,1 175
North Geelong - Bell Park,1 274,1 580,1 878
Charlemont,76,260,1 036
Corio - Lovely Banks,1 932,2 099,2 352
Grovedale - Mount Duneed,1 309,1 648,2 261
Norlane,1 615,1 770,2 009
Clifton Springs,676,878,1 336
Lorne - Anglesea,381,385,407
Portarlington,619,723,862
Point Lonsdale - Queenscliff,310,265,311
Torquay,1 190,1 320,1 674
Barwon Heads - Armstrong Creek,318,528,1 013
Ocean Grove,1 034,1 093,1 251
Alexandra,465,452,518
Euroa,379,428,484
Kilmore - Broadford,773,1 008,1 034
Mansfield (Vic.),551,548,632
Nagambie,263,284,338
Seymour,822,767,865
Seymour Surrounds,371,331,332
Upper Yarra Valley,13,5,3
Yea,201,212,218
Benalla,1 165,1 181,1 190
Benalla Surrounds,109,113,128
Rutherglen,307,302,283
Wangaratta,1 925,2 069,2 264
Wangaratta Surrounds,318,321,367
Beechworth,298,332,362
Bright - Mount Beauty,622,635,642
Chiltern - Indigo Valley,147,138,132
Myrtleford,375,359,383
Towong,393,375,349
West Wodonga,1 951,1 924,1 863
Yackandandah,192,229,231
Baranduda - Leneva,319,644,887
Wodonga,2 293,2 448,2 586
Drouin,1 015,1 318,1 481
Mount Baw Baw Region,220,220,231
Trafalgar (Vic.),432,484,516
Warragul,1 366,1 431,1 779
Bairnsdale,1 508,1 581,1 666
Bruthen - Omeo,311,313,277
Lakes Entrance,882,875,947
Orbost,528,473,485
Paynesville,427,479,479
Foster,496,531,550
French Island,----,4,----
Korumburra,498,542,517
Leongatha,714,759,769
Phillip Island,892,969,1 215
Wilsons Promontory,4,8,8
Wonthaggi - Inverloch,1 959,2 165,2 206
Churchill,641,686,743
Moe - Newborough,1 868,1 966,2 126
Morwell,1 822,1 843,1 967
Yallourn North - Glengarry,141,166,147
Traralgon - East,1 202,1 173,1 308
Traralgon - West,1 254,1 438,1 494
Alps - West,----,5,----
Longford - Loch Sport,173,156,148
Maffra,861,905,925
Rosedale,207,215,204
Sale,1 674,1 787,1 985
Yarram,382,398,354
Brunswick East,1 586,2 542,3 215
Brunswick West,2 477,2 700,3 061
Pascoe Vale South,639,679,890
Brunswick - North,1 904,2 301,2 605
Brunswick - South,2 413,2 947,2 980
Coburg - East,1 517,1 888,1 920
Coburg - West,1 171,1 320,1 465
