Region,2017,2018,2019,2020,2021,2022
Alfredton,4 587,4 849,5 152,5 570,6 159,6 692
Ballarat,5 746,5 779,5 849,5 882,5 910,5 948
Buninyong,2 633,2 666,2 697,2 728,2 755,2 775
Delacombe,2 812,2 988,3 288,3 670,4 091,4 760
Smythes Creek,1 405,1 422,1 438,1 462,1 486,1 520
Wendouree - Miners Rest,6 676,6 736,6 800,6 896,6 960,7 082
Ballarat East - Warrenheip,4 481,4 521,4 562,4 592,4 628,4 647
Ballarat North - Invermay,6 151,6 218,6 326,6 437,6 524,6 614
Canadian - Mount Clear,5 181,5 262,5 334,5 423,5 512,5 625
Sebastopol - Redan,6 435,6 486,6 554,6 581,6 617,6 642
Bacchus Marsh Surrounds,2 730,2 785,2 830,2 866,2 909,2 948
Creswick - Clunes,3 696,3 733,3 767,3 799,3 843,3 886
Daylesford,5 880,5 963,6 047,6 111,6 183,6 257
Gordon (Vic.),2 566,2 606,2 641,2 672,2 703,2 731
Avoca,1 865,1 882,1 894,1 909,1 920,1 935
Beaufort,2 049,2 073,2 097,2 125,2 150,2 164
Golden Plains - North,2 049,2 072,2 098,2 121,2 146,2 171
Maryborough (Vic.),3 999,4 032,4 069,4 107,4 144,4 190
Maryborough Surrounds,2 818,2 831,2 847,2 862,2 879,2 901
Bendigo,7 204,7 251,7 300,7 350,7 375,7 397
California Gully - Eaglehawk,5 359,5 438,5 511,5 607,5 757,5 885
East Bendigo - Kennington,6 354,6 385,6 403,6 430,6 467,6 522
Flora Hill - Spring Gully,4 319,4 330,4 336,4 349,4 391,4 430
Kangaroo Flat - Golden Square,9 022,9 125,9 236,9 389,9 530,9 688
Maiden Gully,1 661,1 683,1 718,1 792,1 840,1 899
Strathfieldsaye,3 123,3 274,3 429,3 601,3 771,3 916
White Hills - Ascot,4 787,4 957,5 177,5 383,5 570,5 749
Bendigo Surrounds - South,2 767,2 834,2 902,2 989,3 061,3 132
Castlemaine,5 094,5 155,5 254,5 358,5 442,5 537
Castlemaine Surrounds,4 567,4 624,4 691,4 755,4 819,4 896
Heathcote,2 606,2 640,2 676,2 707,2 746,2 789
Kyneton,4 430,4 491,4 546,4 596,4 642,4 689
Woodend,2 903,2 968,3 029,3 080,3 308,3 341
Bendigo Surrounds - North,1 967,1 987,2 006,2 032,2 075,2 124
Loddon,3 910,3 920,3 941,3 958,3 975,3 987
Bannockburn,2 244,2 340,2 443,2 530,2 595,2 667
Golden Plains - South,2 849,2 902,2 958,3 035,3 120,3 193
Winchelsea,2 470,2 510,2 574,2 648,2 703,2 745
Belmont,6 491,6 537,6 602,6 650,6 682,6 697
Geelong,6 435,6 478,6 492,6 724,6 976,6 999
Geelong West - Hamlyn Heights,9 314,9 418,9 530,9 664,9 873,9 969
Highton,8 522,8 632,8 725,8 853,9 003,9 172
Lara,6 718,6 938,7 137,7 250,7 469,7 813
Leopold,5 194,5 250,5 278,5 308,5 331,5 412
Newcomb - Moolap,6 867,6 931,7 051,7 110,7 147,7 175
Newtown (Vic.),4 461,4 472,4 484,4 498,4 511,4 506
North Geelong - Bell Park,6 570,6 670,6 860,6 902,6 972,7 012
Charlemont,1 867,2 230,2 849,3 439,4 000,4 522
Corio - Lovely Banks,7 018,7 036,7 083,7 223,7 319,7 392
Grovedale - Mount Duneed,8 342,8 636,8 875,9 217,9 722,10 266
Norlane,4 390,4 431,4 453,4 500,4 524,4 581
Clifton Springs,6 143,6 414,6 836,7 128,7 357,7 577
Lorne - Anglesea,6 521,6 563,6 598,6 646,6 698,6 722
Portarlington,6 544,6 694,6 912,7 183,7 449,7 837
Point Lonsdale - Queenscliff,3 736,3 816,3 889,4 062,4 163,4 282
Torquay,9 399,9 675,10 136,10 598,11 012,11 339
Barwon Heads - Armstrong Creek,3 696,3 953,4 218,4 493,4 861,5 354
Ocean Grove,8 298,8 535,8 788,9 006,9 200,9 400
Alexandra,3 957,4 010,4 056,4 118,4 157,4 207
Euroa,3 527,3 553,3 592,3 623,3 638,3 662
Kilmore - Broadford,5 768,5 915,6 156,6 325,6 420,6 566
Mansfield (Vic.),6 242,6 339,6 477,6 672,6 783,6 898
Nagambie,2 216,2 259,2 320,2 361,2 399,2 445
Seymour,2 977,2 994,3 012,3 047,3 089,3 119
Seymour Surrounds,1 858,1 875,1 892,1 909,1 921,1 936
Upper Yarra Valley,140,140,140,140,140,140
Yea,2 081,2 124,2 165,2 202,2 238,2 275
Benalla,5 155,5 204,5 254,5 308,5 359,5 432
Benalla Surrounds,1 730,1 739,1 751,1 766,1 783,1 795
Rutherglen,1 804,1 819,1 837,1 866,1 892,1 929
Wangaratta,8 742,8 832,8 924,9 038,9 134,9 275
Wangaratta Surrounds,4 283,4 316,4 351,4 381,4 416,4 440
Beechworth,2 137,2 170,2 211,2 245,2 282,2 313
Bright - Mount Beauty,4 990,5 047,5 134,5 211,5 262,5 312
Chiltern - Indigo Valley,1 339,1 353,1 376,1 403,1 414,1 425
Myrtleford,2 197,2 207,2 225,2 242,2 258,2 288
Towong,3 078,3 088,3 100,3 048,3 064,3 094
West Wodonga,6 144,6 209,6 287,6 356,6 425,6 531
Yackandandah,1 880,1 915,1 964,2 010,2 060,2 119
Baranduda - Leneva,3 240,3 517,3 813,4 016,4 286,4 566
Wodonga,7 245,7 279,7 305,7 330,7 339,7 364
Drouin,7 048,7 314,7 560,7 811,8 034,8 378
Mount Baw Baw Region,2 897,2 931,2 979,3 021,3 048,3 081
Trafalgar (Vic.),3 438,3 507,3 569,3 605,3 645,3 732
Warragul,8 209,8 460,8 806,9 213,9 519,9 849
Bairnsdale,6 787,6 892,7 002,7 102,7 196,7 322
Bruthen - Omeo,3 835,3 886,3 934,3 908,3 981,4 064
Lakes Entrance,5 953,6 037,6 110,6 202,6 280,6 356
Orbost,4 078,4 097,4 116,3 924,3 955,4 000
Paynesville,3 734,3 801,3 892,3 968,4 042,4 132
Foster,7 222,7 284,7 339,7 425,7 498,7 596
French Island,132,132,132,132,132,134
Korumburra,4 169,4 215,4 278,4 332,4 366,4 413
Leongatha,4 980,5 024,5 066,5 125,5 193,5 261
Phillip Island,11 760,11 982,12 204,12 368,12 524,12 692
Wilsons Promontory,15,15,15,15,15,15
Wonthaggi - Inverloch,14 599,14 897,15 257,15 626,16 030,16 488
Churchill,4 931,4 972,5 005,5 057,5 108,5 202
Moe - Newborough,8 269,8 304,8 336,8 392,8 461,8 537
