Region,2019,2020,2021,2022,2023
Alfredton,819,872,961,1 149,1 215
Ballarat,2 549,2 585,2 671,2 670,2 720
Buninyong,450,443,461,501,527
Delacombe,555,592,677,827,918
Smythes Creek,311,320,338,357,354
Wendouree - Miners Rest,922,994,1 004,1 141,1 151
Ballarat East - Warrenheip,539,550,575,663,684
Ballarat North - Invermay,987,1 012,1 077,1 136,1 148
Canadian - Mount Clear,614,649,671,766,734
Sebastopol - Redan,469,489,520,615,591
Bacchus Marsh Surrounds,581,582,625,673,673
Creswick - Clunes,718,720,745,787,781
Daylesford,1 066,1 070,1 119,1 224,1 205
Gordon (Vic.),659,664,708,752,765
Avoca,469,458,454,472,477
Beaufort,467,461,478,488,498
Golden Plains - North,350,338,352,379,385
Maryborough (Vic.),447,456,483,519,483
Maryborough Surrounds,377,399,403,431,436
Bendigo,1 783,1 802,1 833,1 950,1 897
California Gully - Eaglehawk,475,460,501,609,583
East Bendigo - Kennington,1 050,1 061,1 093,1 230,1 243
Flora Hill - Spring Gully,406,433,452,508,515
Kangaroo Flat - Golden Square,1 031,1 015,1 046,1 220,1 219
Maiden Gully,331,324,335,372,371
Strathfieldsaye,581,619,653,698,704
White Hills - Ascot,643,662,694,778,771
Bendigo Surrounds - South,609,627,666,722,721
Castlemaine,783,748,771,867,860
Castlemaine Surrounds,841,868,898,968,952
Heathcote,372,368,383,430,401
Kyneton,1 064,1 079,1 126,1 248,1 271
Woodend,700,723,739,767,758
Bendigo Surrounds - North,502,496,508,528,529
Loddon,935,921,927,976,964
Bannockburn,522,538,570,619,652
Golden Plains - South,736,754,798,842,858
Winchelsea,840,874,903,948,970
Belmont,957,988,1 026,1 106,1 059
Geelong,3 120,3 157,3 259,3 259,3 279
Geelong West - Hamlyn Heights,1 521,1 538,1 616,1 723,1 733
Highton,1 464,1 535,1 573,1 737,1 773
Lara,1 089,1 127,1 164,1 323,1 385
Leopold,622,642,651,691,727
Newcomb - Moolap,839,858,881,1 022,987
Newtown (Vic.),1 259,1 294,1 340,1 374,1 457
North Geelong - Bell Park,1 317,1 376,1 487,1 689,1 695
Charlemont,223,290,370,517,579
Corio - Lovely Banks,723,758,834,1 054,1 016
Grovedale - Mount Duneed,1 150,1 177,1 268,1 509,1 551
Norlane,326,339,385,610,545
Clifton Springs,786,785,863,957,971
Lorne - Anglesea,678,693,718,745,719
Portarlington,465,477,537,604,600
Point Lonsdale - Queenscliff,456,452,490,512,535
Torquay,1 942,2 094,2 283,2 545,2 635
Barwon Heads - Armstrong Creek,606,673,745,857,931
Ocean Grove,1 340,1 414,1 501,1 636,1 684
Alexandra,777,793,828,859,855
Euroa,903,906,954,992,991
Kilmore - Broadford,1 137,1 132,1 180,1 273,1 320
Mansfield (Vic.),1 249,1 296,1 375,1 467,1 480
Nagambie,483,487,514,535,545
Seymour,438,436,443,495,499
Seymour Surrounds,422,413,440,482,480
Upper Yarra Valley,10,10,13,17,13
Yea,545,564,572,598,600
Benalla,833,823,857,952,911
Benalla Surrounds,616,617,640,679,701
Rutherglen,391,391,410,430,433
Wangaratta,1 522,1 551,1 579,1 650,1 631
Wangaratta Surrounds,1 477,1 474,1 497,1 606,1 628
Beechworth,500,521,541,539,545
Bright - Mount Beauty,1 042,1 050,1 100,1 200,1 215
Chiltern - Indigo Valley,295,301,322,322,349
