Region,2017,2018,2019,2020,2021,2022
Alfredton,208,209,216,222,223,223
Ballarat,831,838,845,848,860,867
Buninyong,78,79,79,79,80,81
Delacombe,183,206,207,212,227,243
Smythes Creek,,,,,,
Wendouree - Miners Rest,809,818,822,826,842,887
Ballarat East - Warrenheip,521,531,541,548,549,551
Ballarat North - Invermay,658,670,681,695,700,705
Canadian - Mount Clear,649,679,701,722,743,748
Sebastopol - Redan,2 011,2 027,2 064,2 073,2 099,2 111
Bacchus Marsh Surrounds,78,85,90,94,98,105
Creswick - Clunes,39,39,39,42,42,42
Daylesford,227,228,233,241,252,260
Gordon (Vic.),,,,,,
Avoca,20,20,20,20,20,20
Beaufort,12,12,12,13,15,15
Golden Plains - North,10,10,10,10,10,10
Maryborough (Vic.),395,401,409,410,412,415
Maryborough Surrounds,56,56,56,56,56,56
Bendigo,851,858,868,881,884,889
California Gully - Eaglehawk,299,299,299,299,299,300
East Bendigo - Kennington,1 088,1 095,1 099,1 100,1 106,1 107
Flora Hill - Spring Gully,734,734,734,734,734,734
Kangaroo Flat - Golden Square,671,691,702,734,755,765
Maiden Gully,,,,,,
Strathfieldsaye,1,2,2,2,10,11
White Hills - Ascot,217,226,231,235,235,238
Bendigo Surrounds - South,1,4,5,5,5,5
Castlemaine,273,274,282,291,299,304
Castlemaine Surrounds,23,23,23,23,25,25
Heathcote,41,41,41,41,45,45
Kyneton,305,317,321,328,334,337
Woodend,65,66,72,79,271,278
Bendigo Surrounds - North,5,5,5,5,5,5
Loddon,141,141,141,141,141,141
Bannockburn,87,87,87,87,87,87
Golden Plains - South,10,10,10,10,10,10
Winchelsea,61,61,61,61,61,61
Belmont,1 231,1 255,1 288,1 315,1 340,1 334
Geelong,1 394,1 405,1 417,1 424,1 432,1 439
Geelong West - Hamlyn Heights,1 030,1 054,1 078,1 098,1 156,1 179
Highton,1 010,1 020,1 035,1 057,1 072,1 087
Lara,651,655,660,664,674,678
Leopold,340,340,341,348,349,355
Newcomb - Moolap,786,791,862,897,923,940
Newtown (Vic.),923,933,939,951,965,967
North Geelong - Bell Park,542,588,731,752,796,821
Charlemont,363,363,371,376,402,409
Corio - Lovely Banks,427,435,438,467,491,497
Grovedale - Mount Duneed,955,961,967,971,995,1 001
Norlane,624,636,650,662,699,741
Clifton Springs,243,250,282,293,298,325
Lorne - Anglesea,354,358,360,367,371,371
Portarlington,514,520,533,554,578,657
Point Lonsdale - Queenscliff,310,313,319,401,439,509
Torquay,770,789,828,855,940,1 024
Barwon Heads - Armstrong Creek,235,245,258,294,338,371
Ocean Grove,598,607,623,650,704,723
Alexandra,119,121,121,124,125,125
Euroa,128,128,128,128,128,128
Kilmore - Broadford,550,551,553,557,559,564
Mansfield (Vic.),189,197,212,216,224,228
Nagambie,105,105,105,105,105,105
Seymour,276,276,276,279,291,298
Seymour Surrounds,20,20,20,20,20,20
Upper Yarra Valley,,,,,,
Yea,----,3,5,5,5,7
Benalla,710,715,715,722,734,748
Benalla Surrounds,,,,,,
Rutherglen,132,132,132,135,135,135
Wangaratta,1 369,1 373,1 378,1 384,1 385,1 406
Wangaratta Surrounds,10,10,10,10,10,10
Beechworth,83,84,84,84,84,84
Bright - Mount Beauty,345,347,360,368,369,371
Chiltern - Indigo Valley,44,44,44,44,44,44
Myrtleford,126,126,126,126,126,128
Towong,45,45,45,45,45,45
West Wodonga,540,542,546,546,549,549
Yackandandah,41,41,41,41,41,41
Baranduda - Leneva,10,10,10,10,10,12
Wodonga,1 198,1 200,1 202,1 204,1 207,1 212
Drouin,285,311,318,371,388,416
Mount Baw Baw Region,20,20,20,20,20,20
Trafalgar (Vic.),119,130,137,140,142,146
Warragul,506,507,515,520,520,524
Bairnsdale,872,879,882,888,888,894
Bruthen - Omeo,34,36,36,36,36,36
Lakes Entrance,501,501,501,501,501,501
Orbost,110,110,110,110,110,110
Paynesville,297,297,297,297,297,297
Foster,71,71,71,71,71,74
French Island,,,,,,
Korumburra,170,173,179,183,190,192
Leongatha,132,134,135,139,141,141
Phillip Island,970,973,989,998,1 006,1 030
Wilsons Promontory,5,5,5,5,5,5
Wonthaggi - Inverloch,778,787,797,807,815,821
Churchill,37,38,38,38,38,39
Moe - Newborough,1 140,1 144,1 145,1 148,1 155,1 157
Morwell,483,483,484,494,497,503
Yallourn North - Glengarry,9,9,9,9,10,11
Traralgon - East,185,185,185,186,191,191
Traralgon - West,400,410,415,418,418,448
Alps - West,,,,,,
Longford - Loch Sport,161,161,161,161,161,161
Maffra,7,9,9,9,10,12
Rosedale,25,25,25,25,25,25
Sale,556,572,582,590,590,603
Yarram,132,132,132,132,132,132
Brunswick East,1 805,1 824,1 852,1 870,1 885,1 894
Brunswick West,1 333,1 380,1 422,1 448,1 464,1 481
Pascoe Vale South,351,383,411,442,466,480
Brunswick - North,1 697,1 722,1 761,1 775,1 785,1 853
Brunswick - South,2 000,2 015,2 022,2 031,2 036,2 050
Coburg - East,1 689,1 715,1 736,1 768,1 786,1 870
Coburg - West,892,940,974,996,1 034,1 062
Alphington - Fairfield,846,870,885,896,915,930
Thornbury,1 889,2 003,2 050,2 092,2 170,2 208
Northcote - East,1 460,1 477,1 497,1 529,1 547,1 561
Northcote - West,1 567,1 575,1 630,1 639,1 645,1 654
Ascot Vale,1 424,1 450,1 489,1 538,1 569,1 573
Flemington,932,933,938,939,940,940
Moonee Ponds,1 081,1 118,1 150,1 239,1 260,1 275
Essendon (West) - Aberfeldie,944,1 010,1 098,1 141,1 186,1 216
Essendon - East,1 130,1 160,1 198,1 280,1 311,1 321
Carlton,1 455,1 461,1 462,1 462,1 462,1 462
Docklands,152,152,152,152,152,152
East Melbourne,695,695,695,695,696,698
Flemington Racecourse,5,5,5,5,5,5
Kensington (Vic.),2 810,2 819,2 830,2 838,2 851,2 855
Parkville,899,900,905,947,948,948
South Yarra - West,375,375,375,375,375,375
West Melbourne - Industrial,,,,,,
Melbourne CBD - East,64,64,64,64,64,64
Melbourne CBD - North,,,,,,
Melbourne CBD - West,20,20,20,20,20,20
North Melbourne,2 010,2 016,2 031,2 048,2 056,2 073
Southbank (West) - South Wharf,,,,,,
Southbank - East,199,199,199,199,199,199
West Melbourne - Residential,882,884,884,890,890,890
Albert Park,2 936,2 936,2 936,2 940,2 943,2 944
Elwood,1 102,1 109,1 126,1 144,1 169,1 185
Port Melbourne,3 545,3 557,3 597,3 601,3 615,3 622
St Kilda East,1 226,1 233,1 245,1 250,1 256,1 311
Port Melbourne Industrial,34,34,319,319,340,340
South Melbourne,2 369,2 369,2 386,2 390,2 393,2 393
St Kilda - Central,711,714,715,736,743,746
St Kilda - West,944,949,953,959,962,962
Armadale,832,849,853,858,863,865
Prahran - Windsor,2 653,2 673,2 688,2 701,2 715,2 722
Toorak,1 377,1 388,1 393,1 397,1 395,1 396
South Yarra - North,236,236,236,236,235,243
South Yarra - South,1 459,1 476,1 477,1 480,1 484,1 487
Abbotsford,1 205,1 209,1 213,1 217,1 234,1 234
Carlton North - Princes Hill,2 723,2 723,2 723,2 723,2 723,2 723
Collingwood,1 372,1 374,1 375,1 377,1 377,1 377
Fitzroy,2 024,2 024,2 024,2 024,2 024,2 024
Fitzroy North,2 976,3 039,3 049,3 055,3 063,3 059
Clifton Hill - Alphington,1 814,1 828,1 844,1 870,1 876,1 928
Richmond (South) - Cremorne,3 612,3 634,3 670,3 686,3 700,3 700
Richmond - North,1 716,1 723,1 735,1 748,1 760,1 767
Ashburton (Vic.),526,541,561,590,612,629
Balwyn,1 750,1 770,1 789,1 808,1 817,1 834
Balwyn North,928,952,973,997,1 030,1 056
Camberwell,1 747,1 779,1 811,1 839,1 875,1 907
Glen Iris - East,1 223,1 242,1 258,1 278,1 295,1 308
Hawthorn East,1 295,1 305,1 349,1 353,1 359,1 382
Kew East,556,557,562,564,578,584
Surrey Hills (West) - Canterbury,1 471,1 486,1 500,1 507,1 516,1 523
Hawthorn - North,1 015,1 022,1 027,1 030,1 030,1 030
