Region,2011,2016,2021
Alfredton,177,309,323
Ballarat,340,382,273
Buninyong,181,214,128
Delacombe,143,225,254
Smythes Creek,80,86,75
Wendouree - Miners Rest,421,512,362
Ballarat East - Warrenheip,282,335,255
Ballarat North - Invermay,309,405,257
Canadian - Mount Clear,379,455,382
Sebastopol - Redan,350,533,376
Bacchus Marsh Surrounds,122,169,122
Creswick - Clunes,185,200,161
Daylesford,199,181,163
Gordon (Vic.),139,140,90
Avoca,77,95,61
Beaufort,135,95,66
Golden Plains - North,120,149,86
Maryborough (Vic.),181,223,185
Maryborough Surrounds,140,199,108
Bendigo,468,557,378
California Gully - Eaglehawk,294,458,303
East Bendigo - Kennington,310,422,265
Flora Hill - Spring Gully,258,361,259
Kangaroo Flat - Golden Square,470,599,397
Maiden Gully,73,108,96
Strathfieldsaye,126,174,177
White Hills - Ascot,169,271,269
Bendigo Surrounds - South,121,164,105
Castlemaine,209,230,185
Castlemaine Surrounds,187,206,151
Heathcote,96,121,102
Kyneton,178,189,170
Woodend,125,162,138
Bendigo Surrounds - North,102,99,95
Loddon,171,144,146
Bannockburn,91,113,106
Golden Plains - South,117,157,125
Winchelsea,108,95,68
Belmont,382,420,363
Geelong,376,383,343
Geelong West - Hamlyn Heights,529,589,455
Highton,458,654,492
Lara,327,421,418
Leopold,203,346,266
Newcomb - Moolap,404,475,390
Newtown (Vic.),213,252,198
North Geelong - Bell Park,400,491,411
Charlemont,29,67,200
Corio - Lovely Banks,678,793,601
Grovedale - Mount Duneed,390,581,539
Norlane,439,529,350
Clifton Springs,246,354,347
Lorne - Anglesea,90,74,74
Portarlington,181,216,169
Point Lonsdale - Queenscliff,67,59,66
Torquay,295,380,403
Barwon Heads - Armstrong Creek,79,146,169
Ocean Grove,303,323,246
Alexandra,119,139,104
Euroa,114,123,108
Kilmore - Broadford,287,368,336
Mansfield (Vic.),103,139,92
Nagambie,68,81,65
Seymour,211,188,172
Seymour Surrounds,105,98,73
Upper Yarra Valley,15,5,8
Yea,77,82,77
Benalla,233,256,171
Benalla Surrounds,74,63,48
Rutherglen,65,93,54
Wangaratta,446,446,316
Wangaratta Surrounds,174,169,101
Beechworth,79,75,64
Bright - Mount Beauty,148,118,81
Chiltern - Indigo Valley,78,86,48
Myrtleford,119,104,59
Towong,114,129,104
West Wodonga,418,420,315
Yackandandah,78,83,48
Baranduda - Leneva,85,177,198
Wodonga,501,569,394
Drouin,321,430,363
Mount Baw Baw Region,139,154,127
Trafalgar (Vic.),167,180,123
Warragul,404,479,438
Bairnsdale,313,363,297
Bruthen - Omeo,166,184,128
Lakes Entrance,235,264,193
Orbost,174,222,145
Paynesville,108,119,122
Foster,124,186,127
French Island,5,----,3
Korumburra,172,225,166
Leongatha,186,219,154
Phillip Island,206,251,198
Wilsons Promontory,,,
Wonthaggi - Inverloch,391,597,451
Churchill,407,461,307
Moe - Newborough,687,818,594
Morwell,674,752,580
Yallourn North - Glengarry,114,177,97
Traralgon - East,351,434,302
Traralgon - West,371,511,387
Alps - West,,,
Longford - Loch Sport,103,119,104
Maffra,297,351,264
Rosedale,105,128,85
Sale,363,443,354
Yarram,110,155,141
Brunswick East,286,396,383
Brunswick West,445,513,421
Pascoe Vale South,205,295,213
Brunswick - North,437,478,428
Brunswick - South,384,472,386
Coburg - East,377,536,377
Coburg - West,375,464,397
Alphington - Fairfield,173,273,219
Thornbury,478,571,534
Northcote - East,318,397,346
Northcote - West,255,276,277
Ascot Vale,430,516,400
Flemington,381,517,355
Moonee Ponds,269,420,377
Essendon (West) - Aberfeldie,288,415,395
Essendon - East,279,343,317
Carlton,912,1 564,1 141
Docklands,170,484,706
East Melbourne,109,123,100
Flemington Racecourse,3,4,----
Kensington (Vic.),278,318,298
Parkville,406,489,441
South Yarra - West,138,155,149
West Melbourne - Industrial,,,
Melbourne CBD - East,400,679,521
Melbourne CBD - North,378,1 091,1 242
Melbourne CBD - West,395,1 035,927
North Melbourne,579,889,667
Southbank (West) - South Wharf,173,279,249
Southbank - East,246,630,694
West Melbourne - Residential,127,268,327
Albert Park,322,418,381
Elwood,366,440,404
Port Melbourne,323,367,362
St Kilda East,481,513,452
Port Melbourne Industrial,3,3,57
South Melbourne,274,383,365
St Kilda - Central,337,430,364
St Kilda - West,383,510,459
Armadale,204,237,217
Prahran - Windsor,454,575,487
Toorak,280,288,255
South Yarra - North,176,420,316
South Yarra - South,267,326,274
Abbotsford,134,293,257
Carlton North - Princes Hill,248,238,215
Collingwood,238,357,302
Fitzroy,329,428,292
Fitzroy North,285,355,283
Clifton Hill - Alphington,226,226,212
Richmond (South) - Cremorne,322,424,309
Richmond - North,389,522,413
Ashburton (Vic.),201,202,203
Balwyn,361,462,377
Balwyn North,484,603,536
Camberwell,417,579,471
Glen Iris - East,366,427,353
Hawthorn East,341,436,382
Kew East,130,164,146
Surrey Hills (West) - Canterbury,323,410,340
Hawthorn - North,306,391,276
Hawthorn - South,338,504,347
Kew - South,226,302,236
Kew - West,282,353,284
Bulleen,205,325,286
Doncaster,492,729,746
Templestowe,392,463,385
Templestowe Lower,289,373,348
Doncaster East - North,403,465,437
Doncaster East - South,340,490,424
Blackburn,414,670,558
Blackburn South,213,276,259
Box Hill,605,876,846
Box Hill North,476,592,490
Burwood (Vic.),445,761,496
Burwood East,289,386,309
Surrey Hills (East) - Mont Albert,250,255,243
Beaumaris,205,296,272
Brighton (Vic.),381,476,418
Brighton East,319,407,367
Highett (West) - Cheltenham,202,272,294
Hampton,362,425,376
Sandringham - Black Rock,270,330,328
Bentleigh - McKinnon,461,706,589
Carnegie,475,709,503
Caulfield - North,457,585,511
Caulfield - South,368,422,375
Elsternwick,235,256,249
Hughesdale,217,277,181
Murrumbeena,219,342,222
Ormond - Glen Huntly,412,508,382
Bentleigh East - North,319,388,400
Bentleigh East - South,283,361,291
Aspendale Gardens - Waterways,173,215,207
Braeside,,,
Carrum - Patterson Lakes,290,288,258
Chelsea - Bonbeach,328,364,281
Chelsea Heights,127,142,117
Highett (East) - Cheltenham ,440,603,542
Edithvale - Aspendale,250,312,267
Mentone,235,371,305
Moorabbin - Heatherton,171,278,210
Moorabbin Airport,,,
Mordialloc - Parkdale,378,498,471
Malvern - Glen Iris,446,532,475
Malvern East,519,739,627
Bundoora - East,263,323,270
Greensborough,419,519,441
Heidelberg - Rosanna,294,406,341
Heidelberg West,455,596,485
Ivanhoe,270,330,260
Ivanhoe East - Eaglemont,149,202,153
Montmorency - Briar Hill,323,349,304
Viewbank - Yallambie,375,488,420
Watsonia,175,226,200
Kingsbury,491,721,465
Preston - East,655,820,645
Preston - West,334,413,399
Reservoir - North East,446,609,458
Reservoir - North West,237,305,249
Reservoir - South East,395,498,392
Reservoir - South West,409,549,439
Eltham,482,562,476
Hurstbridge,72,83,78
Kinglake,92,97,71
Panton Hill - St Andrews,103,99,88
Plenty - Yarrambat,148,212,167
Research - North Warrandyte,122,144,129
Wattle Glen - Diamond Creek,271,350,284
Bundoora - North,148,332,257
Bundoora - West,180,260,201
Mill Park - North,477,611,552
Mill Park - South,411,463,333
Thomastown,668,809,670
Wallan,260,457,520
Whittlesea,130,157,179
Epping - East,331,507,401
Epping - South,264,353,254
Epping (Vic.) - West,173,401,395
South Morang - North,221,399,369
South Morang - South,268,391,332
Wollert,9,289,749
Doreen - North,118,332,382
Doreen - South,41,187,236
Lalor - East,342,421,331
Lalor - West,324,466,415
Mernda - North,87,246,338
Mernda - South,71,230,355
Airport West,157,181,191
Essendon Airport,,,
Keilor,172,216,170
Niddrie - Essendon West,103,151,175
Strathmore,195,226,237
Avondale Heights,238,313,303
Keilor East,282,379,326
Gisborne,188,286,236
Macedon,64,84,44
Riddells Creek,56,79,72
Romsey,165,205,169
Coburg North,178,250,229
Fawkner,350,574,470
Gowanbrae,51,59,78
Hadfield,122,184,173
Glenroy - East,364,579,469
Glenroy - West,226,326,218
Oak Park,146,248,215
Pascoe Vale,357,519,461
Sunbury,288,419,327
Diggers Rest,50,49,126
Sunbury - South,283,399,364
Sunbury - West,241,398,283
Broadmeadows,466,719,609
Campbellfield - Coolaroo,616,717,663
Gladstone Park - Westmeadows,463,592,583
Greenvale - Bulla,297,464,678
Meadow Heights,597,703,618
Melbourne Airport,4,----,4
Tullamarine,185,234,197
Craigieburn - Central,243,417,298
Craigieburn - North,265,433,456
Craigieburn - South,421,692,767
Mickleham - Yuroke,24,88,686
Craigieburn - North West,3,213,315
Craigieburn - West,123,350,506
Roxburgh Park (South) - Somerton,324,417,397
Roxburgh Park - North,358,499,625
Bayswater,321,385,294
Knoxfield - Scoresby,345,486,419
Lysterfield,154,156,136
Rowville - Central,400,455,386
Rowville - North,176,213,189
Rowville - South,237,287,269
Wantirna,317,408,325
Wantirna South,460,584,452
Boronia,507,646,535
Ferntree Gully - North,324,398,327
Ferntree Gully (South) - Upper Ferntree Gully,357,437,362
The Basin,101,113,88
Donvale - Park Orchards,303,355,408
Warrandyte - Wonga Park,201,245,185
Bayswater North,281,319,244
Croydon Hills - Warranwood,371,436,359
Ringwood,427,590,450
Ringwood East,420,542,465
Ringwood North,180,232,197
Croydon - East,321,414,356
Croydon - West,250,348,295
Croydon South,122,127,90
Forest Hill,221,345,280
Mitcham (Vic.),355,474,408
Nunawading,270,328,292
Vermont,218,278,253
Vermont South,247,383,303
Belgrave - Selby,243,256,227
Chirnside Park,171,225,196
Healesville - Yarra Glen,256,288,220
Kilsyth,182,190,184
Lilydale - Coldstream,368,435,350
Monbulk - Silvan,112,95,95
Montrose,129,144,114
Mooroolbark,443,613,501
Mount Dandenong - Olinda,201,217,202
Mount Evelyn,214,237,180
Upwey - Tecoma,259,281,226
Wandin - Seville,102,159,115
Yarra Valley,372,421,313
Emerald - Cockatoo,380,400,302
Beaconsfield - Officer,161,346,563
Bunyip - Garfield,144,159,164
Koo Wee Rup,123,155,146
Pakenham - North East,324,470,408
Pakenham - North West,52,143,162
Pakenham - South East,131,149,190
Pakenham - South West,427,775,697
Berwick - North,500,604,529
Doveton,414,570,457
Hallam,412,448,390
Narre Warren North,119,187,154
Endeavour Hills - North,451,480,353
Endeavour Hills - South,417,481,441
Narre Warren - North East,372,522,370
Narre Warren - South West,404,549,508
Berwick - South East,349,537,486
Berwick - South West,220,321,337
Cranbourne,659,775,680
Cranbourne South,100,185,291
Cranbourne West,318,501,579
Lynbrook - Lyndhurst,309,552,521
Pearcedale - Tooradin,164,188,145
Narre Warren South - East,263,426,362
Narre Warren South - West,457,639,584
Clyde North - North,----,61,251
Clyde North - South,7,12,341
Cranbourne East - North,192,591,620
Cranbourne East - South,5,131,297
