Region,2018,2019,2020,2021,2022,2023
Alfredton,8 636,9 177,9 858,10 662,11 402,----
Ballarat,7 754,7 789,7 678,7 525,7 401,----
Buninyong,4 721,4 712,4 566,4 407,4 392,----
Delacombe,5 290,5 755,6 304,6 806,7 619,----
Smythes Creek,2 627,2 692,2 703,2 716,2 724,----
Wendouree - Miners Rest,9 088,9 194,9 295,9 357,9 415,----
Ballarat East - Warrenheip,6 065,6 102,6 055,5 970,5 965,----
Ballarat North - Invermay,9 244,9 288,9 267,9 168,9 218,----
Canadian - Mount Clear,7 863,7 923,7 888,7 832,7 982,----
Sebastopol - Redan,8 448,8 420,8 334,8 142,8 080,----
Bacchus Marsh Surrounds,3 945,4 008,4 060,4 086,4 077,----
Creswick - Clunes,4 693,4 684,4 690,4 631,4 613,----
Daylesford,5 685,5 741,5 770,5 806,5 829,----
Gordon (Vic.),3 836,3 916,3 960,4 027,4 014,----
Avoca,1 953,1 951,1 936,1 928,1 947,----
Beaufort,2 717,2 773,2 794,2 805,2 750,----
Golden Plains - North,2 962,3 016,3 011,3 013,3 052,----
Maryborough (Vic.),4 408,4 410,4 346,4 303,4 353,----
Maryborough Surrounds,3 167,3 145,3 087,3 129,3 131,----
Bendigo,9 774,9 861,9 835,9 672,9 534,----
California Gully - Eaglehawk,7 799,7 891,7 980,8 007,8 179,----
East Bendigo - Kennington,8 404,8 437,8 371,8 349,8 259,----
Flora Hill - Spring Gully,6 352,6 357,6 335,6 124,6 137,----
Kangaroo Flat - Golden Square,12 373,12 483,12 522,12 473,12 555,----
Maiden Gully,3 400,3 400,3 442,3 445,3 530,----
Strathfieldsaye,5 857,6 064,6 236,6 370,6 551,----
White Hills - Ascot,8 412,8 714,8 913,9 066,9 309,----
Bendigo Surrounds - South,5 031,5 116,5 220,5 288,5 398,----
Castlemaine,6 581,6 550,6 524,6 433,6 378,----
Castlemaine Surrounds,5 300,5 303,5 325,5 408,5 387,----
Heathcote,2 740,2 787,2 791,2 813,2 867,----
Kyneton,6 078,6 115,6 169,6 203,6 175,----
Woodend,4 498,4 576,4 579,4 666,4 613,----
Bendigo Surrounds - North,2 889,2 956,2 988,3 032,3 121,----
Loddon,4 064,4 084,4 055,4 054,4 013,----
Bannockburn,4 368,4 494,4 635,4 738,4 907,----
Golden Plains - South,4 699,4 820,4 964,5 145,5 208,----
Winchelsea,3 822,3 935,4 047,4 136,4 174,----
Belmont,9 470,9 678,9 774,9 653,9 602,----
Geelong,9 304,9 352,9 349,9 273,9 277,----
Geelong West - Hamlyn Heights,13 858,14 069,14 315,14 240,14 159,----
Highton,15 274,15 486,15 462,15 472,15 817,----
Lara,13 311,13 584,13 698,13 776,14 042,----
Leopold,8 255,8 222,8 169,8 039,8 058,----
Newcomb - Moolap,9 447,9 623,9 553,9 414,9 289,----
Newtown (Vic.),6 827,6 851,6 773,6 608,6 478,----
North Geelong - Bell Park,9 554,9 780,9 775,9 593,9 606,----
Charlemont,3 975,4 893,5 865,6 791,7 901,----
Corio - Lovely Banks,12 308,12 436,12 501,12 298,12 140,----
Grovedale - Mount Duneed,14 186,14 753,15 449,15 964,16 629,----
Norlane,5 910,5 982,5 997,5 970,5 890,----
Clifton Springs,8 781,9 218,9 469,9 630,9 841,----
Lorne - Anglesea,3 230,3 309,3 384,3 485,3 451,----
Portarlington,4 289,4 432,4 633,4 848,4 990,----
Point Lonsdale - Queenscliff,2 220,2 294,2 401,2 513,2 474,----
Torquay,13 161,13 848,14 470,15 091,15 527,----
Barwon Heads - Armstrong Creek,5 824,6 245,6 671,7 020,7 552,----
Ocean Grove,10 444,10 796,11 043,11 222,11 489,----
Alexandra,3 784,3 790,3 760,3 784,3 767,----
Euroa,3 596,3 653,3 657,3 657,3 651,----
Kilmore - Broadford,9 259,9 529,9 627,9 666,9 740,----
Mansfield (Vic.),5 543,5 704,5 911,6 055,6 178,----
Nagambie,2 488,2 504,2 548,2 578,2 603,----
Seymour,4 055,4 063,4 025,3 994,4 001,----
Seymour Surrounds,3 066,3 097,3 073,3 077,3 023,----
Upper Yarra Valley,149,158,163,172,175,----
Yea,2 215,2 279,2 331,2 394,2 465,----
Benalla,6 028,6 034,6 013,5 949,5 895,----
Benalla Surrounds,2 276,2 266,2 281,2 263,2 255,----
Rutherglen,2 385,2 371,2 346,2 313,2 323,----
Wangaratta,11 468,11 561,11 593,11 578,11 642,----
Wangaratta Surrounds,6 008,5 979,5 932,5 875,5 844,----
Beechworth,2 867,2 878,2 876,2 861,2 770,----
Bright - Mount Beauty,5 185,5 220,5 298,5 372,5 409,----
Chiltern - Indigo Valley,1 979,1 982,1 997,1 985,1 996,----
Myrtleford,2 822,2 802,2 780,2 739,2 726,----
Towong,3 516,3 521,3 478,3 446,3 394,----
West Wodonga,9 714,9 706,9 645,9 584,9 627,----
Yackandandah,2 939,2 993,3 054,3 106,3 190,----
Baranduda - Leneva,6 963,7 323,7 670,8 031,8 409,----
Wodonga,9 840,9 717,9 539,9 303,9 110,----
Drouin,10 680,11 073,11 494,11 737,12 186,----
Mount Baw Baw Region,3 859,3 925,3 937,3 956,3 940,----
Trafalgar (Vic.),4 869,4 868,4 862,4 890,4 917,----
Warragul,12 476,12 954,13 426,13 970,14 322,----
Bairnsdale,8 845,8 906,8 849,8 827,8 885,----
Bruthen - Omeo,4 793,4 816,4 833,4 922,4 955,----
Lakes Entrance,5 560,5 615,5 667,5 704,5 730,----
Orbost,3 658,3 683,3 705,3 719,3 668,----
Paynesville,3 283,3 307,3 270,3 258,3 234,----
Foster,5 043,5 057,5 116,5 091,5 071,----
French Island,61,65,68,71,75,----
Korumburra,5 764,5 854,5 961,5 900,5 883,----
Leongatha,6 549,6 563,6 510,6 420,6 492,----
Phillip Island,6 832,7 126,7 381,7 669,7 793,----
Wilsons Promontory,12,11,11,11,11,----
Wonthaggi - Inverloch,13 586,14 009,14 426,14 856,15 131,----
Churchill,7 561,7 530,7 504,7 430,7 410,----
Moe - Newborough,10 439,10 470,10 466,10 325,10 326,----
Morwell,8 688,8 717,8 720,8 669,8 626,----
Yallourn North - Glengarry,3 067,3 055,3 036,3 028,3 041,----
Traralgon - East,7 364,7 400,7 411,7 368,7 397,----
Traralgon - West,10 374,10 456,10 510,10 448,10 490,----
Alps - West,20,15,15,10,10,----
Longford - Loch Sport,2 785,2 877,2 929,2 974,2 963,----
Maffra,8 660,8 688,8 720,8 660,8 685,----
Rosedale,3 424,3 407,3 340,3 331,3 310,----
Sale,9 237,9 233,9 218,9 162,9 171,----
Yarram,3 195,3 176,3 181,3 166,3 171,----
Brunswick East,9 985,10 229,10 674,10 597,10 941,----
Brunswick West,11 020,11 180,11 333,10 913,11 104,----
Pascoe Vale South,7 250,7 314,7 270,7 040,7 015,----
Brunswick - North,10 764,10 874,10 985,10 170,10 346,----
Brunswick - South,11 501,11 622,11 532,10 636,10 852,----
Coburg - East,9 834,9 872,9 761,9 309,9 530,----
Coburg - West,10 070,10 026,9 959,9 736,9 780,----
Alphington - Fairfield,6 781,6 854,6 897,6 434,6 504,----
