property_url,name,property_type,cost_text,latitude,longitude,bed_info,bath_info,parking,date_available,desc
https://www.domain.com.au/g02-41-nott-street-port-melbourne-vic-3207-17179877?topspot=1,"G02/41 Nott Street, Port Melbourne VIC 3207",Apartment / Unit / Flat,$500 weekly,-37.8416246,144.9375171,1 Bed,1 Bath,N/A,Available Now,Jemma Wilksch
https://www.domain.com.au/201-662-whitehorse-road-mont-albert-vic-3127-17193790,"201/662 Whitehorse Road, Mont Albert VIC 3127",Apartment / Unit / Flat,$570.00,-37.8157917,145.1040583,2 Beds,1 Bath,1 Parking,"Monday, 16th September 2024",Nicole Woods
https://www.domain.com.au/109-10-stanley-street-collingwood-vic-3066-17193767,"109/10 Stanley Street, Collingwood VIC 3066",Apartment / Unit / Flat,$500 per week,-37.8019462,144.9845117,1 Bed,1 Bath,1 Parking,"Monday, 9th September 2024",DIANA JURISIC
https://www.domain.com.au/1208-50-albert-street-south-melbourne-vic-3205-17193635,"1208/50 Albert Street, South Melbourne VIC 3205",Apartment / Unit / Flat,$520 pw,-37.8328503,144.9714664,1 Bed,1 Bath,1 Parking,"Wednesday, 25th September 2024",Carson Mair
https://www.domain.com.au/1104-70-southbank-boulevard-southbank-vic-3006-15846616,"1104/70 Southbank Boulevard, Southbank VIC 3006",Apartment / Unit / Flat,600 per week,-37.8231578,144.9639532,1 Bed,1 Bath,N/A,"Monday, 7th October 2024",Kim Te
https://www.domain.com.au/2-107-addison-street-elwood-vic-3184-17193576,"2/107 Addison Street, Elwood VIC 3184",Apartment / Unit / Flat,$895 weekly,-37.8807494,144.9801497,3 Beds,2 Baths,1 Parking,"Wednesday, 9th October 2024",Tina Kelly
https://www.domain.com.au/2-435-st-kilda-st-elwood-vic-3184-17171549,"2/435 St Kilda St, Elwood VIC 3184",Apartment / Unit / Flat,$675 weekly,-37.8902442,144.9907874,2 Beds,1 Bath,1 Parking,Available Now,Jemma Wilksch
https://www.domain.com.au/305-101-bay-street-port-melbourne-vic-3207-17193493,"305/101 Bay Street, Port Melbourne VIC 3207",Apartment / Unit / Flat,$595 weekly,-37.8406398,144.9400238,1 Bed,1 Bath,1 Parking,"Monday, 7th October 2024",Jemma Wilksch
https://www.domain.com.au/210-828-burke-road-camberwell-vic-3124-17193454,"210/828 Burke Road, Camberwell VIC 3124",Apartment / Unit / Flat,$500.00,-37.8218645,145.058755,1 Bed,1 Bath,1 Parking,"Thursday, 3rd October 2024",Thea Toogood
https://www.domain.com.au/14-27-wallace-avenue-toorak-vic-3142-17193447,"14/27 Wallace Avenue, Toorak VIC 3142",Apartment / Unit / Flat,$525 Per Week,-37.8386898,145.007396,1 Bed,1 Bath,1 Parking,"Thursday, 10th October 2024",Tom Koller
https://www.domain.com.au/304-109-inkerman-st-st-kilda-vic-3182-17193182,"304/109 Inkerman St, St Kilda VIC 3182",Apartment / Unit / Flat,$630 weekly,-37.8648414,144.9865489,2 Beds,2 Baths,1 Parking,"Thursday, 19th September 2024",Leasing Concierge
https://www.domain.com.au/5-107-hotham-street-st-kilda-east-vic-3183-15828906,"5/107 Hotham Street, St Kilda East VIC 3183",Apartment / Unit / Flat,$875 per week,-37.8705613,144.9990358,3 Beds,1 Bath,1 Parking,"Monday, 9th September 2024",Jodi Sherr
https://www.domain.com.au/7-penny-lane-south-yarra-vic-3141-17193168,"7 Penny Lane, South Yarra VIC 3141",Apartment / Unit / Flat,$420.00,-37.8400285,144.9946743,1 Bed,1 Bath,N/A,"Friday, 6th September 2024",Alexander Vingos
https://www.domain.com.au/103-6-kent-street-richmond-vic-3121-17193091,"103/6 Kent Street, Richmond VIC 3121",Apartment / Unit / Flat,$720,-37.8147224,145.000459,2 Beds,2 Baths,1 Parking,Available Now,Shelter Real Estate
https://www.domain.com.au/605-68-wests-road-maribyrnong-vic-3032-17193087,"605/68 Wests Road, Maribyrnong VIC 3032",Apartment / Unit / Flat,$570.00,-37.7698462,144.8823599,2 Beds,2 Baths,1 Parking,"Monday, 7th October 2024",Cameron  Gibson 
https://www.domain.com.au/7-1299-glen-huntly-road-carnegie-vic-3163-17193027,"7/1299 Glen Huntly Road, Carnegie VIC 3163",Apartment / Unit / Flat,$500 per week,-37.89027590000001,145.0507099,2 Beds,1 Bath,N/A,Available Now,Carnegie Leasing
https://www.domain.com.au/410-8-garfield-street-richmond-vic-3121-17192986,"410/8 Garfield Street, Richmond VIC 3121",Apartment / Unit / Flat,$480 weekly,-37.8118308,144.9927033,1 Bed,1 Bath,1 Parking,"Wednesday, 25th September 2024",Liam Mulligan
https://www.domain.com.au/3-10-scott-street-elwood-vic-3184-17192919,"3/10 Scott Street, Elwood VIC 3184",Apartment / Unit / Flat,$615 pw,-37.8793857,144.9928451,1 Bed,1 Bath,1 Parking,"Wednesday, 25th September 2024",Artem Chereshkov
https://www.domain.com.au/603-255-racecourse-rd-kensington-vic-3031-17192906,"603/255 Racecourse Rd, Kensington VIC 3031",Apartment / Unit / Flat,$450 weekly,-37.7885729,144.9327597,1 Bed,1 Bath,1 Parking,"Friday, 4th October 2024",Victoria Ryan
https://www.domain.com.au/2-41-grandview-grove-prahran-vic-3181-17192811,"2/41 Grandview Grove, Prahran VIC 3181",Apartment / Unit / Flat,$570 weekly,-37.8500918,145.0080661,2 Beds,1 Bath,N/A,"Monday, 30th September 2024",Mikayla Lastavec
https://www.domain.com.au/504a-2a-duffy-street-essendon-north-vic-3041-17192808,"504A/2A Duffy Street, Essendon North VIC 3041",Apartment / Unit / Flat,$480 per week,-37.7401486,144.9000425,1 Bed,1 Bath,1 Parking,"Wednesday, 30th October 2024",Kim Te
https://www.domain.com.au/g07-1217-centre-road-oakleigh-south-vic-3167-17192736,"G07/1217 Centre Road, Oakleigh South VIC 3167",Apartment / Unit / Flat,$595,-37.9260585,145.1033629,2 Beds,2 Baths,N/A,$2650,"This 2 bedroom, 2 bathroom apartment for Rent
- Two spacious bedrooms with BIR's
- Two bathrooms, one central and one ensuite.
- Intercom facility
- Single underground car park with a storage cage
- Air conditioning and heating
- Open plan living and dining
- Modern kitchen with dishwasher and gas cook top"
https://www.domain.com.au/113-8-montrose-street-hawthorn-vic-3122-17192681,"113/8 Montrose Street, Hawthorn VIC 3122",Apartment / Unit / Flat,$550 weekly,-37.8226005,145.0353696,1 Bed,1 Bath,1 Parking,"Wednesday, 18th September 2024",Ysabella Dimitrakopoulos
https://www.domain.com.au/5-556-dandenong-rd-caulfield-north-vic-3161-17192672,"5/556 Dandenong Rd, Caulfield North VIC 3161",Apartment / Unit / Flat,$565 weekly,-37.867492,145.0294621,2 Beds,1 Bath,1 Parking,"Monday, 9th September 2024",Mikayla Lastavec
https://www.domain.com.au/302-408-lonsdale-street-melbourne-vic-3000-15880923,"302/408 Lonsdale Street, Melbourne VIC 3000",Studio,$410,-37.8125979,144.9604012,1 Bed,1 Bath,N/A,Available Now,Manuel Flores
https://www.domain.com.au/g07a-72-ascot-vale-road-flemington-vic-3031-16936769,"G07A/72 Ascot Vale Road, Flemington VIC 3031",Apartment / Unit / Flat,$440 PER WEEK,-37.7840307,144.9230447,1 Bed,1 Bath,1 Parking,"Friday, 20th September 2024",Mary Corso
https://www.domain.com.au/38-201-wellington-parade-south-east-melbourne-vic-3002-17192620,"38/201 Wellington Parade South, East Melbourne VIC 3002",Apartment / Unit / Flat,"$1,000 Per Week",-37.8167521,144.9785464,3 Beds,2 Baths,2 Parking,"Wednesday, 11th September 2024",Mikaele Horsnell
https://www.domain.com.au/7-43-hobart-road-murrumbeena-vic-3163-17192618,"7/43 Hobart Road, Murrumbeena VIC 3163",Apartment / Unit / Flat,$350 weekly,-37.8881118,145.069662,1 Bed,1 Bath,1 Parking,"Monday, 9th September 2024",Jamie-Lee Fox
https://www.domain.com.au/501-109-york-street-south-melbourne-vic-3205-17192576,"501/109 York Street, South Melbourne VIC 3205",Apartment / Unit / Flat,$715 pw,-37.8312491,144.9586651,2 Beds,2 Baths,1 Parking,"Thursday, 17th October 2024",Daniel Hamilton
https://www.domain.com.au/1-68-thames-st-box-hill-north-vic-3129-17192535,"1/68 Thames St, Box Hill North VIC 3129",Apartment / Unit / Flat,$600 weekly,-37.813405,145.1239373,2 Beds,1 Bath,1 Parking,"Friday, 27th September 2024",Mikayla Lastavec
https://www.domain.com.au/4012-22-24-jane-bell-lane-melbourne-vic-3000-17192375,"4012/22-24 Jane Bell Lane, Melbourne VIC 3000",Apartment / Unit / Flat,$530 pw,-37.8102191,144.966267,1 Bed,1 Bath,1 Parking,Available Now,Trish Ha
https://www.domain.com.au/g08-18-grosvenor-street-abbotsford-vic-3067-17192255,"G08/18 Grosvenor Street, Abbotsford VIC 3067",Apartment / Unit / Flat,$580 weekly,-37.8095856,145.0068159,2 Beds,1 Bath,1 Parking,"Monday, 7th October 2024",Liam Mulligan
https://www.domain.com.au/201-107-cambridge-street-collingwood-vic-3066-16921915,"201/107 Cambridge Street, Collingwood VIC 3066",Apartment / Unit / Flat,$600 per week,-37.8035129,144.9850445,1 Bed,1 Bath,1 Parking,"Tuesday, 10th September 2024",DIANA JURISIC
https://www.domain.com.au/13-160-coppin-st-richmond-vic-3121-17192197,"13/160 Coppin St, Richmond VIC 3121",Apartment / Unit / Flat,$400 weekly,-37.8234326,145.0027532,1 Bed,1 Bath,1 Parking,"Friday, 11th October 2024",Ysabella Dimitrakopoulos
https://www.domain.com.au/202-8-hope-st-brunswick-west-vic-3055-17192186,"202/8 Hope St, Brunswick West VIC 3055",Apartment / Unit / Flat,$720 weekly,-37.7624563,144.9484834,2 Beds,2 Baths,1 Parking,"Saturday, 7th September 2024",Amber Brombara
https://www.domain.com.au/5-59-pakington-street-st-kilda-vic-3182-17192180,"5/59 Pakington Street, St Kilda VIC 3182",Apartment / Unit / Flat,$750.00,-37.8663083,144.9891746,2 Beds,2 Baths,2 Parking,"Wednesday, 9th October 2024",Kerttu  Luik
https://www.domain.com.au/4-8-strettle-street-thornbury-vic-3071-17192176,"4/8 Strettle Street, Thornbury VIC 3071",Apartment / Unit / Flat,$950 per week,-37.75451880000001,144.982424,3 Beds,2 Baths,2 Parking,Available Now,Janelle De Iesi
https://www.domain.com.au/a001-10-14-little-miller-street-brunswick-east-vic-3057-17192001,"A001/10-14 Little Miller Street, Brunswick East VIC 3057",Apartment / Unit / Flat,$520,-37.7756719,144.9779206,1 Bed,1 Bath,N/A,Available Now,Barbara Thomas
https://www.domain.com.au/6-11a-pine-avenue-elwood-vic-3184-17192109,"6/11A Pine Avenue, Elwood VIC 3184",Apartment / Unit / Flat,$470 pw,-37.8871597,144.9886016,2 Beds,1 Bath,1 Parking,"Monday, 30th September 2024",Artem Chereshkov
