property_url,name,property_type,cost_text,latitude,longitude,bed_info,bath_info,parking,date_available,desc
https://www.domain.com.au/17-abeckett-street-prahran-vic-3181-17126341?topspot=1,"17 Abeckett Street, Prahran VIC 3181",House,"$1,300 Per Week",-37.8508685,145.009255,3 Beds,2 Baths,1 Parking,Available Now,Tom Koller
https://www.domain.com.au/64-mills-street-albert-park-vic-3206-16254842,"64 Mills Street, Albert Park VIC 3206",House,$1495.00,-37.8464263,144.9580085,3 Beds,1 Bath,N/A,"Friday, 18th October 2024",Sally McCormack
https://www.domain.com.au/11-barnato-st-weir-views-vic-3338-16482891,"11 Barnato St, Weir Views VIC 3338",House,$460 per week ($1999 pcm),-37.7187752,144.5541869,4 Beds,2 Baths,2 Parking,Available Now,Kavinda Kudage Don
https://www.domain.com.au/167-charman-road-beaumaris-vic-3193-17193619,"167 Charman Road, Beaumaris VIC 3193",House,$950.00,-37.97460640000001,145.0536312,4 Beds,3 Baths,2 Parking,"Monday, 9th September 2024",Simone Buckley
https://www.domain.com.au/1-peace-street-glen-iris-vic-3146-17193455,"1 Peace Street, Glen Iris VIC 3146",House,$750 Per Week,-37.8633793,145.0649254,4 Beds,2 Baths,2 Parking,Available Now,Darren McMullin
https://www.domain.com.au/252-ohallorans-road-lara-vic-3212-17193450,"252 Ohallorans Road, Lara VIC 3212",House,$560.00,-38.0148727,144.379217,4 Beds,2 Baths,2 Parking,"Thursday, 17th October 2024",Tim Callander
https://www.domain.com.au/17-parslow-street-malvern-vic-3144-17193374,"17 Parslow Street, Malvern VIC 3144",House,$1350 Per Week,-37.8512897,145.0397557,4 Beds,2 Baths,2 Parking,Available Now,Darren McMullin
https://www.domain.com.au/28a-abbotsford-avenue-malvern-east-vic-3145-17193276,"28A Abbotsford Avenue, Malvern East VIC 3145",House,"$1,150 per week",-37.8814537,145.0832993,4 Beds,3 Baths,2 Parking,"Friday, 18th October 2024",Leasing Team
https://www.domain.com.au/73-mary-street-richmond-vic-3121-17192961,"73 Mary Street, Richmond VIC 3121",House,$770 weekly,-37.8217934,145.0020316,2 Beds,1 Bath,N/A,"Wednesday, 25th September 2024",Preet Sandhu
https://www.domain.com.au/295a-burnley-st-richmond-vic-3121-17192835,"295A Burnley St, Richmond VIC 3121",House,$800 weekly,-37.8235789,145.0078531,2 Beds,1 Bath,1 Parking,"Friday, 18th October 2024",Ysabella Dimitrakopoulos
https://www.domain.com.au/150-blue-horizons-way-pakenham-vic-3810-17192822,"150 Blue Horizons Way, Pakenham VIC 3810",House,$690pw,-38.0884813,145.4671309,4 Beds,2 Baths,2 Parking,"Friday, 13th September 2024",Jessica Lewis
https://www.domain.com.au/2-36-bradley-st-newport-vic-3015-17192812,"2/36 Bradley St, Newport VIC 3015",House,$650 weekly,-37.842563,144.8721281,2 Beds,1 Bath,2 Parking,"Friday, 4th October 2024",Harry Whitford
https://www.domain.com.au/6-down-court-corio-vic-3214-17192805,"6 Down Court, Corio VIC 3214",House,$400.00,-38.070675,144.3568519,3 Beds,1 Bath,3 Parking,"Saturday, 14th September 2024",Jackie Levy
https://www.domain.com.au/4-storey-court-tootgarook-vic-3941-17192790,"4 Storey Court, Tootgarook VIC 3941",House,$600 Per Week,-38.3859241,144.8482362,3 Beds,2 Baths,2 Parking,Available Now,Samantha Keyse
https://www.domain.com.au/3-leadbeater-cct-beveridge-vic-3753-17192670,"3 Leadbeater cct, Beveridge VIC 3753",House,$520,-37.4782185,144.9576628,4 Beds,2 Baths,2 Parking,Available Now,Charanjit Kaur
https://www.domain.com.au/50-hopetoun-avenue-canterbury-vic-3126-17192617,"50 Hopetoun Avenue, Canterbury VIC 3126",House,"$1,400.00",-37.8186648,145.0775678,5 Beds,3 Baths,2 Parking,Available Now,Adam Cusinato
https://www.domain.com.au/10-vail-street-prahran-vic-3181-17068258,"10 Vail Street, Prahran VIC 3181",House,$650 per week,-37.8579728,145.0081007,2 Beds,1 Bath,N/A,Available Now,Tom Koller
https://www.domain.com.au/128-south-road-brighton-east-vic-3187-17192505,"128 South Road, Brighton East VIC 3187",House,$895.00,-37.9302143,145.0086681,4 Beds,2 Baths,2 Parking,"Friday, 13th September 2024",Katie Pickering
https://www.domain.com.au/1-maroora-street-malvern-east-vic-3145-17192439,"1 Maroora Street, Malvern East VIC 3145",House,$950.00,-37.8817097,145.0552105,3 Beds,2 Baths,2 Parking,"Monday, 23rd September 2024",Danielle Crumblehulme
https://www.domain.com.au/29-fernwren-drive-berwick-vic-3806-17192431,"29 Fernwren Drive, Berwick VIC 3806",House,$700 per week,-38.0745302,145.357668,5 Beds,3 Baths,2 Parking,Available Now,Aurora Leasing  Department
https://www.domain.com.au/109-166-wellington-parade-east-melbourne-vic-3002-17192297,"109/166 Wellington Parade, East Melbourne VIC 3002",House,$625 per week,-37.8159843,144.9845044,2 Beds,2 Baths,1 Parking,"Wednesday, 18th September 2024",DIANA JURISIC
https://www.domain.com.au/5-centre-court-torquay-vic-3228-17192165,"5 Centre Court, Torquay VIC 3228",House,$520.00,-38.3207685,144.3200189,3 Beds,1 Bath,1 Parking,"Thursday, 10th October 2024",Tim Callander
https://www.domain.com.au/199-adderley-street-west-melbourne-vic-3003-17192159,"199 Adderley Street, West Melbourne VIC 3003",House,$780.00,-37.8089011,144.9455604,2 Beds,1 Bath,N/A,"Thursday, 10th October 2024",Jayde Cashion
https://www.domain.com.au/173-pigdon-street-carlton-north-vic-3054-17192114,"173 Pigdon Street, Carlton North VIC 3054",House,$590.00,-37.7820612,144.9707611,2 Beds,1 Bath,N/A,Available Now,Alicia Cannizzaro
https://www.domain.com.au/18-koala-court-whittington-vic-3219-17192031,"18 Koala Court, Whittington VIC 3219",House,$530.00,-38.1792152,144.3852458,3 Beds,2 Baths,2 Parking,Available Now,Tim Callander
https://www.domain.com.au/6-larnook-street-prahran-vic-3181-17191967,"6 Larnook Street, Prahran VIC 3181",House,$750 Per Week,-37.8572816,145.0079297,2 Beds,1 Bath,N/A,"Thursday, 26th September 2024",Tom Koller
https://www.domain.com.au/14-viking-street-tarneit-vic-3029-17191908,"14 Viking Street, Tarneit VIC 3029",House,$550 weekly,-37.8235479,144.702775,4 Beds,2 Baths,1 Parking,"Friday, 4th October 2024",Kayla Crea
https://www.domain.com.au/2-47-ashburn-grove-ashburton-vic-3147-17191874,"2/47 Ashburn Grove, Ashburton VIC 3147",House,$690,-37.8678758,145.080305,3 Beds,1 Bath,2 Parking,"Wednesday, 11th September 2024",Dylan Reeves
https://www.domain.com.au/8-clarke-avenue-belmont-vic-3216-17191862,"8 Clarke Avenue, Belmont VIC 3216",House,$480.00,-38.1744297,144.3264989,3 Beds,1 Bath,1 Parking,"Wednesday, 9th October 2024",Tim Callander
https://www.domain.com.au/22-leslie-street-richmond-vic-3121-17191819,"22 Leslie Street, Richmond VIC 3121",House,$950 Per Week,-37.812769,145.0068411,3 Beds,1 Bath,1 Parking,"Thursday, 26th September 2024",Tom Koller
