Region,Children enrolled in a preschool or preschool program (no.),Estimated resident population (no.),Land area (ha),Median monthly household mortgage payment ($),Median price of established house transfers ($),Median total income (excl. Government pensions and allowances) ($),Median weekly household rental payment ($),Number of jobs,Working age population (aged 15-64 years) (%),property_url,name,property_type,cost_text,latitude,longitude,bed_info,bath_info,parking,date_available,desc,post_code,region
Alfredton,306.0,18997.0,5271.1,1698.0,650000.0,55204.0,370.0,11837.0,63.4,https://www.domain.com.au/7-lemon-street-alfredton-vic-3350-17037185,"7 Lemon Street, Alfredton VIC 3350",House,500.0,-37.5654158,143.7855756,4.0,2.0,3.0,Available Now,"This striking new family home offers convenient living only a stone's throw from all amenities Alfredton has to offer. 
The open plan living zone seamlessly connects to a sleek, contemporary and light filled central kitchen with large butler's pantry and island bench plus provides direct access via sliding doors to the undercover alfresco area for year round entertaining. Dual living zones offers",3350,Alfredton
Ballarat,135.0,11809.0,1237.9,1700.0,715000.0,53784.0,313.0,10196.0,62.0,https://www.domain.com.au/3-1-dawson-street-south-ballarat-central-vic-3350-17175807,"3/1 Dawson Street South, Ballarat Central VIC 3350",Townhouse,360.0,-37.5621973,143.8536041,2.0,1.0,1.0,Available Now,"When positioning counts, this townhouse is only footsteps from Sturt St and has all of the aspects needed in central city living. Walk to restaurants, cafes and shopping centres, life is made easy in this appealing townhouse. Upstairs comprises of two good sized bedrooms with built in robes, modern bathroom, and downstairs offers open plan living and kitchen area complete with polished timber",3350,Ballarat Central
Ballarat,135.0,11809.0,1237.9,1700.0,715000.0,53784.0,313.0,10196.0,62.0,https://www.domain.com.au/102-lexton-street-ballarat-central-vic-3350-17193710,"102 Lexton Street, Ballarat Central VIC 3350",House,530.0,-37.5460396,143.8484298,4.0,2.0,2.0,Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3350,Ballarat Central
Ballarat,135.0,11809.0,1237.9,1700.0,715000.0,53784.0,313.0,10196.0,62.0,https://www.domain.com.au/3-106-burnbank-close-ballarat-central-vic-3350-17193263,"3/106 Burnbank Close, Ballarat Central VIC 3350",House,375.0,-37.5460405,143.8459589,2.0,1.0,1.0,"Friday, 18th October 2024"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3350,Ballarat Central
Ballarat,135.0,11809.0,1237.9,1700.0,715000.0,53784.0,313.0,10196.0,62.0,https://www.domain.com.au/23a-webster-street-ballarat-central-vic-3350-17172343,"23a Webster Street, Ballarat Central VIC 3350",Apartment / Unit / Flat,330.0,-37.5572652,143.8531165,1.0,1.0,1.0,"Tuesday, 24th September 2024",In the perfect location between Ballarat Central and Lake Wendouree you will find this stunning fully renovated single bedroom property.,3350,Ballarat Central
Buninyong,118.0,7323.0,5158.6,1662.0,645000.0,54308.0,330.0,5582.0,60.6,https://www.domain.com.au/102a-somerville-street-buninyong-vic-3357-16831125,"102a Somerville Street, Buninyong VIC 3357",Townhouse,400.0,-37.6591224,143.8893629,2.0,1.0,0.0,"Friday, 13th September 2024"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3357,Buninyong
Delacombe,219.0,12869.0,3416.1,1500.0,578000.0,51915.0,360.0,7250.0,64.6,https://www.domain.com.au/6-fantail-street-delacombe-vic-3356-14573972,"6 Fantail Street, Delacombe VIC 3356",House,450.0,-37.5713429,143.78494,4.0,2.0,2.0,Available Now,** PLEASE REGISTER YOUR DETAILS TO RECEIVE INSPECTION TIMES **,3356,Delacombe
Smythes Creek,70.0,4268.0,10472.7,1733.0,775000.0,53981.0,350.0,3410.0,64.5,,,,,,,,,,,,,
Wendouree  Miners Rest,232.0,15431.0,6757.4,1300.0,485000.0,47627.0,260.0,10184.0,61.2,https://www.domain.com.au/1-19-stamford-street-wendouree-vic-3355-17182227,"1/19 Stamford Street, Wendouree VIC 3355",Apartment / Unit / Flat,325.5,-37.5293579,143.8296262,2.0,1.0,1.0,Available Now,"This spacious flat is located within walking distance to Stockland Wendouree Shopping Centre. It is clean, warm and comfortable. Offering two good sized bedrooms both with built in robes, living area with split system, kitchen with ample cupboard space and gas stove, bathroom offers a shower over bath. Single carport and storage shed. No animals, No internal smoking, 12 Month Lease. Long term",3355,Wendouree
Ballarat East  Warrenheip,150.0,9628.0,1921.6,1300.0,530000.0,50971.0,288.0,7350.0,61.9,https://www.domain.com.au/68-coridale-boulevard-lara-vic-3212-17164843,"68 Coridale Boulevard, Lara VIC 3212",Townhouse,550.0,-38.0147601,144.3755327,3.0,2.0,2.0,Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 24 24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M13 17.5V12H11V17.5H13Z"" fill=""currentColor""></path><path d=""M12 7.5C11.1716 7.5 10.5 8.17163 10.5 9C10.5 9.82837 11.1716 10.5 12 10.5C12.8284 10.5 13.5 9.82837 13.5 9C13.5 8.17163 12.8284 7.5 12 7.5Z"" fill=""currentColor""></path><path clip-rule=""evenodd"" d=""M12 22.5C17.799 22.5 22.5 17.799 22.5 12C22.5 6.20101 17.799 1.5 12 1.5C6.20101 1.5 1.5 6.20101 1.5 12C1.5 17.799 6.20101 22.5 12 22.5ZM12 20.5C16.6944 20.5 20.5 16.6944 20.5 12C20.5 7.30558 16.6944 3.5 12 3.5C7.30558 3.5 3.5 7.30558 3.5 12C3.5 16.6944 7.30558 20.5 12 20.5Z"" fill=""currentColor"" fill-rule=""evenodd""></path></svg>",3212,Lara
