property_url,name,property_type,cost_text,latitude,longitude,bed_info,bath_info,parking,date_available,desc
https://www.domain.com.au/3-18-joyce-street-elwood-vic-3184-17193573?topspot=1,"3/18 Joyce Street, Elwood VIC 3184",Townhouse,$870 weekly,-37.8898787,144.9904387,2 Beds,2 Baths,1 Parking,"Tuesday, 8th October 2024",Tina Kelly
https://www.domain.com.au/10-135-ormond-esplanade-elwood-vic-3184-17193581,"10/135 Ormond Esplanade, Elwood VIC 3184",Townhouse,"$1,200 weekly",-37.8905155,144.9899921,3 Beds,2 Baths,2 Parking,"Wednesday, 11th September 2024",Jemma Wilksch
https://www.domain.com.au/3-18-joyce-street-elwood-vic-3184-17193573,"3/18 Joyce Street, Elwood VIC 3184",Townhouse,$870 weekly,-37.8898787,144.9904387,2 Beds,2 Baths,1 Parking,"Tuesday, 8th October 2024",Tina Kelly
https://www.domain.com.au/5-128-140-chapel-street-st-kilda-vic-3182-17193249,"5/128-140 Chapel Street, St Kilda VIC 3182",Townhouse,$850.00,-37.8696498,144.9904006,3 Beds,2 Baths,2 Parking,"Friday, 27th September 2024",Fran Gill
https://www.domain.com.au/44b-trigg-street-geelong-west-vic-3218-17193201,"44B Trigg Street, Geelong West VIC 3218",Townhouse,$675.00,-38.1327146,144.3397844,3 Beds,2 Baths,2 Parking,"Thursday, 31st October 2024",Tim Callander
https://www.domain.com.au/34b-donald-street-prahran-vic-3181-17193144,"34B Donald Street, Prahran VIC 3181",Townhouse,$850.00,-37.8482547,144.9868233,2 Beds,1 Bath,N/A,"Wednesday, 9th October 2024",Cameron  Gibson 
https://www.domain.com.au/60-britannia-street-geelong-west-vic-3218-17193018,"60 Britannia Street, Geelong West VIC 3218",Townhouse,$510.00,-38.1340831,144.3436883,2 Beds,2 Baths,1 Parking,"Friday, 6th September 2024",Tim Callander
https://www.domain.com.au/3-11-blair-street-lilydale-vic-3140-17192930,"3/11 Blair Street, Lilydale VIC 3140",Townhouse,$550pw,-37.7512467,145.3383996,2 Beds,2 Baths,N/A,"Tuesday, 1st October 2024",Melanie Barley
https://www.domain.com.au/111-park-street-st-kilda-west-vic-3182-17192826,"111 Park Street, St Kilda West VIC 3182",Townhouse,$1150.00,-37.85602129999999,144.9676835,4 Beds,2 Baths,2 Parking,"Friday, 4th October 2024",Jade Sterland
https://www.domain.com.au/2-1975-malvern-road-malvern-east-vic-3145-17192703,"2/1975 Malvern Road, Malvern East VIC 3145",Townhouse,"$1,250.00",-37.870684,145.0621554,4 Beds,3 Baths,2 Parking,"Friday, 20th September 2024",Tina Jin
https://www.domain.com.au/1-343-williamstown-road-port-melbourne-vic-3207-17192658,"1/343 Williamstown Road, Port Melbourne VIC 3207",Townhouse,"$1,050.00",-37.8345859,144.9260385,3 Beds,2 Baths,1 Parking,"Friday, 27th September 2024",Jay Jacob-Green
https://www.domain.com.au/33a-john-st-clifton-hill-vic-3068-17192382,"33A John St, Clifton Hill VIC 3068",Townhouse,$850 weekly,-37.7879532,144.9959966,3 Beds,1 Bath,1 Parking,"Monday, 14th October 2024",Liam Mulligan
https://www.domain.com.au/4-16-princes-st-abbotsford-vic-3067-17192365,"4/16 Princes St, Abbotsford VIC 3067",Townhouse,$900 weekly,-37.809329,145.000437,3 Beds,2 Baths,1 Parking,"Friday, 4th October 2024",Preet Sandhu
https://www.domain.com.au/1-2-rowland-court-glen-waverley-vic-3150-17172671,"1/2 Rowland Court, Glen Waverley VIC 3150",Townhouse,"$1,195.00",-37.8675722,145.1528558,4 Beds,4 Baths,2 Parking,"Thursday, 26th September 2024",Tina Jin
https://www.domain.com.au/3-16-princes-st-abbotsford-vic-3067-17192189,"3/16 Princes St, Abbotsford VIC 3067",Townhouse,$900 weekly,-37.8092864,145.0004441,3 Beds,2 Baths,2 Parking,"Friday, 18th October 2024",Preet Sandhu
https://www.domain.com.au/6-121-chapel-road-moorabbin-vic-3189-17192084,"6/121 Chapel Road, Moorabbin VIC 3189",Townhouse,$595.00,-37.9352726,145.0489168,2 Beds,2 Baths,2 Parking,"Monday, 16th September 2024",Stephanie Pascoe
