region,entertainments_count
Melbourne CBD - East,317
Melbourne CBD - West,153
Fitzroy,135
Carlton,97
Geelong,94
Melbourne CBD - North,85
Springvale,74
Docklands,70
Footscray,68
St Kilda - West,60
Glen Waverley - West,59
Brunswick - South,58
Bendigo,52
Collingwood,51
South Melbourne,50
Preston - East,49
Southbank (West) - South Wharf,49
Ballarat,48
Malvern East,47
Carnegie,46
Richmond (South) - Cremorne,45
Prahran - Windsor,44
Clayton - Central,43
Dandenong - North,41
Oakleigh - Huntingdale,41
Albert Park,40
Brunswick East,39
South Yarra - South,39
North Melbourne,38
Brunswick - North,35
Brighton (Vic.),33
Phillip Island,32
Richmond - North,31
Northcote - West,30
Fitzroy North,30
Doncaster East - South,30
Thornbury,29
Southbank - East,29
Williamstown,29
Moonee Ponds,28
Hawthorn - South,28
Highett (East) - Cheltenham,28
Box Hill,27
Warrnambool - South,27
Coburg - East,26
Geelong West - Hamlyn Heights,26
Hawthorn East,25
Lorne - Anglesea,25
Traralgon - East,24
Elwood,24
Cranbourne,24
Wantirna South,24
Mildura - North,23
Bright - Mount Beauty,23
Mornington - West,23
St Albans - North,23
Ringwood,23
Northcote - East,23
Kingsbury,23
Eltham,22
Wonthaggi - Inverloch,22
Point Nepean,22
Caulfield - South,22
Belmont,21
Torquay,21
Frankston,20
Caulfield - North,20
Berwick - North,19
Balwyn,19
Rosebud - McCrae,19
Healesville - Yarra Glen,19
Mentone,19
Sunshine,19
Taylors Lakes,18
Yarraville,18
Alphington - Fairfield,18
Belgrave - Selby,18
Carlton North - Princes Hill,18
Doncaster,18
East Melbourne,18
Warragul,18
Abbotsford,18
Hawthorn - North,17
Port Melbourne,17
Lilydale - Coldstream,17
South Yarra - North,17
Mansfield (Vic.),17
Mill Park - North,17
Greensborough,17
Camberwell,17
Narre Warren - South West,16
Noble Park - West,16
Otway,16
Melbourne Airport,16
Castlemaine,16
Emerald - Cockatoo,16
Mount Waverley - South,15
Mount Dandenong - Olinda,15
Kensington (Vic.),15
South Yarra - West,15
St Kilda East,14
Werribee - South,14
Ormond - Glen Huntly,14
Knoxfield - Scoresby,14
Heidelberg - Rosanna,13
Doncaster East - North,13
Parkville,13
Balwyn North,13
Sandringham - Black Rock,13
Brunswick West,13
Ashwood - Chadstone,13
Bairnsdale,13
Wodonga,13
Deer Park,12
Maribyrnong,12
Ivanhoe,12
Clayton South,12
Flemington,12
Ringwood East,12
Kyneton,12
Ferntree Gully (South) - Upper Ferntree Gully,12
Ocean Grove,12
Flinders,11
Hamilton (Vic.),11
Upwey - Tecoma,11
Swan Hill,11
Nunawading,11
Ascot Vale,11
Yarra Valley,11
Lakes Entrance,11
Mitcham (Vic.),11
Seddon - Kingsville,11
Dromana,11
Burwood East,11
Cranbourne West,11
Wangaratta,11
Ferntree Gully - North,11
Boronia,11
Malvern - Glen Iris,11
Bentleigh East - North,10
Seaford (Vic.),10
St Kilda - Central,10
West Melbourne - Residential,10
Mount Eliza,10
Mooroolbark,10
Coburg North,10
Bentleigh - McKinnon,10
Myrtleford,10
Burwood (Vic.),10
Croydon - West,10
Kew - South,10
Clayton (North) - Notting Hill,10
Wattle Glen - Diamond Creek,10
Watsonia,10
Preston - West,10
Chelsea - Bonbeach,10
Pascoe Vale,10
Mordialloc - Parkdale,10
Essendon - East,9
Grovedale - Mount Duneed,9
Sunbury - South,9
Hampton Park - West,9
Bayswater,9
Wantirna,9
Altona,9
Bacchus Marsh,9
Reservoir - South East,9
Forest Hill,9
Glen Iris - East,9
Wallan,9
Mulgrave,8
Hastings - Somers,8
Moyne - West,8
Blackburn,8
Wangaratta Surrounds,8
Edithvale - Aspendale,8
Templestowe,8
North Geelong - Bell Park,8
Montmorency - Briar Hill,8
Pakenham - South West,8
Elsternwick,8
Newport,8
Clifton Hill - Alphington,8
Mount Baw Baw Region,8
Corangamite - South,8
Reservoir - South West,7
Ringwood North,7
St Albans - South,7
Bundoora - East,7
Kew - West,7
Croydon South,7
Springvale South,7
Euroa,7
Wandin - Seville,7
Beaumaris,7
Beaconsfield - Officer,7
Taylors Hill,7
Maryborough (Vic.),7
Leongatha,7
Sale,7
Cairnlea,7
Campbellfield - Coolaroo,7
Daylesford,7
Orbost,7
