region,entertainments_count,hospital_count,park_count,psf_count,school2_count,school1_count,shop_count,stop_count
Melbourne CBD - East,317.0,,2.0,3.0,7.0,2.0,10.0,32.0
Melbourne CBD - West,153.0,,3.0,3.0,4.0,2.0,5.0,67.0
Fitzroy,135.0,2.0,13.0,1.0,6.0,3.0,14.0,35.0
Carlton,97.0,1.0,21.0,1.0,10.0,2.0,9.0,52.0
Geelong,94.0,3.0,27.0,2.0,11.0,7.0,4.0,122.0
Melbourne CBD - North,85.0,,12.0,,6.0,,16.0,28.0
Springvale,74.0,,26.0,1.0,14.0,7.0,17.0,86.0
Docklands,70.0,,18.0,2.0,3.0,1.0,12.0,45.0
Footscray,69.0,2.0,25.0,2.0,7.0,6.0,12.0,116.0
St Kilda - West,60.0,,21.0,1.0,,1.0,4.0,52.0
Glen Waverley - West,59.0,1.0,53.0,,10.0,6.0,5.0,91.0
Brunswick - South,57.0,,23.0,1.0,5.0,2.0,9.0,66.0
Bendigo,52.0,4.0,23.0,2.0,15.0,11.0,9.0,142.0
Collingwood,51.0,,13.0,1.0,3.0,3.0,4.0,20.0
South Melbourne,50.0,,14.0,2.0,9.0,2.0,4.0,39.0
Preston - East,49.0,,15.0,3.0,6.0,8.0,14.0,148.0
Southbank (West) - South Wharf,49.0,,10.0,,1.0,,3.0,14.0
Ballarat,48.0,5.0,39.0,2.0,7.0,9.0,8.0,104.0
Malvern East,47.0,1.0,21.0,,4.0,4.0,6.0,96.0
Carnegie,46.0,,5.0,,1.0,3.0,8.0,73.0
Richmond (South) - Cremorne,45.0,,25.0,1.0,5.0,3.0,2.0,50.0
Prahran - Windsor,44.0,2.0,15.0,2.0,2.0,4.0,4.0,75.0
Clayton - Central,43.0,7.0,13.0,1.0,2.0,2.0,8.0,34.0
Oakleigh - Huntingdale,41.0,,35.0,2.0,7.0,7.0,9.0,147.0
Dandenong - North,41.0,1.0,10.0,3.0,12.0,8.0,28.0,133.0
Albert Park,40.0,,23.0,,2.0,5.0,5.0,59.0
Brunswick East,39.0,,16.0,,2.0,3.0,5.0,45.0
South Yarra - South,39.0,,19.0,,,,6.0,28.0
North Melbourne,38.0,1.0,22.0,1.0,4.0,5.0,6.0,54.0
Brunswick - North,35.0,2.0,6.0,2.0,3.0,2.0,7.0,59.0
Brighton (Vic.),33.0,1.0,19.0,,1.0,8.0,7.0,114.0
Phillip Island,32.0,1.0,22.0,2.0,,5.0,5.0,54.0
Richmond - North,31.0,4.0,13.0,2.0,,5.0,6.0,30.0
Northcote - West,30.0,,14.0,,2.0,4.0,1.0,39.0
Fitzroy North,30.0,,37.0,,2.0,5.0,3.0,69.0
Doncaster East - South,30.0,1.0,19.0,1.0,1.0,5.0,7.0,62.0
Southbank - East,30.0,,9.0,1.0,3.0,1.0,5.0,20.0
Thornbury,29.0,,25.0,,3.0,8.0,6.0,79.0
Williamstown,29.0,1.0,25.0,1.0,1.0,6.0,2.0,71.0
Highett (East) - Cheltenham,28.0,,24.0,2.0,8.0,5.0,8.0,114.0
Hawthorn - South,28.0,,14.0,,3.0,6.0,1.0,43.0
Moonee Ponds,28.0,,16.0,2.0,2.0,3.0,7.0,83.0
Warrnambool - South,27.0,1.0,23.0,1.0,4.0,4.0,9.0,84.0
Box Hill,27.0,2.0,27.0,2.0,5.0,5.0,13.0,143.0
Geelong West - Hamlyn Heights,26.0,,27.0,3.0,5.0,9.0,4.0,100.0
Coburg - East,26.0,,32.0,,11.0,6.0,8.0,81.0
Hawthorn East,25.0,,9.0,,3.0,6.0,5.0,38.0
Lorne - Anglesea,25.0,1.0,14.0,4.0,1.0,3.0,2.0,17.0
Elwood,24.0,,11.0,,2.0,4.0,2.0,43.0
Cranbourne,24.0,1.0,29.0,2.0,2.0,7.0,10.0,71.0
Wantirna South,24.0,,66.0,2.0,7.0,7.0,8.0,128.0
Traralgon - East,24.0,,42.0,1.0,1.0,4.0,6.0,73.0
Mildura - North,23.0,2.0,41.0,1.0,6.0,6.0,4.0,137.0
Ringwood,23.0,,29.0,1.0,7.0,7.0,10.0,115.0
Kingsbury,23.0,2.0,22.0,2.0,3.0,3.0,3.0,69.0
Northcote - East,23.0,,9.0,2.0,4.0,2.0,8.0,72.0
St Albans - North,23.0,,27.0,1.0,6.0,6.0,7.0,75.0
Mornington - West,23.0,4.0,21.0,2.0,,2.0,5.0,69.0
Bright - Mount Beauty,23.0,3.0,29.0,14.0,1.0,11.0,7.0,9.0
Caulfield - South,22.0,2.0,4.0,2.0,2.0,4.0,1.0,84.0
Eltham,22.0,,81.0,3.0,4.0,6.0,9.0,69.0
Wonthaggi - Inverloch,22.0,2.0,62.0,10.0,3.0,10.0,9.0,134.0
Point Nepean,22.0,,41.0,4.0,,4.0,3.0,198.0
Belmont,21.0,2.0,19.0,1.0,4.0,7.0,10.0,61.0
Torquay,21.0,,29.0,3.0,6.0,6.0,6.0,88.0
Caulfield - North,20.0,2.0,9.0,,2.0,8.0,4.0,104.0
Frankston,20.0,5.0,43.0,2.0,2.0,6.0,9.0,133.0
Mentone,19.0,,20.0,1.0,3.0,8.0,5.0,61.0
Berwick - North,19.0,3.0,98.0,1.0,8.0,7.0,5.0,126.0
Rosebud - McCrae,19.0,1.0,38.0,2.0,2.0,5.0,10.0,78.0
Healesville - Yarra Glen,19.0,1.0,13.0,4.0,,7.0,6.0,48.0
Sunshine,19.0,,18.0,,3.0,3.0,19.0,96.0
Balwyn,19.0,,30.0,,1.0,7.0,3.0,62.0
Doncaster,18.0,1.0,44.0,,1.0,4.0,5.0,102.0
Abbotsford,18.0,,14.0,1.0,1.0,2.0,8.0,22.0
Belgrave - Selby,18.0,,12.0,8.0,7.0,6.0,3.0,77.0
Yarraville,18.0,,23.0,,2.0,5.0,4.0,88.0
Carlton North - Princes Hill,18.0,,7.0,,2.0,3.0,1.0,37.0
Taylors Lakes,18.0,,40.0,1.0,3.0,3.0,5.0,74.0
Warragul,18.0,1.0,36.0,5.0,2.0,14.0,7.0,95.0
Alphington - Fairfield,18.0,,8.0,,2.0,2.0,3.0,58.0
Hawthorn - North,17.0,1.0,17.0,1.0,1.0,1.0,3.0,23.0
Mansfield (Vic.),17.0,1.0,20.0,14.0,,7.0,4.0,19.0
East Melbourne,17.0,7.0,27.0,1.0,5.0,1.0,1.0,47.0
Port Melbourne,17.0,,34.0,,1.0,2.0,3.0,57.0
Greensborough,17.0,,66.0,2.0,5.0,9.0,6.0,93.0
Camberwell,17.0,,23.0,1.0,2.0,4.0,4.0,112.0
Lilydale - Coldstream,17.0,2.0,51.0,4.0,5.0,11.0,8.0,103.0
Mill Park - North,17.0,,34.0,1.0,3.0,4.0,9.0,106.0
South Yarra - North,17.0,,5.0,,,3.0,4.0,24.0
Narre Warren - South West,16.0,,27.0,1.0,2.0,6.0,7.0,75.0
Emerald - Cockatoo,16.0,,18.0,6.0,8.0,6.0,5.0,82.0
Otway,16.0,1.0,13.0,5.0,,4.0,3.0,18.0
Melbourne Airport,16.0,,1.0,6.0,1.0,,,18.0
Castlemaine,16.0,2.0,20.0,4.0,1.0,8.0,2.0,63.0
Noble Park - West,16.0,3.0,16.0,1.0,6.0,4.0,3.0,52.0
