region,psf_count
Yarriambiack,33
Glenelg (Vic.),28
Southern Grampians,27
Loddon,26
Towong,26
Buloke,26
Wangaratta Surrounds,25
Moyne - East,21
Nhill Region,20
West Wimmera,19
Ararat Surrounds,17
Swan Hill Surrounds,16
Castlemaine Surrounds,15
Orbost,15
Corangamite - North,15
Bright - Mount Beauty,14
Horsham Surrounds,14
Mansfield (Vic.),14
Leongatha,13
Bruthen - Omeo,13
Mildura Surrounds,13
Yarra Valley,12
Benalla Surrounds,11
Colac Surrounds,11
Alexandra,10
Romsey,10
Wonthaggi - Inverloch,10
Moyne - West,10
Avoca,10
Bacchus Marsh Surrounds,9
Beaufort,9
St Arnaud,9
Creswick - Clunes,9
Yackandandah,9
Stawell,9
Maffra,9
Golden Plains - South,8
Maryborough Surrounds,8
Heathcote,8
Gannawarra,8
Korumburra,8
Belgrave - Selby,8
Myrtleford,7
Rushworth,7
Daylesford,7
Golden Plains - North,7
Foster,7
Euroa,7
Seymour Surrounds,7
Chiltern - Indigo Valley,7
Mount Baw Baw Region,6
Nagambie,6
Longford - Loch Sport,6
Melbourne Airport,6
Emerald - Cockatoo,6
Bendigo Surrounds - North,6
Panton Hill - St Andrews,6
Churchill,6
Corangamite - South,6
Numurkah,6
Winchelsea,6
Shepparton Surrounds - East,5
Drouin,5
Bendigo Surrounds - South,5
Warragul,5
Hastings - Somers,5
Lockington - Gunbower,5
Yea,5
Rutherglen,5
Kyabram,5
Somerville,5
Shepparton Surrounds - West,5
Bunyip - Garfield,5
Otway,5
Beechworth,5
Gordon (Vic.),4
Benalla,4
Kyneton,4
Mount Dandenong - Olinda,4
Lorne - Anglesea,4
Yarram,4
Tarneit - Central,4
Portland,4
Warrandyte - Wonga Park,4
Castlemaine,4
Lilydale - Coldstream,4
Hamilton (Vic.),4
Shepparton - South East,4
Bacchus Marsh,4
Moe - Newborough,4
Wallan,4
Point Nepean,4
Healesville - Yarra Glen,4
Camperdown,4
Echuca,3
Wattle Glen - Diamond Creek,3
Geelong West - Hamlyn Heights,3
Monbulk - Silvan,3
Yallourn North - Glengarry,3
Whittlesea,3
Sale,3
Ararat,3
Rowville - Central,3
Torquay,3
Baranduda - Leneva,3
Seymour,3
