region,school2_count
Bendigo,15
Springvale,14
Dandenong - North,12
Geelong,11
Coburg - East,11
Carlton,10
Glen Waverley - West,10
Blackburn,9
South Melbourne,9
Wangaratta,9
Bentleigh East - South,9
Ringwood East,9
Sydenham,8
Mooroolbark,8
Highett (East) - Cheltenham,8
Emerald - Cockatoo,8
Croydon - East,8
Berwick - North,8
Shepparton - North,8
Werribee - South,7
Ringwood,7
Mulgrave,7
Oakleigh - Huntingdale,7
Belgrave - Selby,7
Wantirna South,7
West Wodonga,7
Melbourne CBD - East,7
Ballarat,7
Footscray,7
Melbourne CBD - North,6
Clifton Hill - Alphington,6
Ferntree Gully - North,6
Point Cook - East,6
Keilor Downs,6
St Albans - North,6
Mildura - North,6
Noble Park - West,6
Preston - East,6
Pakenham - South West,6
Narre Warren South - West,6
Ashburton (Vic.),6
Torquay,6
Wantirna,6
Fitzroy,6
Hoppers Crossing - South,5
Lalor - West,5
Airport West,5
Geelong West - Hamlyn Heights,5
East Melbourne,5
Grovedale - Mount Duneed,5
Carrum Downs,5
Ringwood North,5
Knoxfield - Scoresby,5
Seaford (Vic.),5
Rowville - Central,5
Sunshine North,5
Lilydale - Coldstream,5
Essendon - East,5
Keilor,5
Box Hill,5
Pascoe Vale South,5
Moe - Newborough,5
Greensborough,5
Beaconsfield - Officer,5
Montmorency - Briar Hill,5
Wheelers Hill,5
Corio - Lovely Banks,5
Brunswick - South,5
Flora Hill - Spring Gully,5
Richmond (South) - Cremorne,5
Wodonga,4
Werribee - West,4
Belmont,4
Clayton (North) - Notting Hill,4
Bairnsdale,4
Blackburn South,4
Wattle Glen - Diamond Creek,4
Eltham,4
Rowville - North,4
Heidelberg West,4
Newport,4
Malvern East,4
Newtown (Vic.),4
St Albans - South,4
Keilor East,4
Koo Wee Rup,4
Mill Park - South,4
Nunawading,4
Lara,4
Ferntree Gully (South) - Upper Ferntree Gully,4
Orbost,4
Melbourne CBD - West,4
Sandringham - Black Rock,4
Deer Park,4
Highton,4
Greenvale - Bulla,4
Donvale - Park Orchards,4
Avondale Heights,4
Essendon (West) - Aberfeldie,4
Aspendale Gardens - Waterways,4
North Melbourne,4
Reservoir - South West,4
Clarinda - Oakleigh South,4
Hamilton (Vic.),4
Ascot Vale,4
Northcote - East,4
Somerville,4
Horsham,4
Warrnambool - South,4
Burwood (Vic.),4
Pakenham - North East,4
Edithvale - Aspendale,4
Glen Waverley - East,4
Flemington,4
Montrose,3
Collingwood,3
Hughesdale,3
Hillside,3
Mill Park - North,3
Leongatha,3
Ashwood - Chadstone,3
Croydon - West,3
North Geelong - Bell Park,3
Werribee - East,3
Brunswick West,3
Irymple,3
Brighton East,3
Hawthorn East,3
Balwyn North,3
Docklands,3
Ararat,3
Sunshine,3
Taylors Lakes,3
Hawthorn - South,3
Wonthaggi - Inverloch,3
Rowville - South,3
Boronia,3
Bundoora - East,3
Mildura Surrounds,3
Campbellfield - Coolaroo,3
Reservoir - North West,3
Southbank - East,3
Mentone,3
Point Cook - South,3
Fawkner,3
Craigieburn - South,3
Delacombe,3
Hampton Park - East,3
Thornbury,3
Bunyip - Garfield,3
Croydon Hills - Warranwood,3
Dandenong North,3
Gisborne,3
Keysborough - North,3
Brunswick - North,3
West Footscray - Tottenham,3
Watsonia,3
Preston - West,3
Yarriambiack,3
Gladstone Park - Westmeadows,3
Kingsbury,3
Prahran - Windsor,2
Swan Hill,2
Baranduda - Leneva,2
Clayton - Central,2
Ardeer - Albion,2
Echuca,2
Alfredton,2
East Bendigo - Kennington,2
Warragul,2
Narre Warren - South West,2
Research - North Warrandyte,2
Colac,2
Upwey - Tecoma,2
Elwood,2
Mount Evelyn,2
Wendouree - Miners Rest,2
Vermont,2
Maffra,2
Taylors Hill,2
Mount Waverley - North,2
Lakes Entrance,2
Cranbourne East - North,2
Berwick - South West,2
Bacchus Marsh Surrounds,2
Meadow Heights,2
Endeavour Hills - South,2
Wandin - Seville,2
Epping (Vic.) - West,2
Mernda - North,2
Braybrook,2
Mount Dandenong - Olinda,2
Noble Park - East,2
Alphington - Fairfield,2
Wyndham Vale - North,2
Altona,2
Laverton,2
Yarraville,2
Kew - West,2
Plenty - Yarrambat,2
Shepparton Surrounds - West,2
Mount Baw Baw Region,2
Ocean Grove,2
Mooroopna,2
Seymour,2
Horsham Surrounds,2
Rockbank - Mount Cottrell,2
Reservoir - North East,2
Euroa,2
Bundoora - West,2
Moonee Ponds,2
Doveton,2
Mitcham (Vic.),2
Bentleigh - McKinnon,2
Nhill Region,2
Pakenham - South East,2
Moorabbin - Heatherton,2
Cranbourne,2
Rosebud - McCrae,2
Camberwell,2
Buninyong,2
Albert Park,2
Yarra Valley,2
Surrey Hills (East) - Mont Albert,2
Box Hill North,2
Brunswick East,2
Craigieburn - Central,2
Kyabram,2
Lockington - Gunbower,2
Fitzroy North,2
Hoppers Crossing - North,2
Kensington (Vic.),2
Ballarat East - Warrenheip,2
Springvale South,2
Altona North,2
Cranbourne West,2
Parkville,2
Mordialloc - Parkdale,2
Wyndham Vale - South,2
Caulfield - South,2
Doncaster East - North,2
Viewbank - Yallambie,2
Caulfield - North,2
Creswick - Clunes,2
Carlton North - Princes Hill,2
Bundoora - North,2
Beaumaris,2
Corangamite - North,2
Derrimut,2
Bacchus Marsh,2
Churchill,2
Glen Iris - East,2
Castlemaine Surrounds,2
Hurstbridge,2
Cairnlea,2
Golden Plains - South,2
Coburg - West,2
Roxburgh Park (South) - Somerton,2
Frankston,2
Bannockburn,2
South Morang - South,2
Essendon Airport,2
Canadian - Mount Clear,2
Northcote - West,2
Truganina - South East,1
Drouin,1
Maryborough Surrounds,1
Swan Hill Surrounds,1
Kialla,1
Lalor - East,1
Warrandyte - Wonga Park,1
Strathfieldsaye,1
Tarneit (West) - Mount Cottrell,1
Hampton,1
Dingley Village,1
