region,shop_count
Dandenong - North,28
Sunshine,19
Springvale,17
Melbourne CBD - North,16
Preston - East,14
Fitzroy,14
Box Hill,13
Footscray,12
Docklands,12
Pakenham - South West,12
Lalor - East,11
Ringwood,10
Cranbourne,10
Watsonia,10
Melbourne CBD - East,10
Grovedale - Mount Duneed,10
Rosebud - McCrae,10
Sunbury - South,10
Belmont,10
Eltham,9
Springvale South,9
Mill Park - North,9
Wonthaggi - Inverloch,9
Tarneit - Central,9
Frankston,9
Brunswick - South,9
Warrnambool - South,9
Oakleigh - Huntingdale,9
Bacchus Marsh,9
Carlton,9
Bendigo,9
Hoppers Crossing - North,8
Carnegie,8
Braybrook,8
Point Cook - North East,8
Abbotsford,8
Shepparton - South East,8
Highett (East) - Cheltenham,8
Lilydale - Coldstream,8
Melton West,8
Ballarat,8
Frankston North,8
Northcote - East,8
Clayton - Central,8
Essendon Airport,8
Coburg - East,8
Wantirna South,8
Brunswick - North,7
Brighton (Vic.),7
St Albans - North,7
Warragul,7
Wendouree - Miners Rest,7
Bayswater,7
Chirnside Park,7
Carrum Downs,7
Kangaroo Flat - Golden Square,7
Campbellfield - Coolaroo,7
Burwood East,7
Ferntree Gully (South) - Upper Ferntree Gully,7
Cranbourne West,7
Buloke,7
Heidelberg - Rosanna,7
Narre Warren - South West,7
Doncaster East - South,7
Somerville,7
Bright - Mount Beauty,7
Moonee Ponds,7
Altona North,7
Reservoir - South East,6
Newcomb - Moolap,6
Epping - South,6
Healesville - Yarra Glen,6
Flemington,6
Torquay,6
Yarriambiack,6
Mornington - East,6
East Bendigo - Kennington,6
Knoxfield - Scoresby,6
Deer Park,6
Ocean Grove,6
Caroline Springs,6
Blackburn,6
Hampton Park - West,6
Traralgon - East,6
Maffra,6
Werribee - South,6
Carrum - Patterson Lakes,6
Rowville - Central,6
South Yarra - South,6
North Melbourne,6
Gisborne,6
Greensborough,6
Richmond - North,6
Thornbury,6
Wheelers Hill,6
Malvern East,6
Balwyn North,6
Croydon - West,6
Wyndham Vale - South,6
Foster,6
Hamilton (Vic.),5
Berwick - North,5
Southbank - East,5
Keysborough - North,5
Forest Hill,5
Mornington - West,5
Lynbrook - Lyndhurst,5
Sale,5
Morwell,5
Airport West,5
Mount Waverley - South,5
Mentone,5
Boronia,5
Emerald - Cockatoo,5
Phillip Island,5
Hawthorn East,5
Mulgrave,5
Moorabbin Airport,5
Brunswick East,5
Glen Waverley - West,5
Hoppers Crossing - South,5
Coburg North,5
Langwarrin,5
Wodonga,5
Cranbourne East - North,5
Orbost,5
Melbourne CBD - West,5
Essendon (West) - Aberfeldie,5
Wallan,5
Nhill Region,5
Horsham,5
South Morang - South,5
Keysborough - South,5
Seymour,5
Barwon Heads - Armstrong Creek,5
Colac,5
Taylors Lakes,5
Wangaratta,5
Mooroolbark,5
Laverton,5
Hastings - Somers,5
Doncaster,5
Warrnambool - North,5
Albert Park,5
Ringwood East,5
Craigieburn - West,5
Montmorency - Briar Hill,4
Geelong,4
Norlane,4
Endeavour Hills - South,4
Broadmeadows,4
Bentleigh - McKinnon,4
Mordialloc - Parkdale,4
Mildura - North,4
North Geelong - Bell Park,4
Sebastopol - Redan,4
South Melbourne,4
Derrimut,4
Leongatha,4
St Albans - South,4
Warrandyte - Wonga Park,4
Brunswick West,4
Keilor East,4
Doncaster East - North,4
Fawkner,4
Maribyrnong,4
Point Cook - North West,4
Kilmore - Broadford,4
Loddon,4
Taylors Hill,4
Bundoora - East,4
Bairnsdale,4
Caulfield - North,4
Collingwood,4
Maryborough (Vic.),4
Glen Iris - East,4
Mildura - South,4
Geelong West - Hamlyn Heights,4
White Hills - Ascot,4
Narre Warren South - East,4
Lakes Entrance,4
Mansfield (Vic.),4
Daylesford,4
Yarraville,4
Corangamite - North,4
Echuca,4
Corangamite - South,4
Moe - Newborough,4
South Yarra - North,4
Melton South - Weir Views,4
Highton,4
Berwick - South East,4
St Kilda - West,4
Swan Hill,4
Sandringham - Black Rock,4
Kensington (Vic.),4
Kew - West,4
Sunshine West,4
Prahran - Windsor,4
Camberwell,4
Seaford (Vic.),4
Mount Eliza,4
Ferntree Gully - North,4
Corio - Lovely Banks,4
Beaconsfield - Officer,4
Clifton Springs,4
Kilsyth,4
Mitcham (Vic.),3
Balwyn,3
Surrey Hills (West) - Canterbury,3
Lara,3
Point Cook - South,3
Point Lonsdale - Queenscliff,3
Kyabram,3
Mernda - North,3
Roxburgh Park (South) - Somerton,3
Bundoora - West,3
Pascoe Vale,3
Hawthorn - North,3
Alfredton,3
Reservoir - North East,3
Malvern - Glen Iris,3
Altona,3
Numurkah,3
Greenvale - Bulla,3
Clayton (North) - Notting Hill,3
Leopold,3
Wandin - Seville,3
Towong,3
Alphington - Fairfield,3
Drouin,3
Otway,3
Cobram,3
Ormond - Glen Huntly,3
Melton,3
Heidelberg West,3
West Wodonga,3
Ashwood - Chadstone,3
Benalla,3
Alexandra,3
Dromana,3
Nunawading,3
Ivanhoe,3
St Kilda East,3
Gladstone Park - Westmeadows,3
Bulleen,3
Stawell,3
Rowville - South,3
Chelsea - Bonbeach,3
Templestowe Lower,3
Yarra Valley,3
Port Melbourne,3
Portland,3
Southbank (West) - South Wharf,3
Fitzroy North,3
Toorak,3
Bundoora - North,3
Armadale,3
Vermont South,3
Point Nepean,3
Belgrave - Selby,3
Ararat,3
Bannockburn,3
