region,stop_count
Point Nepean,198
Shepparton - North,159
Preston - East,148
Oakleigh - Huntingdale,147
Box Hill,143
Bendigo,142
Mildura - North,137
Mount Dandenong - Olinda,136
Kangaroo Flat - Golden Square,134
Wonthaggi - Inverloch,134
Dandenong - North,133
Frankston,133
Wantirna South,128
Dandenong - South,128
Berwick - North,126
Altona North,124
Horsham,123
Blackburn,123
Frankston North,122
Geelong,122
Mildura - South,121
Shepparton - South East,119
Newcomb - Moolap,118
Grovedale - Mount Duneed,117
Wangaratta,117
Footscray,116
Boronia,116
Wendouree - Miners Rest,116
Ringwood,115
Knoxfield - Scoresby,115
Moe - Newborough,115
Thomastown,115
Brighton (Vic.),114
Highett (East) - Cheltenham,114
Camberwell,112
Mulgrave,110
Templestowe,108
Morwell,107
Balwyn North,107
Reservoir - South West,106
Mill Park - North,106
Carrum Downs,105
Wheelers Hill,105
Campbellfield - Coolaroo,104
Sunbury - South,104
Caulfield - North,104
Ballarat,104
Werribee - East,103
Dandenong North,103
Lilydale - Coldstream,103
Heidelberg West,103
Doncaster,102
Geelong West - Hamlyn Heights,100
Reservoir - South East,99
Sunshine West,99
Warrnambool - North,99
White Hills - Ascot,97
Langwarrin,97
Sunshine,96
Malvern East,96
Warragul,95
Mitcham (Vic.),93
Greensborough,93
North Geelong - Bell Park,93
Portarlington,91
Glen Waverley - West,91
Malvern - Glen Iris,91
Newport,91
Hoppers Crossing - North,89
Broadmeadows,89
Seaford (Vic.),88
Yarraville,88
Torquay,88
Moorabbin - Heatherton,87
Box Hill North,86
Melton West,86
Donvale - Park Orchards,86
Hoppers Crossing - South,86
Springvale,86
Braybrook,85
Laverton,85
Warrnambool - South,84
Hampton,84
Caulfield - South,84
Maryborough (Vic.),84
Bayswater North,84
Moonee Ponds,83
Bentleigh East - South,82
Glen Waverley - East,82
Corio - Lovely Banks,82
Emerald - Cockatoo,82
Bacchus Marsh,81
Caroline Springs,81
Coburg - East,81
Ferntree Gully (South) - Upper Ferntree Gully,80
Warrandyte - Wonga Park,80
Essendon - East,80
Hastings - Somers,79
Tarneit - Central,79
Thornbury,79
Highton,79
California Gully - Eaglehawk,79
Maribyrnong,79
Mordialloc - Parkdale,79
Yarra Valley,79
Burwood (Vic.),78
Brunswick West,78
Rosebud - McCrae,78
Werribee - South,78
Clifton Springs,77
Belgrave - Selby,77
Sale,77
Fawkner,76
Mount Martha,76
Pakenham - South West,76
East Bendigo - Kennington,75
Rowville - Central,75
St Albans - North,75
Highett (West) - Cheltenham,75
Endeavour Hills - South,75
Beaumaris,75
Keysborough - North,75
Narre Warren - South West,75
Prahran - Windsor,75
Doncaster East - North,75
Gladstone Park - Westmeadows,75
Taylors Lakes,74
Albury - South,74
Epping - South,74
Stawell,74
Clayton (North) - Notting Hill,74
Bentleigh - McKinnon,74
Carnegie,73
Traralgon - East,73
Heidelberg - Rosanna,72
Altona,72
Nunawading,72
Northcote - East,72
Colac,72
Craigieburn - South,72
Pascoe Vale,71
Bentleigh East - North,71
Cranbourne,71
Greenvale - Bulla,71
Wodonga,71
Sunbury - West,71
Williamstown,71
Hamilton (Vic.),71
Croydon Hills - Warranwood,70
Leopold,70
Deer Park,70
Clayton South,69
Sandringham - Black Rock,69
Mooroopna,69
Mount Waverley - South,69
Fitzroy North,69
