Region,population,population_density,percentage_working_population,internal_arrivals,nBusiness,nHouses,nTownhouses,nApartments,nDwellings,median_income,nJob,percentage_year_12,nEmployed,nUnEmployed,nRented,nHomeless
Alfredton,1123.9428571428575,21.32571428571428,701.6999999999999,-508.9999999999999,106.90000000000002,421.2857142857144,3.5142857142857142,0.14285714285714288,424.9428571428572,1472.4999999999998,683.9000000000001,1.3899999999999997,444.3999999999999,14.599999999999998,108.19999999999997,5.599999999999999
Ballarat,-98.45714285714286,-7.951428571428574,-96.99999999999999,-462.99999999999983,42.7,30.057142857142857,7.114285714285714,3.857142857142857,41.028571428571425,1171.5,110.20000000000002,0.8299999999999998,12.299999999999999,-6.7,9.3,-3.9000000000000004
Buninyong,-35.885714285714286,-0.6914285714285728,-96.30000000000001,-164.99999999999994,21.200000000000003,28.285714285714292,0.5142857142857143,0.0,28.799999999999997,1679.2000000000005,104.10000000000001,0.31999999999999956,22.499999999999996,-5.3,6.999999999999998,
Delacombe,944.2000000000002,27.648571428571433,570.9,-115.99999999999996,96.1,373.22857142857146,10.514285714285716,0.0,383.7428571428572,1818.4999999999998,506.7,1.5399999999999994,254.7,11.100000000000001,58.09999999999999,1.0999999999999999
SmythesCreek,43.48571428571427,0.4171428571428566,21.799999999999997,-60.999999999999986,12.300000000000002,22.600000000000005,,,22.600000000000005,1902.7999999999997,67.3,0.9399999999999996,37.59999999999999,-0.49999999999999994,0.6000000000000001,
Wendouree-MinersRest,71.8,1.0599999999999998,81.7,-507.9999999999999,60.5,66.62857142857142,13.314285714285715,0.0,79.94285714285715,1348.4,288.2,0.8399999999999996,75.59999999999998,-5.8999999999999995,47.8,4.3999999999999995
BallaratEast-Warrenheip,14.02857142857143,0.7114285714285672,-33.2,-261.99999999999994,40.3,27.457142857142856,6.028571428571429,0.2571428571428571,33.74285714285714,,152.20000000000002,0.9,45.2,-2.6999999999999997,36.89999999999999,9.600000000000001
BallaratNorth-Invermay,93.97142857142858,1.2857142857142867,-17.200000000000003,-496.9999999999998,44.6,85.62857142857143,9.685714285714289,0.22857142857142862,95.54285714285714,,232.5,1.0200000000000002,88.60000000000001,-5.2,26.299999999999994,1.6999999999999997
Canadian-MountClear,83.68571428571431,3.7571428571428673,14.700000000000003,-571.9999999999999,35.7,67.17142857142859,20.22857142857143,0.0,87.39999999999999,,253.40000000000003,0.7399999999999998,91.79999999999998,0.29999999999999993,40.39999999999999,2.2
Sebastopol-Redan,-89.85714285714288,-8.491428571428548,-101.40000000000002,-496.9999999999998,37.0,19.57142857142857,20.71428571428571,1.2857142857142856,41.57142857142858,,288.90000000000003,0.7499999999999998,38.199999999999996,2.600000000000001,55.199999999999996,-1.3999999999999997
BacchusMarshSurrounds,77.85714285714286,0.0771428571428572,34.2,-132.99999999999997,27.500000000000007,37.714285714285715,5.085714285714285,,42.79999999999999,1795.3999999999996,109.80000000000003,0.8400000000000003,51.8,0.0,5.8999999999999995,-0.6999999999999998
Creswick-Clunes,1.885714285714284,3.3174258044343752e-18,-21.300000000000004,-190.99999999999997,19.300000000000004,36.71428571428571,0.7714285714285715,0.0,37.48571428571428,1473.9999999999998,124.8,0.8499999999999999,26.599999999999998,-2.4,-1.0999999999999999,-0.30000000000000004
Daylesford,142.57142857142853,0.1600000000000001,35.300000000000004,-271.99999999999994,43.2,67.4,6.999999999999999,0.0,74.54285714285714,1416.3999999999999,157.50000000000003,1.0400000000000005,73.3,-3.6,0.5,0.3
Gordon(Vic.),83.54285714285713,0.08857142857142863,46.70000000000001,-152.99999999999997,30.000000000000004,32.77142857142857,,0.0,32.77142857142857,1513.2,128.0,0.8899999999999998,59.4,-4.8999999999999995,0.39999999999999997,0.6000000000000001
Avoca,40.54285714285715,0.022857142857142878,-3.5,-69.99999999999997,3.0,13.685714285714287,0.0,,13.685714285714287,1524.3999999999996,23.700000000000006,0.5400000000000001,8.7,-1.5999999999999999,-1.3999999999999997,1.1999999999999997
Beaufort,43.62857142857142,0.022857142857142878,9.800000000000002,-55.999999999999986,8.9,23.114285714285714,0.7142857142857143,0.0,23.828571428571433,1642.3999999999999,97.69999999999999,0.5399999999999998,34.699999999999996,-6.8999999999999995,2.6,0.19999999999999998
GoldenPlains-North,45.914285714285704,0.054285714285714354,17.700000000000003,-118.99999999999994,11.100000000000001,24.428571428571427,0.0,0.0,24.428571428571427,1791.3,111.49999999999999,0.7899999999999997,39.99999999999999,-3.4,-0.39999999999999997,0.5
Maryborough(Vic.),3.314285714285715,0.08571428571428737,-21.7,-160.99999999999997,13.500000000000002,34.142857142857146,3.828571428571429,0.0,37.97142857142857,1209.6000000000004,49.699999999999996,0.7999999999999999,18.099999999999998,0.3999999999999997,15.5,-0.9
