SA2,Median Criminal Count
Abbotsford,52.0
Airport West,85.0
Albert Park,85.5
Albury - East,121.0
Alexandra,22.555555555555557
Alfredton,442.0
Alphington - Fairfield,80.0
Alps - East,19.25
Alps - West,67.0
Altona,74.0
Altona Meadows,104.5
Altona North,111.0
Ararat,92.0
Ararat Surrounds,34.38461538461539
Ardeer - Albion,136.33333333333334
Armadale,50.5
Ascot Vale,134.0
Ashburton (Vic.),77.0
Ashwood - Chadstone,83.0
Aspendale Gardens - Waterways,193.0
Avoca,67.5
Avondale Heights,40.0
Bacchus Marsh,116.5
Bacchus Marsh Surrounds,77.16666666666667
Bairnsdale,122.0
Ballarat,328.5
Ballarat East - Warrenheip,442.0
Ballarat North - Invermay,442.0
Balwyn,55.333333333333336
Balwyn North,48.5
Bannockburn,75.0
Baranduda - Leneva,114.5
Barwon Heads - Armstrong Creek,69.5
Bayswater,86.0
Bayswater North,94.5
Beaconsfield - Officer,44.0
Beaufort,71.25
Beaumaris,76.5
Beechworth,34.0
Belgrave - Selby,64.6
Belmont,207.0
Benalla,57.0
Benalla Surrounds,28.0
Bendigo,347.0
Bendigo Surrounds - North,76.28571428571429
Bendigo Surrounds - South,93.4
Bentleigh - McKinnon,78.0
Bentleigh East - North,79.5
Bentleigh East - South,79.5
Berwick - North,91.5
Berwick - South East,63.5
Berwick - South West,91.5
Blackburn,111.0
Blackburn South,111.0
Boronia,85.25
Box Hill,84.0
Box Hill North,60.666666666666664
Braeside,136.5
Braybrook,117.0
Bright - Mount Beauty,32.4
Brighton (Vic.),49.0
Brighton East,47.5
Broadmeadows,142.0
Brookfield,177.0
Brunswick - North,51.666666666666664
Brunswick - South,57.25
Brunswick East,64.33333333333333
Brunswick West,61.5
Bruthen - Omeo,31.142857142857142
Bulleen,44.25
Buloke,15.333333333333334
Bundoora - East,143.5
Bundoora - North,167.0
Bundoora - West,167.0
Buninyong,304.3333333333333
Bunyip - Garfield,51.285714285714285
Burnside,231.0
Burnside Heights,231.0
Burwood (Vic.),62.0
Burwood East,39.0
Cairnlea,231.0
California Gully - Eaglehawk,218.5
Camberwell,53.0
Campbellfield - Coolaroo,87.5
Camperdown,67.0
Canadian - Mount Clear,565.0
Carlton,68.5
Carlton North - Princes Hill,76.0
Carnegie,115.0
Caroline Springs,231.0
Carrum - Patterson Lakes,79.0
Carrum Downs,55.0
Castlemaine,65.0
Castlemaine Surrounds,44.86666666666667
Caulfield - North,79.33333333333333
Caulfield - South,74.0
Charlemont,150.0
Chelsea - Bonbeach,153.0
Chelsea Heights,153.0
Chiltern - Indigo Valley,50.0
Chirnside Park,46.0
Churchill,70.0
Clarinda - Oakleigh South,70.5
Clayton (North) - Notting Hill,82.0
Clayton - Central,82.0
Clayton South,82.0
Clifton Hill - Alphington,88.66666666666667
Clifton Springs,99.0
Clyde North - North,96.0
Clyde North - South,96.0
Cobblebank - Strathtulloh,177.0
Cobram,85.0
Coburg - East,104.0
Coburg - West,94.5
Coburg North,94.5
Colac,56.333333333333336
Colac Surrounds,29.46153846153846
Collingwood,64.0
Corangamite - North,48.07142857142857
Corangamite - South,32.3
Corio - Lovely Banks,125.66666666666667
Craigieburn - Central,197.0
Craigieburn - North,197.0
Craigieburn - North West,197.0
Craigieburn - South,197.0
Craigieburn - West,197.0
Cranbourne,351.0
Cranbourne East - North,223.5
Cranbourne East - South,223.5
Cranbourne North - East,351.0
Cranbourne North - West,351.0
Cranbourne South,223.5
Cranbourne West,351.0
Creswick - Clunes,91.4
Croydon - East,116.0
Croydon - West,141.0
Croydon Hills - Warranwood,95.0
Croydon South,105.0
Dandenong - North,183.0
Dandenong - South,133.5
Dandenong North,183.0
Daylesford,48.111111111111114
Deer Park,133.5
Delacombe,140.75
Delahey,184.0
Derrimut,168.33333333333334
Diggers Rest,129.0
Dingley Village,81.0
Docklands,62.0
Doncaster,48.75
Doncaster East - North,42.0
Doncaster East - South,45.666666666666664
Donvale - Park Orchards,55.75
Doreen - North,105.0
Doreen - South,105.0
Doveton,84.0
Dromana,85.0
Drouin,65.25
East Bendigo - Kennington,347.0
East Melbourne,77.5
Echuca,88.0
Edithvale - Aspendale,173.0
Elsternwick,83.0
Eltham,105.0
Elwood,45.0
Emerald - Cockatoo,54.375
Endeavour Hills - North,93.66666666666667
Endeavour Hills - South,49.5
Epping (Vic.) - West,60.0
Epping - East,60.0
Epping - South,60.0
Essendon (West) - Aberfeldie,84.33333333333333
Essendon - East,91.0
Essendon Airport,109.0
Euroa,49.333333333333336
Eynesbury - Exford,186.5
Fawkner,67.0
Ferntree Gully (South) - Upper Ferntree Gully,147.0
Ferntree Gully - North,147.0
Fitzroy,55.0
Fitzroy North,75.0
Flemington,134.0
Flemington Racecourse,145.0
Flinders,32.25
Flora Hill - Spring Gully,409.0
Footscray,92.0
Forest Hill,99.0
Foster,25.384615384615383
Frankston,110.0
Frankston North,80.0
Frankston South,110.0
Fraser Rise - Plumpton,80.0
Gannawarra,21.666666666666668
Geelong,172.5
Geelong West - Hamlyn Heights,154.0
Gisborne,98.66666666666667
Gladstone Park - Westmeadows,112.66666666666667
Glen Iris - East,60.75
Glen Waverley - East,98.0
Glen Waverley - West,98.0
Glenelg (Vic.),24.307692307692307
Glenroy - East,130.0
Glenroy - West,130.0
Golden Plains - North,98.2
Golden Plains - South,54.15384615384615
Gordon (Vic.),76.14285714285714
Gowanbrae,133.0
Greensborough,95.66666666666667
Greenvale - Bulla,29.333333333333332
Grovedale - Mount Duneed,150.0
Hadfield,130.0
Hallam,64.0
Hamilton (Vic.),55.0
Hampton,60.0
Hampton Park - East,68.5
Hampton Park - West,118.0
Hastings - Somers,29.285714285714285
Hawthorn - North,48.0
Hawthorn - South,48.0
Hawthorn East,45.666666666666664
Healesville - Yarra Glen,46.333333333333336
Heathcote,147.66666666666666
Heidelberg - Rosanna,108.5
Heidelberg West,95.5
Highett (East) - Cheltenham,87.5
Highett (West) - Cheltenham,75.75
Highton,110.5
Hillside,184.0
Hoppers Crossing - North,191.0
Hoppers Crossing - South,191.0
Horsham,76.0
Horsham Surrounds,38.5
Hughesdale,145.0
Hurstbridge,59.0
Irymple,35.5
Ivanhoe,64.0
Ivanhoe East - Eaglemont,102.0
Kangaroo Flat - Golden Square,112.0
Keilor,93.8
Keilor Downs,119.6
Keilor East,85.0
Kensington (Vic.),99.5
Kerang,84.0
Kew - South,51.0
Kew - West,41.0
Kew East,41.0
Keysborough - North,73.5
Keysborough - South,116.5
Kialla,147.0
Kilmore - Broadford,59.333333333333336
Kilsyth,91.0
Kinglake,65.66666666666667
Kings Park (Vic.),202.5
Kingsbury,122.0
Knoxfield - Scoresby,75.0
Koo Wee Rup,71.375
Korumburra,40.625
Kurunjang - Toolern Vale,129.0
Kyabram,54.4
Kyneton,55.833333333333336
Lake King,63.2
Lakes Entrance,38.0
Lalor - East,53.0
Lalor - West,56.333333333333336
Langwarrin,48.5
Lara,100.6
Laverton,82.66666666666667
Leongatha,35.5
Leopold,84.0
Lilydale - Coldstream,50.0
Lockington - Gunbower,24.75
Loddon,35.80952380952381
Longford - Loch Sport,70.0
Lorne - Anglesea,22.2
Lynbrook - Lyndhurst,84.0
Lysterfield,147.0
Macedon,34.333333333333336
Maffra,83.75
Maiden Gully,218.5
Malvern - Glen Iris,66.0
Malvern East,80.0
Manor Lakes - Quandong,137.5
Mansfield (Vic.),38.42857142857143
Maribyrnong,123.0
Maryborough (Vic.),107.0
Maryborough Surrounds,69.875
Meadow Heights,92.0
Melbourne Airport,44.5
Melbourne CBD - East,83.0
Melbourne CBD - North,83.0
Melbourne CBD - West,83.0
Melton,211.0
Melton South - Weir Views,177.0
Melton West,211.0
Mentone,62.0
Merbein,72.0
Mernda - North,105.0
Mernda - South,74.5
Mickleham - Yuroke,108.0
Mildura - North,65.0
