region,median_2023,median_predictions_2026,Growth_Rate (%)
Alfredton,410.0,457.9064486028526,11.684499659232344
Ballarat,410.0,424.9220946290111,3.6395352753685604
Buninyong,410.0,399.60833050625627,-2.5345535350594472
Delacombe,410.0,444.8593475197156,8.50227988285746
Wendouree-MinersRest,410.0,414.91406575164115,1.198552622351499
BallaratEast-Warrenheip,410.0,349.9454585971846,-14.647449122637903
BallaratNorth-Invermay,410.0,399.36252634181835,-2.594505770288207
Canadian-MountClear,410.0,369.89673508608723,-9.781284125344577
Sebastopol-Redan,410.0,375.61876794100317,-8.385666355852885
BacchusMarshSurrounds,440.0,423.5685288776948,-3.7344252550693633
Creswick-Clunes,410.0,398.7380280659063,-2.746822422949685
Daylesford,413.0,432.91698470370704,4.8225144561034
Gordon(Vic.),410.0,390.3072016600562,-4.803121546327758
Avoca,370.0,309.818359138377,-16.265308340979193
Beaufort,370.0,323.93515242702324,-12.449958803507233
Maryborough(Vic.),350.0,332.4001276558945,-5.028534955458716
MaryboroughSurrounds,350.0,317.07957636175774,-9.405835325212072
Bendigo,443.0,441.0557683373878,-0.43887847914496536
CaliforniaGully-Eaglehawk,443.0,442.7378272592456,-0.05918120558790261
EastBendigo-Kennington,443.0,429.82543613463326,-2.9739421817983605
FloraHill-SpringGully,443.0,402.01146262231816,-9.25249150737739
KangarooFlat-GoldenSquare,443.0,470.389661404598,6.182767811421665
MaidenGully,443.0,409.9975534941467,-7.449762190937539
Strathfieldsaye,443.0,443.2957306238244,0.06675634849309195
WhiteHills-Ascot,443.0,462.9949012459912,4.513521725957376
BendigoSurrounds-South,443.0,424.17388394488205,-4.249687597092088
Castlemaine,460.0,463.1182298776165,0.677876060351413
CastlemaineSurrounds,350.0,354.5026726104978,1.2864778887136643
Heathcote,443.0,399.9922577431156,-9.708293963179322
Kyneton,520.0,513.7630213013587,-1.1994189805079496
Woodend,520.0,470.5885559205109,-9.502200784517138
BendigoSurrounds-North,443.0,368.74867343253425,-16.761021798525
Winchelsea,525.0,549.8929491419489,4.741514122275974
Belmont,460.0,482.29473360599866,4.846681218695361
Geelong,460.0,463.52463655432246,0.766225337896186
GeelongWest-HamlynHeights,460.0,533.7749626985591,16.038035369251975
Highton,460.0,509.1056925215913,10.675150548172027
Lara,460.0,501.7149927154568,9.068476677273214
Leopold,460.0,456.76888760083796,-0.7024157389482703
Newcomb-Moolap,460.0,456.8170172068586,-0.6919527811176908
Newtown(Vic.),460.0,473.13475528746176,2.8553815842308166
NorthGeelong-BellPark,460.0,496.0865086893376,7.844893193334265
Charlemont,460.0,461.23460659475984,0.26839273799126934
Corio-LovelyBanks,460.0,419.92525224365477,-8.711901686162008
Grovedale-MountDuneed,460.0,465.07624059607565,1.1035305643642717
Norlane,460.0,369.94220076609895,-19.577782442152404
CliftonSprings,460.0,528.777059331629,14.95153463731064
Lorne-Anglesea,525.0,511.4329217916245,-2.584205373023906
Portarlington,460.0,476.3624306035781,3.5570501312126317
PointLonsdale-Queenscliff,460.0,428.7491500975268,-6.79366302227678
Torquay,525.0,613.6933444010173,16.89397036209853
