region,median_2023,median_predictions_2026,Growth_Rate (%)
Alfredton,410.0,515.24,25.66829268292683
Ballarat,410.0,496.3,21.04878048780488
Buninyong,410.0,507.02,23.66341463414634
Delacombe,410.0,441.02,7.5658536585365805
Wendouree-MinersRest,410.0,416.11,1.4902439024390277
BallaratEast-Warrenheip,410.0,441.55,7.695121951219515
BallaratNorth-Invermay,410.0,476.01,16.099999999999998
Canadian-MountClear,410.0,475.72,16.029268292682932
Sebastopol-Redan,410.0,439.24,7.131707317073173
BacchusMarshSurrounds,440.0,467.01,6.138636363636361
Creswick-Clunes,410.0,408.91,-0.2658536585365793
Daylesford,413.0,459.38,11.23002421307506
Gordon(Vic.),410.0,476.84,16.30243902439024
Avoca,370.0,374.53,1.224324324324317
Beaufort,370.0,396.47,7.154054054054061
Maryborough(Vic.),350.0,375.11,7.174285714285718
MaryboroughSurrounds,350.0,411.31,17.517142857142858
Bendigo,443.0,507.32,14.519187358916477
CaliforniaGully-Eaglehawk,443.0,447.66,1.0519187358916535
EastBendigo-Kennington,443.0,506.05,14.23250564334086
FloraHill-SpringGully,443.0,513.0,15.80135440180587
KangarooFlat-GoldenSquare,443.0,450.64,1.7246049661399518
MaidenGully,443.0,495.7,11.896162528216701
Strathfieldsaye,443.0,514.54,16.148984198645593
WhiteHills-Ascot,443.0,503.45,13.645598194130923
BendigoSurrounds-South,443.0,504.58,13.90067720090293
Castlemaine,460.0,490.46,6.621739130434778
CastlemaineSurrounds,350.0,424.74,21.354285714285716
Heathcote,443.0,422.08,-4.722347629796843
Kyneton,520.0,514.37,-1.0826923076923067
Woodend,520.0,503.86,-3.1038461538461513
BendigoSurrounds-North,443.0,442.18,-0.18510158013543865
Winchelsea,525.0,505.64,-3.68761904761905
Belmont,460.0,510.08,10.886956521739128
Geelong,460.0,507.72,10.373913043478266
GeelongWest-HamlynHeights,460.0,521.05,13.271739130434772
Highton,460.0,533.41,15.958695652173907
Lara,460.0,501.63,9.049999999999999
Leopold,460.0,507.28,10.278260869565212
Newcomb-Moolap,460.0,422.59,-8.13260869565218
Newtown(Vic.),460.0,523.55,13.815217391304339
NorthGeelong-BellPark,460.0,511.01,11.089130434782607
Charlemont,460.0,501.63,9.049999999999999
Corio-LovelyBanks,460.0,467.85,1.7065217391304395
Grovedale-MountDuneed,460.0,484.4,5.304347826086952
Norlane,460.0,445.11,-3.2369565217391276
CliftonSprings,460.0,508.63,10.571739130434782
Lorne-Anglesea,525.0,489.4,-6.780952380952384
Portarlington,460.0,407.02,-11.51739130434783
PointLonsdale-Queenscliff,460.0,475.24,3.3130434782608713
Torquay,525.0,530.98,1.1390476190476224
BarwonHeads-ArmstrongCreek,460.0,457.01,-0.6500000000000019
OceanGrove,460.0,474.77,3.210869565217387
Alexandra,393.0,390.01,-0.76081424936387
Euroa,393.0,391.41,-0.40458015267174935
Kilmore-Broadford,440.0,458.35,4.170454545454551
Mansfield(Vic.),393.0,406.84,3.5216284987277287
Nagambie,440.0,431.49,-1.934090909090907
Seymour,440.0,402.14,-8.604545454545457
SeymourSurrounds,440.0,462.6,5.136363636363642
UpperYarraValley,523.0,343.33,-34.35372848948375
Yea,440.0,382.52,-13.06363636363637
BenallaSurrounds,400.0,378.74,-5.314999999999998
Rutherglen,445.0,426.81,-4.087640449438202
Wangaratta,400.0,427.98,6.995000000000004
WangarattaSurrounds,400.0,414.48,3.6200000000000045
Beechworth,445.0,440.73,-0.9595505617977488
Bright-MountBeauty,423.0,419.07,-0.9290780141843988
Chiltern-IndigoValley,445.0,417.24,-6.238202247191009
Myrtleford,423.0,404.19,-4.446808510638299
Towong,350.0,339.16,-3.09714285714285
WestWodonga,450.0,457.49,1.6644444444444466
Yackandandah,423.0,488.81,15.557919621749411
Baranduda-Leneva,450.0,420.7,-6.511111111111114
Wodonga,450.0,474.38,5.417777777777777
Drouin,450.0,449.16,-0.18666666666666112
MountBawBawRegion,450.0,402.7,-10.511111111111115
Trafalgar(Vic.),450.0,413.12,-8.195555555555554
Warragul,450.0,496.07,10.237777777777776
Bairnsdale,400.0,404.76,1.1899999999999977
Bruthen-Omeo,400.0,362.75,-9.3125
LakesEntrance,400.0,377.65,-5.587500000000006
Orbost,400.0,358.65,-10.337500000000006
Paynesville,400.0,392.13,-1.9675000000000011
Foster,400.0,422.38,5.594999999999999
Korumburra,450.0,415.33,-7.704444444444449
Leongatha,450.0,414.6,-7.866666666666662
PhillipIsland,450.0,442.81,-1.597777777777777
WilsonsPromontory,400.0,312.09,-21.977500000000006
Wonthaggi-Inverloch,450.0,411.78,-8.49333333333334
Churchill,400.0,410.47,2.617500000000007
Moe-Newborough,450.0,420.47,-6.562222222222217
YallournNorth-Glengarry,450.0,449.93,-0.015555555555554039
Alps-West,400.0,381.8,-4.549999999999997
Longford-LochSport,400.0,388.39,-2.9025000000000034
Maffra,400.0,401.94,0.48499999999999943
Rosedale,400.0,406.94,1.7349999999999994
Sale,400.0,444.33,11.082499999999996
Yarram,400.0,385.86,-3.5349999999999966
Alphington-Fairfield,500.0,545.71,9.142000000000007
Thornbury,500.0,547.99,9.598000000000003
Northcote-East,500.0,541.85,8.370000000000005
Northcote-West,500.0,530.23,6.046000000000004
AscotVale,500.0,535.17,7.033999999999992
Flemington,500.0,528.52,5.703999999999996
MooneePonds,500.0,551.31,10.26199999999999
Essendon(West)-Aberfeldie,500.0,551.9,10.379999999999995
Essendon-East,500.0,572.1,14.420000000000005
Carlton,600.0,582.45,-2.9249999999999927
Docklands,600.0,575.15,-4.14166666666667
EastMelbourne,600.0,574.26,-4.290000000000002
FlemingtonRacecourse,600.0,552.15,-7.975000000000004
Kensington(Vic.),600.0,589.03,-1.8283333333333378
Parkville,600.0,555.64,-7.393333333333335
SouthYarra-West,600.0,575.2,-4.133333333333326
MelbourneCBD-East,600.0,585.35,-2.441666666666663
MelbourneCBD-North,600.0,577.3,-3.7833333333333408
MelbourneCBD-West,600.0,577.05,-3.8250000000000077
NorthMelbourne,600.0,582.75,-2.875
Southbank(West)-SouthWharf,600.0,569.95,-5.008333333333326
Southbank-East,600.0,574.9,-4.183333333333337
WestMelbourne-Residential,600.0,572.2,-4.633333333333326
Armadale,580.0,572.68,-1.2620689655172501
Prahran-Windsor,580.0,578.01,-0.34310344827586364
Toorak,580.0,559.55,-3.5258620689655253
SouthYarra-North,580.0,576.7,-0.5689655172413715
SouthYarra-South,580.0,583.55,0.6120689655172336
Abbotsford,620.0,585.52,-5.561290322580648
