LGA,Future Price Increase (%)
Alpine,16.912770275922938
Ararat,13.058513707980474
Ballarat,12.452964149759437
Banyule,8.832939509545868
Bass Coast,8.358523056914262
Baw Baw,12.437724112580584
Boroondara,17.957535762839484
Brimbank,15.890649878781055
Campaspe,14.985069838704703
Cardinia,16.478164887425553
Casey,26.548160254885694
Central Goldfields,11.623580972078933
Colac-Otway,11.46654910667678
Corangamite,13.917977622366081
Darebin,9.206336697769189
East Gippsland,11.472405914014539
Frankston,20.517805477948173
Gannawarra,15.56885444449701
Glen Eira,25.93952450721532
Greater Bendigo,16.67652864488789
Greater Dandenong,22.33201722376211
Greater Geelong,10.553969201565291
Greater Shepparton,21.543970131811328
Hepburn,9.088393412403459
Hindmarsh,13.293290007733164
Hobsons Bay,16.689767565956426
Horsham,6.68148251093027
Hume,29.329922094760967
Indigo,10.40886992741351
Knox,11.228908554261642
Macedon Ranges,14.528395343500836
Manningham,9.565415298302488
Maribyrnong,12.2507422501911
Maroondah,17.345136797258935
Melbourne,24.24539519413415
Melton,11.055877819219734
Mildura,12.25832577951158
Mitchell,10.845227103606796
Moira,33.711696563282175
Monash,22.889745908538732
Moonee Valley,12.09239308947334
Moorabool,12.891596712793
Mount Alexander,9.084571734804197
Moyne,11.835314174065843
Murrindindi,10.86743505461007
Northern Grampians,14.533839396807577
South Gippsland,14.68640950656009
Southern Grampians,6.75006527978252
Stonnington,10.492242730982296
Surf Coast,5.083269172003728
Swan Hill,25.339529270793832
Towong,7.049847747201412
Wangaratta,14.01664603619888
Wellington,16.630344839592
Whitehorse,22.690085987709928
Whittlesea,36.12009869536716
Wodonga,13.059478637966295
Wyndham,36.82102915069475
Yarra,9.031101548752218
Yarra Ranges,12.928131715676624
