LGA,Future Price Increase (%)
Alpine,21.875827722678526
Ararat,12.570139411611258
Ballarat,13.4889638860513
Banyule,0.39846750010100296
Bass Coast,7.696856161257529
Baw Baw,16.41499100527856
Boroondara,-3.259638363023783
Brimbank,-0.9643589784470047
Campaspe,13.086709559347852
Cardinia,4.240103186557227
Casey,4.7199038967099485
Central Goldfields,12.675228201170322
Colac-Otway,18.044140330840353
Corangamite,23.603027496028595
Darebin,0.44844235680227484
East Gippsland,16.976103429366344
Frankston,10.346408087545138
Gannawarra,13.096842474269371
Glen Eira,-3.1691455110062674
Greater Bendigo,18.291677430677687
Greater Dandenong,-6.257377435993202
Greater Geelong,13.473891286610915
Greater Shepparton,15.178915671893419
Hepburn,11.567490418382315
Hindmarsh,7.905836680791708
Hobsons Bay,-3.2278763890001567
Horsham,13.653194750374208
Hume,1.1949725809916574
Indigo,8.225297934004857
Knox,3.1763622198455277
Macedon Ranges,6.442118719087252
Manningham,-2.11157438046015
Maribyrnong,-3.6062484708580387
Maroondah,3.7864136177066703
Melbourne,-3.2240974963622535
Melton,0.43389878288402645
Mildura,11.186682648820266
Mitchell,10.206898779103646
Moira,15.414802147001444
Monash,-2.2474517117109563
Moonee Valley,-1.8682897975998876
Moorabool,5.860412051566307
Mount Alexander,13.245146505872022
Moyne,20.137351239422625
Murrindindi,12.672340894693662
Northern Grampians,14.125588446434156
South Gippsland,21.016159429383407
Southern Grampians,9.653316027905863
Stonnington,0.8666372473959185
Surf Coast,8.619331243788919
Swan Hill,14.077274948517957
Towong,16.065529963151853
Wangaratta,12.99600351547674
Wellington,21.09500108274717
Whitehorse,-2.325773240175428
Whittlesea,-1.6516911395098859
Wodonga,15.813912852476175
Wyndham,-3.148735353287952
Yarra,-1.5635382784856766
Yarra Ranges,6.79427965699913
